region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight,C6_scaled_loading,C6_raw_weight,C7_scaled_loading,C7_raw_weight,C8_scaled_loading,C8_raw_weight
SLR_00_02,1,80.55000000000001,5.949999999999989,2,0,True,537.4901895087582,9.711569863749316,147.15135789292665,7.008531517812249,339.43157394548723,9.100406544026647,16.26030354758578,0.4041244338687884,218.03088821310283,4.860401334036307,26.2798067579802,1.1488575316288685,48.039467012024936,1.1565019533586693,934.9007400530453,12.30923244347074
SLR_01_01,22,80.27272727272728,6.272727272727267,1,1,False,595.675061641705,10.762875472227265,87.6812315559561,4.176085655476314,245.9660373616864,6.594527757085084,56.28997594573042,1.3989993849120679,328.41690894453916,7.321155252066668,97.81334448103382,4.276043524053732,90.2385328995787,2.1724021113818837,1096.659883808521,14.439010306551666
SLR_01_02,24,80.74166666666667,6.258333333333328,2,1,False,545.7045625623671,9.859990168629546,101.78136298455162,4.847647351797955,248.12415304512925,6.652388402929197,143.34687888894763,3.562662659299173,193.547652188144,4.314614661274019,57.761501555473735,2.5251226811265504,185.94310901455054,4.476393727163613,839.3591300432497,11.051297953476352
SLR_01_03,16,81.21875000000001,6.331249999999994,3,1,False,387.2290085511491,6.99659573926714,91.39344786177082,4.352891261301373,77.24489292952305,2.070991572579411,443.6910375832254,11.02724736049583,99.65486607398445,2.2215322240754656,51.57402944580504,2.254628913786429,295.95898361018294,7.124915490289397,354.986775005931,4.673880916660871
SLR_01_04,2,81.60000000000002,6.449999999999989,4,1,True,275.17920318729654,4.972038762692156,83.96702030919165,3.999185034513626,1.7212954391321966,0.04614917845267271,600.8379364973418,14.932887951524778,21.119765547157897,0.47080731304277357,35.850350887098244,1.5672468982548193,382.9915547843958,9.220137290806246,33.142219354560794,0.4363621337005645
SLR_02_00,4,79.94999999999999,6.799999999999994,0,2,False,458.60005342371727,8.286153952715125,23.11801017608057,1.1010656324765942,89.13146023714866,2.38967905841036,208.88433910348985,5.191493814196799,444.00759096433654,9.897932834801052,145.07971546849396,6.342357283580072,46.621049388623874,1.1223549726744109,1182.7426948214484,15.57240691728209
SLR_02_01,25,80.25000000000001,6.749999999999995,1,2,False,502.3587509814416,9.07680214829785,43.34569326453481,2.064470635921444,187.72745854424457,5.03310924311332,137.27606602142745,3.4117820926461473,316.7753847402789,7.061639363119324,142.92972819890096,6.248367662943763,135.3040037928555,3.2573080930418583,1174.1529215043267,15.459310936214438
SLR_02_02,25,80.75000000000001,6.749999999999995,2,2,False,452.4184845041519,8.174463098441473,85.7019168733753,4.081814766405551,229.70001757733212,6.158423975783413,160.39895741940697,3.9864654230200975,159.0579139950393,3.5457604365437874,116.00650178595781,5.071382165100768,274.48581117125474,6.607970415436427,900.2736238440516,11.85331963475974
SLR_02_03,25,81.25000000000001,6.749999999999995,3,2,False,312.688636926667,5.649772967743421,155.0185080987427,7.3832285030276,86.1911183217033,2.310846360267517,402.6507907796794,10.007256161882514,92.84040744311959,2.069622537830375,88.88956575301385,3.8859283874893418,336.46708487002,8.100107372042077,361.945592815876,4.765503163049848
SLR_02_04,15,81.6566666666667,6.77666666666666,4,2,False,239.44328572870077,4.326349100223114,200.38277861864822,9.543840027609404,19.242049159146962,0.5158932860986769,510.83989485002945,12.696127270914987,62.66434938970971,1.396929994031729,78.68705954604093,3.4399119382317065,368.7558449588821,8.877426864470069,100.04905188848036,1.3172810574246572
SLR_03_00,9,79.90555555555557,7.272222222222216,0,3,False,269.0680884099046,4.8616208996977175,0.9955328559429478,0.04741528381254017,12.697635470435694,0.34043281120151714,407.53972851263194,10.128763069042469,371.61078238097946,8.284044326148114,88.09772242984137,3.851311878544865,40.07647525911004,0.9648009189879122,1094.5068069189135,14.410662137845177
