region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight
SLR_00_02,1,80.55000000000001,5.949999999999989,2,0,True,275.86367428690585,4.692107941298335,537.0592761585169,8.534884461916754,1456.9022996958731,13.705537473962911
SLR_01_01,22,80.27272727272728,6.272727272727267,1,1,False,303.3943093487225,5.160370795175171,560.9095091610556,8.913909631209947,1737.9586853366218,16.349523159550724
SLR_01_02,24,80.74166666666667,6.258333333333328,2,1,False,285.2612050582353,4.851948590396959,632.0588857298403,10.044607368888999,1403.9660048692629,13.207549123865375
SLR_01_03,16,81.21875000000001,6.331249999999994,3,1,False,324.0380166256368,5.511495324717644,692.5004825501757,11.005138298072795,796.4359995773418,7.492323569054003
SLR_01_04,2,81.60000000000002,6.449999999999989,4,1,True,350.413005731432,5.960102036546802,725.2964710665615,11.526328388678518,373.44911878293425,3.513153142229494
SLR_02_00,4,79.94999999999999,6.799999999999994,0,2,False,396.9858281171977,6.752249499708829,433.1517124328651,6.883597368504865,1770.1276562640999,16.65214677174312
SLR_02_01,25,80.25000000000001,6.749999999999995,1,2,False,342.71005425886295,5.829084134790418,541.593211908738,8.60693724920437,1756.2316666223821,16.521422833142626
SLR_02_02,25,80.75000000000001,6.749999999999995,2,2,False,310.26787166621335,5.27728178905023,677.887735299163,10.772914193592802,1391.3433929121975,13.088804249049153
SLR_02_03,25,81.25000000000001,6.749999999999995,3,2,False,327.4251163976258,5.569105801266255,785.8641551939402,12.488863082894412,730.3211124336459,6.870360062287689
SLR_02_04,15,81.6566666666667,6.77666666666666,4,2,False,334.46596030572346,5.688862052972915,852.0737266608203,13.541058004067416,402.62486065420137,3.787618508665385
SLR_03_00,9,79.90555555555557,7.272222222222216,0,3,False,449.93351212217203,7.652825660144924,327.06971604129313,5.197754440387741,1508.4074622811697,14.190062713618785
SLR_03_01,25,80.25000000000001,7.249999999999995,1,3,False,405.6883944672904,6.90026964330511,445.54593642218316,7.0805649555849985,1541.3911599207352,14.500350715857023
SLR_03_02,25,80.75000000000001,7.249999999999995,2,3,False,358.09746409641303,6.09080539287709,663.557187486551,10.545174770243719,1280.0425452982465,12.041762221471
SLR_03_03,25,81.25000000000001,7.249999999999995,3,3,False,324.1524703319467,5.513442044037162,933.8520723249432,14.840670100375327,728.3768219340636,6.852069510952943
SLR_03_04,19,81.69210526315791,7.23947368421052,4,3,False,307.78578849957955,5.235064551977498,1064.176360480267,16.911768750683216,451.43682324053975,4.246807970130569
SLR_04_00,10,79.9,7.749999999999995,0,4,False,527.2790349553529,8.968379593976746,287.8183823275171,4.573976743781423,1077.8065803373381,10.139264986801674
SLR_04_01,25,80.25000000000001,7.749999999999995,1,4,False,507.9833744546835,8.640183712073041,392.14480393570915,6.231920278655444,1123.179194667826,10.566099419095439
SLR_04_02,25,80.75000000000001,7.749999999999995,2,4,False,466.79983392415124,7.93970142467655,616.8569965292381,9.803020688070355,958.1347264333928,9.01347427413582
SLR_04_03,25,81.25000000000001,7.749999999999995,3,4,False,411.99711578868863,7.007573373990524,917.2438564292257,14.576734236903379,563.2298329777302,5.298479921365739
SLR_04_04,9,81.6277777777778,7.661111111111107,4,4,False,351.94665829803216,5.986187614524906,1108.7339871623426,17.619873446963496,406.0042473382235,3.81940946049966
SLR_05_00,9,79.90555555555557,8.227777777777773,0,5,False,631.8973924483568,10.747811508190946,301.7505703822321,4.795385479515824,501.5093008823764,4.71785549258806
SLR_05_01,25,80.25000000000001,8.249999999999995,1,5,False,649.609695070851,11.04907638479536,381.40465811330466,6.061239112222515,501.5212614244829,4.717968009163869
SLR_05_02,25,80.75000000000001,8.249999999999995,2,5,False,636.3966218774652,10.824337967097193,537.7759219361491,8.546273314476867,425.54290850195497,4.003215782190885
SLR_05_03,21,81.21190476190478,8.240476190476185,3,5,False,590.9682363842785,10.051655993350781,725.1131029760221,11.523414324000314,254.05143335093356,2.389941618481937
SLR_06_00,4,79.94999999999999,8.699999999999996,0,6,False,749.1814505543788,12.742671693568687,296.61879668522283,4.713831920098762,130.00652082582914,1.2230121700061094
SLR_06_01,25,80.25000000000001,8.749999999999995,1,6,False,778.4540992626011,13.24056409575513,347.97958330684463,5.53005165439736,123.24360301612798,1.1593912782733287
SLR_06_02,25,80.75000000000001,8.749999999999995,2,6,False,776.7254503781837,13.211161865906428,466.1459088324167,7.407937356072355,92.42069652358896,0.8694305169524542
SLR_06_03,6,81.08333333333336,8.666666666666663,3,6,False,735.7748212702368,12.514641120522878,572.7154481864361,9.101528261069188,63.89428318778575,0.6010735879715468
SLR_07_00,1,79.85000000000002,9.049999999999995,0,7,True,842.4672863285329,14.329351099539815,241.61537047407867,3.839723774942885,53.774727863540875,0.5058757529861594
SLR_07_01,19,80.30789473684212,9.23947368421052,1,7,False,888.9493157939221,15.119954284776112,300.3054326470703,4.772419516262408,0.001945930137275048,1.8305975921449436e-05
SLR_07_02,14,80.66428571428573,9.192857142857138,2,7,False,872.3983430673674,14.838442227172933,381.71579030476914,6.066183589349,6.442989597058131e-05,6.061122656287037e-07
SLR_08_00,1,79.94999999999999,9.75,0,8,True,973.4150424438529,16.556614286518453,171.9024671242592,2.7318543050189312,0.0013799268901937378,1.2981405622619563e-05
SLR_08_01,8,80.2125,9.674999999999995,1,8,False,947.8675252568768,16.122081872697283,225.51043467622128,3.583785981102919,4.165396068241518e-17,3.9185188958174597e-19
