region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight,C6_scaled_loading,C6_raw_weight
MYS_00_21,1,110.25,0.75,21,0,True,340.7558418211539,5.982898613192211,889.7495490025626,16.73193019544444,193.16632169581862,2.270190531927273,484.3570945720626,7.168601560539103,933.2802557830687,10.412685892147984,656.7089653213128,8.873267068134028
MYS_00_22,1,110.75,0.75,22,0,True,360.3631773725845,6.327158890733155,705.8992378657418,13.27458584972321,235.89787088650385,2.7723938018121705,516.7058787197051,7.647371350681676,1071.6544239936413,11.956538063278508,744.5906939333258,10.060700298929241
MYS_00_24,1,111.75,0.75,24,0,True,422.7033910595319,7.421711447837957,462.7536279929331,8.702180754063098,356.6793986694597,4.191880793112645,565.8359503177236,8.374508233518341,1149.5488576639987,12.825612776399533,812.0808686793144,10.972608581928215
MYS_01_07,1,103.25,1.25,7,1,True,363.37722117962556,6.380078654094721,802.0894674334492,15.083463649565756,478.3992779850546,5.622395777006835,286.07845881745175,4.234030035478898,541.3534384593056,6.039925602606193,26.95103313813732,0.36415478914592736
MYS_01_08,1,103.75,1.25,8,1,True,419.80303865227415,7.370787847225826,924.1545058174015,17.378922752449387,476.7111471601412,5.602555990331144,222.27048066161836,3.2896566033381243,466.75568026079736,5.207632173524989,4.903612640887771,0.06625623656589828
MYS_01_09,1,104.25,1.25,9,1,True,472.14602234475876,8.28981175264275,935.5680465198577,17.593556821700048,506.14980528545885,5.948534328387299,185.93847494686358,2.751934175437242,375.54487102937577,4.1899855442190495,0.045516257049534936,0.0006150028796161681
MYS_01_20,1,109.75,1.25,20,1,True,333.9834728560252,5.863991196453745,1249.5648098237882,23.498332981560427,137.6708870174796,1.6179794774022291,379.9722901719287,5.62368133514115,667.9269248661375,7.452116579605444,557.3151084344289,7.530285193876082
MYS_01_21,1,110.25,1.25,21,1,True,337.3125867394839,5.922442874728883,971.0398484839462,18.260611629466013,176.12526668178995,2.0699152385569324,464.712594720603,6.877858235274913,892.7561645847321,9.960555216396155,665.4899456993329,8.991913208401193
MYS_01_22,1,110.75,1.25,22,1,True,356.5056505133569,6.259429480804101,775.5328335229535,14.584060480084515,221.05587740039448,2.597963017028939,502.35637303278554,7.434995213296716,1035.9161716185297,11.557803391661446,749.2460431502154,10.123602069847928
MYS_01_23,1,111.25,1.25,23,1,True,392.4586381735021,6.890682282993466,614.0412219263592,11.547176251918122,291.34523651107344,3.4240399239525825,516.8731018293777,7.6498462929471875,1096.5419986640168,12.234210815974386,767.9351640237567,10.37612422126767
MYS_01_24,1,111.75,1.25,24,1,True,418.5331743273866,7.348491913962561,496.3356488599342,9.333697824904572,331.3808355102049,3.8945589926491873,558.4734607986077,8.265541616847187,1151.5705521858404,12.84816899131501,821.4771503731938,11.0995685007355
MYS_01_25,1,112.25,1.25,25,1,True,433.1806348356753,7.605668051262133,450.0619713604785,8.463511441921453,316.59060939219324,3.7207366047536046,612.4624910089652,9.06459225645825,1206.507431385855,13.46110434857772,909.3363760789666,12.28669767858272
MYS_01_26,1,112.75,1.25,26,1,True,455.1063329084403,7.99063350890986,388.84053474796843,7.312229258060077,304.18479763544127,3.574937087820213,679.6822659197625,10.059461101623757,1287.687562821945,14.366837866553029,1009.9850389649384,13.646634139022016
MYS_01_27,1,113.25,1.25,27,1,True,448.8186010496428,7.8802352189874565,342.82696837251643,6.446934320287318,381.7082745684025,4.486033089391488,751.8843306998072,11.128069035845657,1275.9580066205917,14.235970226717972,1012.2552865844754,13.67730908713863
MYS_01_28,1,113.75,1.25,28,1,True,394.98645510167165,6.93506500674406,304.0195867262878,5.7171532245839485,443.5913987995738,5.213315575708695,790.3745799489542,11.697733987438356,1326.7172012272513,14.802294807466856,899.9025001584596,12.15922979714556
MYS_01_29,1,114.25,1.25,29,1,True,298.0371985518432,5.232856265546843,268.5797546681986,5.050699617724615,506.2089174350531,5.949229044946338,822.9790319911488,12.180287723946957,1418.099886783124,15.821859075303898,692.2774023487971,9.353857797981238
MYS_01_30,1,114.75,1.25,30,1,True,263.64314827904525,4.628974863017029,225.21103756873654,4.235141635157898,537.2400629328024,6.313923118351024,799.2522077618627,11.829125015476727,1416.0739933284356,15.799256012543365,518.4524399780801,7.005183734320387
