component,component_index,month,raw_component_value,normalized_seasonal_profile
C1,1,1,4.248504688007226,0.07459409256249787
C1,1,2,0.42372496194121995,0.007439647912195146
C1,1,3,2.123958675541612,0.037291890130074376
C1,1,4,0.14281255563604406,0.0025074641024342985
C1,1,5,1.8386735299042347,0.03228293094957694
C1,1,6,1.716081411782015,0.030130491802585938
C1,1,7,2.607248704759815,0.04577736533169045
C1,1,8,2.788378361425013,0.04895759069739075
C1,1,9,3.002640396539553,0.05271954537407487
C1,1,10,5.039367794750686,0.08847985240529976
C1,1,11,14.027461188447601,0.24629035746661912
C1,1,12,18.99612287822666,0.3335287712655604
C2,2,1,12.627828652535658,0.23746901335451123
C2,2,2,2.821855236223463,0.053065590072026415
C2,2,3,2.829610568644974,0.05321143075367066
C2,2,4,3.5107050470638494,0.0660195578071573
C2,2,5,2.2075662551444712,0.041513754656356226
C2,2,6,2.518683556984978,0.04736438192874542
C2,2,7,3.3662354668293335,0.06330277651228741
C2,2,8,3.4224666862768434,0.06436021659714633
C2,2,9,3.250633564383353,0.061128858060342066
C2,2,10,4.690955507539024,0.08821441965333611
C2,2,11,4.310562489770258,0.08106104775528178
C2,2,12,7.619639795609643,0.14328895284913926
C3,3,1,0.36940913506445466,0.0043414872399515254
C3,3,2,2.3392001904289197,0.02749149063860421
C3,3,3,5.80556536190689,0.06823000718437995
C3,3,4,12.083859621699359,0.14201576890571388
C3,3,5,16.123294012160464,0.18948929134513154
C3,3,6,10.307204531650521,0.12113559927510598
C3,3,7,8.92208579748978,0.10485696742934117
C3,3,8,9.214274883215497,0.10829092470576306
C3,3,9,6.7515004237341145,0.07934712533585475
C3,3,10,4.311337232822673,0.050669065290336414
C3,3,11,4.2464032763665935,0.04990592784560471
C3,3,12,4.6140195800862855,0.05422634480421272
C4,4,1,0.5594170115226123,0.008279506394628596
C4,4,2,0.4288186093555002,0.006346618613958782
C4,4,3,2.114541569236708,0.0312957240906065
C4,4,4,0.1229919661232447,0.001820310696726438
C4,4,5,0.2703946523094313,0.004001905924841223
C4,4,6,3.2264174896031435,0.04775175528574535
C4,4,7,5.414398556189237,0.08013440161038901
C4,4,8,8.702685767328532,0.12880184366386102
C4,4,9,13.927195974230152,0.20612585200802963
C4,4,10,19.8534353798386,0.29383562136468033
C4,4,11,11.148161720562936,0.16499547627722372
C4,4,12,1.7980102281685264,0.026610984069309448
C5,5,1,6.903015566027971,0.07701752217756645
C5,5,2,9.289835738063866,0.10364747451873037
C5,5,3,15.896245106799837,0.1773557365389878
C5,5,4,17.384241336048618,0.1939574349547203
C5,5,5,10.531321568621983,0.11749883579317151
C5,5,6,3.8751588629561464,0.04323547163041539
C5,5,7,3.6602537424963306,0.04083775722244829
C5,5,8,3.262933760171169,0.03640482493979284
C5,5,9,1.6011793875806446,0.017864492382162315
C5,5,10,2.0706619040323884,0.023102548095197246
C5,5,11,7.789375528150831,0.08690671442798817
C5,5,12,7.364934226695128,0.08217118731881935
C6,6,1,14.015071701250697,0.1893677119565418
C6,6,2,15.62641557219277,0.21113973770995034
C6,6,3,7.275883099998947,0.09830968863235395
C6,6,4,0.33090044541736235,0.0044710338676679446
C6,6,5,5.451581899055907,0.07366024325625031
C6,6,6,6.882249997002793,0.09299102871725101
C6,6,7,3.3859209547076765,0.045749612825846865
C6,6,8,4.920861630149751,0.0664893000635194
C6,6,9,4.271366208330662,0.05771350036888393
C6,6,10,3.4900972268313764,0.047157213351391565
C6,6,11,0.8635928778930525,0.011668624380564435
C6,6,12,7.495885915037257,0.1012823048697782
