region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,K3_C1_loading,K3_C1_relative_loading,K3_C2_loading,K3_C2_relative_loading,K3_C3_loading,K3_C3_relative_loading
MYS_00_21,1,110.25,0.75,21,0,True,1255.280242475981,0.8161455718235155,1952.4522101927998,0.7103160499788413,296.8371128615227,0.15491586584807276
MYS_00_22,1,110.75,0.75,22,0,True,1289.9969389500125,0.8387173268283857,2098.8552097660295,0.763578506196216,250.88149646885557,0.13093215964832572
MYS_00_24,1,111.75,0.75,24,0,True,1253.3136891098568,0.8148669777954991,2278.6537409136586,0.8289904951658053,238.9879339787823,0.1247250465504854
MYS_01_07,1,103.25,1.25,7,1,True,628.1776237042938,0.4084222538973706,1488.275705292952,0.5414453243691805,384.5935691806378,0.2007149483259313
MYS_01_08,1,103.75,1.25,8,1,True,646.3694313524154,0.4202500217161282,1410.0392204079956,0.5129823327437804,459.95378299820806,0.24004457480525587
MYS_01_09,1,104.25,1.25,9,1,True,611.8710501375994,0.3978202087462244,1349.5332555363673,0.490969830853386,513.6181785166408,0.268051403927158
MYS_01_20,1,109.75,1.25,20,1,True,1253.292270722307,0.814853052202183,1689.7981615535953,0.6147606323525491,390.88252982557015,0.20399708435738048
MYS_01_21,1,110.25,1.25,21,1,True,1286.0959797260205,0.8361810401182201,1918.316310401795,0.6978971659849402,309.61003522333067,0.16158190672151565
MYS_01_22,1,110.75,1.25,22,1,True,1313.3006852122212,0.853868723843355,2069.9472692210916,0.7530615910913512,262.1314020035405,0.1368033556042969
MYS_01_23,1,111.25,1.25,23,1,True,1276.6020313338106,0.8300083595667127,2154.908956814853,0.7839712594643238,250.35893052456933,0.13065943850863593
MYS_01_24,1,111.75,1.25,24,1,True,1277.1589460444561,0.8303704488114858,2261.2778312383643,0.8226690152028588,241.04461029482334,0.12579840220065086
MYS_01_25,1,112.25,1.25,25,1,True,1331.4130789811632,0.8656448591392378,2361.3700449599164,0.8590832769774456,237.47184138617698,0.1239338153111529
MYS_01_26,1,112.75,1.25,26,1,True,1396.8325699599268,0.908178650452605,2496.4357383582383,0.9082211402867224,234.8368778700358,0.12255865824050884
MYS_01_27,1,113.25,1.25,27,1,True,1363.9665809090195,0.8868101699174616,2627.416754861206,0.9558729689864958,224.91473015051903,0.11738040377554747
MYS_01_28,1,113.75,1.25,28,1,True,1286.7918971148779,0.8366335047361215,2698.792861975324,0.981840106211924,178.32716894718746,0.09306689286718925
MYS_01_29,1,114.25,1.25,29,1,True,1163.4026721099588,0.7564095306856201,2748.709127790311,1.0,101.227157784245,0.05282928621799878
MYS_01_30,1,114.75,1.25,30,1,True,1021.5895529988959,0.6642068931608849,2663.7199331343413,0.9690803243614603,82.70937401669488,0.04316506843106832
MYS_02_06,1,102.75,1.75,6,2,True,557.0645874665538,0.36218669018780536,1493.963768797813,0.5435146824716267,385.0947891058974,0.20097652922446985
MYS_02_07,1,103.25,1.75,7,2,True,621.8372857732546,0.4042999563010382,1430.371984085248,0.5203795372976132,458.0665249547301,0.23905963659767895
MYS_02_08,1,103.75,1.75,8,2,True,636.3622942757304,0.4137436812708601,1372.3516078544992,0.4992713102960201,511.38244164592004,0.2668845986385695
MYS_02_09,1,104.25,1.75,9,2,True,612.0597600874415,0.3979429022968048,1343.5277846938645,0.4887849976959648,529.3778131300567,0.2762761754796475
MYS_02_20,1,109.75,1.75,20,2,True,1233.0503209967123,0.8016923434818477,1664.9537921639285,0.6057220734383001,416.9999246378253,0.21762745150397098
MYS_02_21,1,110.25,1.75,21,2,True,1313.1428840211079,0.8537661262408455,1838.8245730978488,0.6689775045699655,345.1862811694781,0.18014873918812335
MYS_02_22,1,110.75,1.75,22,2,True,1348.1470039915719,0.8765247553841858,2010.7533113539598,0.7315264067138328,284.8730300755132,0.14867194902107772
MYS_02_23,1,111.25,1.75,23,2,True,1327.1607723273246,0.8628801368659703,2045.7712459389304,0.7442661812614298,277.9335514734887,0.1450503151700966
MYS_02_24,1,111.75,1.75,24,2,True,1354.4129569051381,0.8805986900727258,2164.0963645927754,0.7873137039903869,255.56364416177547,0.1333757185311249
MYS_02_25,1,112.25,1.75,25,2,True,1407.3066307298297,0.9149885706816572,2321.7518172466293,0.8446698829545078,243.9092703127881,0.1272934352265596
MYS_02_26,1,112.75,1.75,26,2,True,1412.9143232352205,0.918634524191923,2459.688976118349,0.8948524058985079,235.4724564039471,0.12289035934737565
MYS_02_27,1,113.25,1.75,27,2,True,1368.5638305669036,0.8897991637882235,2576.6829233583967,0.9374156389656965,230.47338631393967,0.1202814023205298
MYS_02_28,1,113.75,1.75,28,2,True,1269.338716554434,0.8252859701007111,2658.2041641207707,0.9670736482247224,178.7371391951014,0.09328085161148268
MYS_02_29,1,114.25,1.75,29,2,True,1126.6687301585196,0.732526223162071,2711.638881333184,0.986513579744639,89.99363031759741,0.04696663778685176
MYS_02_30,1,114.75,1.75,30,2,True,989.8249305521869,0.6435544881653339,2623.0295721641596,0.9542768806071579,71.54542563641374,0.0373387325226563
MYS_03_04,1,101.75,2.25,4,3,True,377.8660672015481,0.24567718590122822,1642.4403646182982,0.5975315278043468,411.44808243719996,0.21473000908758763
MYS_03_05,1,102.25,2.25,5,3,True,456.1514873960382,0.2965760185826474,1514.1576659143589,0.5508613663794943,422.35022578386145,0.220419711968291
MYS_03_06,1,102.75,2.25,6,3,True,529.4722530557351,0.3442469817596341,1424.8948695372767,0.5183869239313621,461.2911805602152,0.24074254716896798
MYS_03_07,1,103.25,2.25,7,3,True,596.8836450049891,0.3880758473532832,1326.680877402131,0.482655972575989,590.2356099174583,0.30803715776397717
MYS_03_08,1,103.75,2.25,8,3,True,612.156886958356,0.39800605127574956,1278.391098117162,0.465087806196817,639.5608754087801,0.33377944496692175
MYS_03_09,1,104.25,2.25,9,3,True,586.841140129957,0.38154651182609683,1279.942614827717,0.4656522590502924,621.2929326476113,0.32424561631986265
MYS_03_23,1,111.25,2.25,23,3,True,1338.731275870157,0.8704029313071739,1901.707730573901,0.6918548460974061,317.2687228755579,0.16557888748132452
MYS_03_24,1,111.75,2.25,24,3,True,1413.984904169218,0.9193305838119146,2007.8326149180716,0.7304638365035625,282.21544434816855,0.14728498567930334
MYS_03_25,1,112.25,2.25,25,3,True,1471.376710953299,0.956645015586439,2204.685023551928,0.8020801478271642,254.5378849153795,0.13284038661027703
MYS_03_26,1,112.75,2.25,26,3,True,1456.663743026864,0.94707908503546,2359.1826979905145,0.858287504537471,237.22783655133424,0.12380647200190027
MYS_03_27,1,113.25,2.25,27,3,True,1365.36637860193,0.8877202764019421,2467.6591395593587,0.8977520082465442,231.07277540290056,0.12059421657344158
MYS_03_28,1,113.75,2.25,28,3,True,1234.1794626885908,0.8024264775505638,2542.784502008769,0.9250831513238053,175.55486815988087,0.09162006105860321
MYS_03_29,1,114.25,2.25,29,3,True,1071.409793281639,0.6965985194432703,2591.963671212969,0.9429748841037431,80.85109023405282,0.04219525155606818
MYS_03_30,1,114.75,2.25,30,3,True,937.3179076998633,0.6094159964242117,2559.318228882507,0.9310982391723436,57.270490732211854,0.029888808625704248
MYS_03_31,1,115.25,2.25,31,3,True,822.2944538059503,0.5346311958874028,2466.820858998575,0.8974470357951821,90.09390398539207,0.04701896945764058
MYS_04_03,1,101.25,2.75,3,4,True,377.08065761639307,0.24516653614087858,1713.5130883931356,0.6233882920055022,449.68862358472506,0.23468730649308875
MYS_04_04,1,101.75,2.75,4,4,True,388.2578138915834,0.2524335879838861,1633.8649853061888,0.5944117436025884,460.1974577806753,0.24017174586398013
MYS_04_05,1,102.25,2.75,5,4,True,441.3404678903204,0.2869463378350716,1473.7025174513226,0.5361434946141548,526.2362695415262,0.2746366401114953
MYS_04_06,1,102.75,2.75,6,4,True,502.5989032944992,0.32677473559057446,1335.9934581557864,0.486043955924064,632.2430020641438,0.32996033126371127
MYS_04_07,1,103.25,2.75,7,4,True,567.6437767879036,0.3690649618485397,1234.4605036278542,0.44910554236061995,777.1859544651052,0.40560438652793934
MYS_04_08,1,103.75,2.75,8,4,True,591.2925072230255,0.3844406572277666,1199.4985363245457,0.4363861291095662,801.0884016397724,0.4180787980469559
MYS_04_09,1,104.25,2.75,9,4,True,564.1540629982635,0.36679605458785625,1239.4914072812078,0.45093582101851415,691.0201777461527,0.3606354613884626
MYS_04_23,1,111.25,2.75,23,4,True,1405.8506326642166,0.9140419244001147,1782.7936128840772,0.648593041315094,347.97521095631294,0.18160424947978474
MYS_04_24,1,111.75,2.75,24,4,True,1488.2203512520073,0.9675962454218293,1884.695133954288,0.6856655420173162,319.05703474476786,0.16651218682167448
MYS_04_25,1,112.25,2.75,25,4,True,1523.343805848309,0.9904324623604261,2058.919193806229,0.749049498540937,300.79021304568835,0.15697894324399084
MYS_04_26,1,112.75,2.75,26,4,True,1473.3703712480133,0.9579412337265748,2232.36791536139,0.8121513814580998,280.26849680814166,0.14626889621186284
MYS_04_27,1,113.25,2.75,27,4,True,1344.1920615563995,0.8739533704088944,2370.1335253119755,0.8622714936801361,265.6048660141578,0.13861611641277413
MYS_04_28,1,113.75,2.75,28,4,True,1199.5847960593594,0.7799340626914985,2466.3515206782463,0.8972762871642762,203.20636013093932,0.10605105581998238
MYS_04_29,1,114.25,2.75,29,4,True,1043.6169679085133,0.6785284578034889,2529.7097367732963,0.920326458408108,103.19216149640614,0.053854798993438466
MYS_04_30,1,114.75,2.75,30,4,True,907.4386334014755,0.5899893882591462,2523.865848794899,0.9182004102499695,63.734062119433204,0.0332620719898084
MYS_04_31,1,115.25,2.75,31,4,True,798.5759928490073,0.519210163813883,2460.437148234959,0.8951245962547175,87.02805070840917,0.045418935990166026
MYS_05_03,1,101.25,3.25,3,5,True,399.01882876338965,0.25943007716516125,1681.0374193062964,0.6115734117919139,478.5687729883048,0.24975952339867633
MYS_05_04,1,101.75,3.25,4,5,True,432.0127206149266,0.2808817162658787,1607.8278058193803,0.5849392318611443,521.603165494781,0.2722186765420256
MYS_05_05,1,102.25,3.25,5,5,True,437.33070685113034,0.2843393114472823,1425.8836204721563,0.5187466385788244,678.7090052071903,0.35421040242230795
MYS_05_06,1,102.75,3.25,6,5,True,468.4635366006067,0.3045809437765323,1274.9612873758806,0.46384001656836743,838.7488427635049,0.43773334794020013
MYS_05_07,1,103.25,3.25,7,5,True,531.542711180796,0.34559313154614024,1169.3221881255995,0.42540775824672955,991.3793810495522,0.5173894656186894
MYS_05_25,1,112.25,3.25,25,5,True,1538.0592455722158,1.0,1999.2238308660576,0.7273318994189956,327.27864546598477,0.17080295063912643
MYS_05_26,1,112.75,3.25,26,5,True,1449.4821912669768,0.9424098554329193,2168.4113208109948,0.7888835158612006,323.50830636289237,0.1688352541436788
MYS_05_27,1,113.25,3.25,27,5,True,1290.9342486389332,0.8393267374812062,2310.4345181629196,0.8405525687689913,323.5136735238549,0.1688380552030869
MYS_05_28,1,113.75,3.25,28,5,True,1166.161493404382,0.7582032335630389,2424.0827631207876,0.8818986114654879,258.3643631125838,0.13483738145150234
MYS_05_29,1,114.25,3.25,29,5,True,1038.8653167579978,0.6754390767122244,2519.0648471644777,0.9164537715889769,152.59454652110523,0.07963733399145072
MYS_05_30,1,114.75,3.25,30,5,True,903.846926818785,0.5876541683428587,2521.940956284336,0.9175001206154273,91.66374091223464,0.047838249245190416
MYS_05_31,1,115.25,3.25,31,5,True,764.3026469354007,0.4969266620487376,2451.2984558743938,0.8917998747452024,82.44522119036347,0.04302721011741993
MYS_05_32,1,115.75,3.25,32,5,True,691.4658021609353,0.44957032972009087,2471.82677289031,0.8992682229994314,94.78989122325113,0.04946975103933523
MYS_06_02,1,100.75,3.75,2,6,True,372.79967827546585,0.24238317174626806,1755.9456905899692,0.63882557555356,507.2796220230959,0.26474338439429546
MYS_06_03,1,101.25,3.75,3,6,True,414.67003183205327,0.26960602007095014,1782.3813196504339,0.6484430460938918,454.689937488209,0.2372974345403106
MYS_06_04,1,101.75,3.75,4,6,True,429.8996676540291,0.2795078725943943,1711.0937016407697,0.6225081018362678,580.2582081977615,0.30283006687355357
MYS_06_05,1,102.25,3.75,5,6,True,398.1089584204516,0.2588385067522806,1489.7618740282674,0.541986003162833,905.0236496159013,0.47232140530431566
MYS_06_06,1,102.75,3.75,6,6,True,399.4865164618177,0.2597341536822229,1293.959787255886,0.47075180642926057,1151.8072802388647,0.6011149360274174
MYS_06_07,1,103.25,3.75,7,6,True,440.8208542099344,0.28660850060163484,1161.652592153099,0.42261750448908075,1263.8457148337973,0.6595865029289377
MYS_06_27,1,113.25,3.75,27,6,True,1259.5636981174073,0.8189305462344543,2290.5471400989345,0.8333173986802695,350.4095382422034,0.18287469681575258
MYS_06_28,1,113.75,3.75,28,6,True,1119.5984811975147,0.7279293593017492,2404.6812674425923,0.8748402088567724,299.08091571857136,0.1560868806819026
MYS_06_29,1,114.25,3.75,29,6,True,975.2658516654183,0.6340886116533064,2501.6245492284775,0.9101088667172051,226.98608440071328,0.11846141967027025
