component_count,component,component_index,month,month_name,normalized_profile,peak_month,second_peak_month,normalized_entropy,profile_maximum
3,K3_C1,1,1,Jan,0.24019675522901301,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,2,Feb,0.11908089927391227,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,3,Mar,0.08273838379792867,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,4,Apr,0.07277194483538714,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,5,May,0.053829167771915355,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,6,Jun,0.0,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,7,Jul,0.04537165732758881,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,8,Aug,0.054966857992249686,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,9,Sep,0.02566831257119952,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,10,Oct,0.019055727956665627,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,11,Nov,0.08567030307910328,1,12,0.8661179319033425,0.24019675522901301
3,K3_C1,1,12,Dec,0.20064999016503665,1,12,0.8661179319033425,0.24019675522901301
3,K3_C2,2,1,Jan,0.04321244013766454,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,2,Feb,0.05227295360763712,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,3,Mar,0.07906924570065345,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,4,Apr,0.11127037524764871,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,5,May,0.17219184738884064,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,6,Jun,0.14442938519604673,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,7,Jul,0.08747100517055949,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,8,Aug,0.0731805490890224,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,9,Sep,0.11602345172091198,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,10,Oct,0.11128253252488499,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,11,Nov,0.009596214216129937,5,6,0.909763373767324,0.17219184738884064
3,K3_C2,2,12,Dec,0.0,5,6,0.909763373767324,0.17219184738884064
3,K3_C3,3,1,Jan,0.036876728448854895,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,2,Feb,0.009908579125679325,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,3,Mar,0.013440963971953174,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,4,Apr,0.07568851858490173,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,5,May,0.015112755900535374,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,6,Jun,0.0,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,7,Jul,0.0013597257898886814,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,8,Aug,0.00913661500149082,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,9,Sep,0.06628448793909568,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,10,Oct,0.20007473760766717,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,11,Nov,0.37669590520928803,11,10,0.6940189889665344,0.37669590520928803
3,K3_C3,3,12,Dec,0.19542098242064496,11,10,0.6940189889665344,0.37669590520928803
