region_id,month,observed_precipitation_mm,reconstructed_precipitation_mm,residual_mm,absolute_residual_mm
SLR_00_02,1,128.341793,128.15863441331734,0.1831585866826515,0.1831585866826515
SLR_00_02,2,91.58652023333336,100.79351259805922,-9.206992364725863,9.206992364725863
SLR_00_02,3,123.85404146666666,134.39793086391865,-10.543889397251988,10.543889397251988
SLR_00_02,4,186.67862366666668,221.36952093112333,-34.69089726445665,34.69089726445665
SLR_00_02,5,281.04631613333333,260.7798771525561,20.266438980777252,20.266438980777252
SLR_00_02,6,213.86592646666665,200.87171161532598,12.994214851340672,12.994214851340672
SLR_00_02,7,124.83269873333332,131.1333712576861,-6.300672524352777,6.300672524352777
SLR_00_02,8,126.18894313333334,118.31941654633907,7.869526586994269,7.869526586994269
SLR_00_02,9,228.0191935,213.20215920334843,14.81703429665157,14.81703429665157
SLR_00_02,10,280.27281800000003,299.5444421346852,-19.27162413468517,19.27162413468517
SLR_00_02,11,306.684421,293.22262798465385,13.461793015346132,13.461793015346132
SLR_00_02,12,176.1733405,172.30088628928561,3.8724542107143805,3.8724542107143805
SLR_01_01,1,132.84059528681226,143.97760235349273,-11.137007066680468,11.137007066680468
SLR_01_01,2,105.259826664505,116.19488612768916,-10.93505946318416,10.93505946318416
SLR_01_01,3,146.57292989075466,156.85575526976828,-10.282825379013616,10.282825379013616
SLR_01_01,4,232.6893920520436,256.6623126405911,-23.97292058854751,23.97292058854751
SLR_01_01,5,328.2407173437487,307.75548026789994,20.485237075848772,20.485237075848772
SLR_01_01,6,244.56832915222236,238.57006994428127,5.998259207941089,5.998259207941089
SLR_01_01,7,151.35516705868426,154.67210444583753,-3.316937387153274,3.316937387153274
SLR_01_01,8,138.1178893378462,138.71345283533202,-0.5955634974858128,0.5955634974858128
SLR_01_01,9,265.43005971433354,248.7327185398434,16.697341174490134,16.697341174490134
SLR_01_01,10,325.91356341563613,343.2918616165033,-17.378298200867164,17.378298200867164
SLR_01_01,11,339.0636716163157,323.16401111985084,15.899660496464833,15.899660496464833
SLR_01_01,12,188.5944174147511,187.66516224639554,0.929255168355553,0.929255168355553
SLR_01_02,1,141.65971445945505,134.31866105439178,7.341053405063263,7.341053405063263
SLR_01_02,2,102.79561659191936,102.15281780402883,0.642798787890527,0.642798787890527
SLR_01_02,3,137.7728916352343,133.94779906370775,3.8250925715265396,3.8250925715265396
SLR_01_02,4,206.7044269450696,222.62731814720706,-15.922891202137464,15.922891202137464
SLR_01_02,5,278.48821991364724,255.9038554176192,22.58436449602803,22.58436449602803
SLR_01_02,6,198.3573745299392,195.3328297632071,3.024544766732106,3.024544766732106
SLR_01_02,7,122.9571303727653,128.77917141370614,-5.822041040940832,5.822041040940832
SLR_01_02,8,118.1858892281788,117.18968249282442,0.9962067353543773,0.9962067353543773
SLR_01_02,9,212.02595344107448,212.60043271274924,-0.5744792716747611,0.5744792716747611
SLR_01_02,10,283.0727342642011,305.9664688288725,-22.893734564671433,22.893734564671433
SLR_01_02,11,323.72351404175566,314.6777599102826,9.045754131473075,9.045754131473075
SLR_01_02,12,190.3267791433148,187.53339282018038,2.7933863231344276,2.7933863231344276
SLR_01_03,1,148.98709672488965,119.43327667742027,29.553820047469387,29.553820047469387
SLR_01_03,2,92.4266821603046,77.38788245929958,15.038799701005019,15.038799701005019
SLR_01_03,3,115.17513508125332,92.44939314499061,22.725741936262708,22.725741936262708
SLR_01_03,4,173.5294414022419,161.7644830466959,11.764958355546014,11.764958355546014
SLR_01_03,5,181.36809913812783,160.38650212640306,20.981597011724773,20.981597011724773
SLR_01_03,6,103.34139903448528,115.07837195781309,-11.736972923327812,11.736972923327812
SLR_01_03,7,71.75983327315595,81.11426740554028,-9.354434132384327,9.354434132384327
SLR_01_03,8,76.10752498818054,77.90801886884853,-1.800493880667986,1.800493880667986
SLR_01_03,9,120.04897754176008,147.190315254129,-27.14133771236891,27.14133771236891
SLR_01_03,10,222.2476729781642,241.29393602208853,-19.04626304392434,19.04626304392434
SLR_01_03,11,305.2191456334989,308.19904425772455,-2.9798986242256547,2.9798986242256547
SLR_01_03,12,191.99133466546644,193.56178991364132,-1.5704552481748806,1.5704552481748806
SLR_01_04,1,152.7766861,108.29775773658986,44.47892836341015,44.47892836341015
SLR_01_04,2,83.95398216666668,59.78143776760314,24.17254439906354,24.17254439906354
SLR_01_04,3,97.7975334,63.228683929767755,34.56884947023225,34.56884947023225
SLR_01_04,4,148.06020073333332,118.71003196406718,29.350168769266133,29.350168769266133
SLR_01_04,5,113.13785443333332,93.52620213873095,19.611652294602365,19.611652294602365
SLR_01_04,6,37.93521828333333,59.051015622650226,-21.1157973393169,21.1157973393169
SLR_01_04,7,35.8464997,47.74157942086666,-11.895079720866654,11.895079720866654
SLR_01_04,8,47.259475683333335,50.32101769534838,-3.061542012015046,3.061542012015046
SLR_01_04,9,56.83623793333334,101.12124897589385,-44.28501104256051,44.28501104256051
SLR_01_04,10,179.06044686666667,195.01827725931543,-15.95783039264876,15.95783039264876
SLR_01_04,11,290.40556533333336,301.409774395515,-11.004209062181644,11.004209062181644
SLR_01_04,12,191.7006996,196.23720962602295,-4.536510026022938,4.536510026022938
SLR_02_00,1,114.57209559051176,145.87948148577425,-31.307385895262485,31.307385895262485
SLR_02_00,2,98.97037592112623,117.36188817414494,-18.391512253018703,18.391512253018703
SLR_02_00,3,141.96217560188964,158.19840061255067,-16.23622501066103,16.23622501066103
SLR_02_00,4,254.29534019892583,259.0623968471443,-4.7670566482184995,4.7670566482184995
SLR_02_00,5,314.376258136821,309.9831250084059,4.393133128415059,4.393133128415059
SLR_02_00,6,240.5814630771762,240.11777302869385,0.4636900484823627,0.4636900484823627
SLR_02_00,7,153.6003906888574,155.80149453102078,-2.201103842163377,2.201103842163377
SLR_02_00,8,131.6291271793142,139.82628600896552,-8.197158829651329,8.197158829651329
SLR_02_00,9,265.183393340263,250.87322103277205,14.310172307490973,14.310172307490973
SLR_02_00,10,358.44990051969614,346.98475885162804,11.4651416680681,11.4651416680681
SLR_02_00,11,344.3509525691131,328.20982801690195,16.141124552211124,16.141124552211124
SLR_02_00,12,178.7176428794464,190.87777855293075,-12.160135673484348,12.160135673484348
SLR_02_01,1,129.4786124291277,147.56958760540908,-18.090975176281376,18.090975176281376
SLR_02_01,2,108.43243032818978,118.14967009803279,-9.717239769843005,9.717239769843005
SLR_02_01,3,151.65144551625775,158.89733730568597,-7.245891789428214,7.245891789428214
SLR_02_01,4,251.53538411688297,260.5242004760448,-8.98881635916186,8.98881635916186
SLR_02_01,5,318.27592513932785,310.7175215749904,7.558403564337425,7.558403564337425
SLR_02_01,6,244.82414634022095,240.40647446316092,4.41767187706003,4.41767187706003
SLR_02_01,7,156.2415895247332,156.18596556616038,0.05562395857282354,0.05562395857282354
SLR_02_01,8,136.67240109367734,140.32766717824052,-3.6552660845631806,3.6552660845631806
SLR_02_01,9,260.3197068963796,251.99943087395187,8.320276022427748,8.320276022427748
SLR_02_01,10,346.12330174192743,349.69602870898314,-3.5727269670557007,3.5727269670557007
SLR_02_01,11,346.25707670101514,333.22026822115305,13.036808479862088,13.036808479862088
SLR_02_01,12,190.1775505842637,194.22978893489946,-4.052238350635747,4.052238350635747
SLR_02_02,1,148.4821504516929,140.06419992423164,8.417950527461244,8.417950527461244
SLR_02_02,2,110.26965179427398,104.34793862684761,5.921713167426375,5.921713167426375
SLR_02_02,3,143.45465187730534,135.36635177755053,8.088300099754804,8.088300099754804
SLR_02_02,4,223.28057886588056,226.29665694772848,-3.0160780818479225,3.0160780818479225
SLR_02_02,5,265.56237871115457,255.98794933361575,9.57442937753882,9.57442937753882
SLR_02_02,6,195.8946037250917,194.20892919880544,1.6856745262862773,1.6856745262862773
SLR_02_02,7,128.73866575122048,128.88659918392696,-0.14793343270648052,0.14793343270648052
SLR_02_02,8,118.31203819775251,117.94955978769208,0.362478410060433,0.362478410060433
SLR_02_02,9,208.00121167555892,214.92564722635535,-6.9244355507964315,6.9244355507964315
SLR_02_02,10,298.3496836054262,314.0783049136842,-15.72862130825797,15.72862130825797
SLR_02_02,11,334.65761193702104,332.73082495349234,1.9267869835287001,1.9267869835287001
SLR_02_02,12,203.772594360804,199.89172971204175,3.880864648762241,3.880864648762241
SLR_02_03,1,164.38976870523268,124.30931156047181,40.08045714476087,40.08045714476087
SLR_02_03,2,99.95565694415752,77.78609373320947,22.169563210948056,22.169563210948056
SLR_02_03,3,113.37134207706126,90.74937616600123,22.62196591106003,22.62196591106003
SLR_02_03,4,173.9158204210884,160.9356162284576,12.980204192630794,12.980204192630794
SLR_02_03,5,164.68838220243563,153.14122235058565,11.547159851849983,11.547159851849983
SLR_02_03,6,96.96719527273896,107.73944465368187,-10.77224938094291,10.77224938094291
SLR_02_03,7,73.60506552424222,77.5673180399046,-3.962252515662385,3.962252515662385
SLR_02_03,8,76.80268464876472,75.68818312692594,1.1145015218387897,1.1145015218387897
SLR_02_03,9,120.7564172172758,144.6042626518723,-23.847845434596493,23.847845434596493
SLR_02_03,10,225.2261573601732,244.8264136402417,-19.600256280068493,19.600256280068493
SLR_02_03,11,312.41155722395547,326.61352182459234,-14.20196460063687,14.20196460063687
SLR_02_03,12,214.95381485846,206.9708679399992,7.982946918460783,7.982946918460783
SLR_02_04,1,174.43116730082863,117.2996803781678,57.13148692266083,57.13148692266083
SLR_02_04,2,95.95567572055066,65.00908757665741,30.94658814389325,30.94658814389325
SLR_02_04,3,98.38646320082836,68.99686953777427,29.389593663054086,29.389593663054086
SLR_02_04,4,149.358614560494,129.27330625552327,20.085308304970738,20.085308304970738
SLR_02_04,5,114.37018620132515,102.59156150472337,11.778624696601781,11.778624696601781
SLR_02_04,6,48.52432871849362,65.08632793603232,-16.5619992175387,16.5619992175387
SLR_02_04,7,47.12562348420423,52.352026422856376,-5.226402938652143,5.226402938652143
SLR_02_04,8,56.98565517895213,55.00937878190823,1.9762763970438968,1.9762763970438968
SLR_02_04,9,79.29958650661865,110.33130757146061,-31.03172106484196,31.03172106484196
SLR_02_04,10,189.6890373955236,211.82011314226136,-22.131075746737764,22.131075746737764
SLR_02_04,11,302.4496299882006,325.91759494661176,-23.46796495841113,23.46796495841113
SLR_02_04,12,223.6217575175752,212.03332087407196,11.588436643503229,11.588436643503229
SLR_03_00,1,96.933933693693,133.46466197801027,-36.53072828431726,36.53072828431726
SLR_03_00,2,87.56215720824959,103.56816544674571,-16.006008238496122,16.006008238496122
SLR_03_00,3,126.9722151665858,137.18984346262727,-10.217628296041468,10.217628296041468
SLR_03_00,4,239.32137995711227,226.77025735461297,12.551122602499305,12.551122602499305
SLR_03_00,5,251.93202892613635,264.5912671336189,-12.659238207482531,12.659238207482531
SLR_03_00,6,204.9334768962165,203.09214634482,1.8413305513964815,1.8413305513964815
SLR_03_00,7,127.58158445702212,133.08913538580774,-5.507550928785619,5.507550928785619
SLR_03_00,8,109.32777155387213,120.4830482397545,-11.15527668588237,11.15527668588237
SLR_03_00,9,211.6687342197308,217.67618259669877,-6.007448376967972,6.007448376967972
SLR_03_00,10,347.98889149634243,308.7461723559153,39.24271914042714,39.24271914042714
SLR_03_00,11,320.0253883750945,308.3160815488348,11.709306826259706,11.709306826259706
SLR_03_00,12,158.75061228608214,182.22325677841232,-23.472644492330176,23.472644492330176
SLR_03_01,1,113.7857262851265,138.86111587053915,-25.07538958541265,25.07538958541265
SLR_03_01,2,98.18889499239847,107.38858105750087,-9.199686065102398,9.199686065102398
SLR_03_01,3,135.93910886843491,142.0088878349236,-6.069778966488684,6.069778966488684
SLR_03_01,4,243.58892375225017,234.95086874475672,8.638055007493449,8.638055007493449
SLR_03_01,5,253.4460102419156,273.4552895850259,-20.009279343110336,20.009279343110336
SLR_03_01,6,218.3201496495329,209.70308335028648,8.617066299246432,8.617066299246432
SLR_03_01,7,141.61777958244838,137.55829609133798,4.059483491110399,4.059483491110399
SLR_03_01,8,123.49063867481443,124.63639879166527,-1.1457601168508376,1.1457601168508376
SLR_03_01,9,219.69861267024132,225.33453211584526,-5.635919445603946,5.635919445603946
SLR_03_01,10,345.9444104911909,320.3895711454597,25.55483934573124,25.55483934573124
SLR_03_01,11,327.7218171814969,321.5579678559594,6.163849325537456,6.163849325537456
SLR_03_01,12,177.98498719985517,190.32351518152868,-12.338527981673508,12.338527981673508
SLR_03_02,1,146.97898679430648,139.9281989951388,7.050787799167665,7.050787799167665
SLR_03_02,2,108.28710591693688,100.74072172089853,7.546384196038346,7.546384196038346
SLR_03_02,3,131.33489942933866,128.28422195284028,3.050677476498379,3.050677476498379
SLR_03_02,4,222.4813942909229,216.6392790454384,5.842115245484507,5.842115245484507
SLR_03_02,5,218.41219033202984,238.22642738011533,-19.814237048085488,19.814237048085488
SLR_03_02,6,186.7400412366445,178.73709381622632,8.002947420418167,8.002947420418167
SLR_03_02,7,129.7510449476283,120.05333166557214,9.697713282056142,9.697713282056142
SLR_03_02,8,118.14095686907233,110.97811151583767,7.162845353234658,7.162845353234658
SLR_03_02,9,197.1095425593724,203.80372943305986,-6.694186873687471,6.694186873687471
SLR_03_02,10,309.95191478490807,305.75066631187843,4.201248473029636,4.201248473029636
SLR_03_02,11,330.0957016812275,339.81223496079315,-9.716533279565624,9.716533279565624
SLR_03_02,12,213.01952981247047,206.6892667997778,6.3302630126926545,6.3302630126926545
