component,component_index,month,raw_component_value,normalized_seasonal_profile
C1,1,1,2.07612003892706,0.024997780597026148
C1,1,2,3.7883913751020732,0.045614595801218474
C1,1,3,13.21279113609159,0.1590902489747383
C1,1,4,13.70831884955193,0.1650567118133848
C1,1,5,4.929906865777872,0.0593591545208421
C1,1,6,0.7087858553019515,0.008534223921980163
C1,1,7,3.057900859587402,0.0368190342283523
C1,1,8,3.7223661529899488,0.04481961093267408
C1,1,9,5.459784774548262,0.06573921514272149
C1,1,10,9.897062026582276,0.11916680175367966
C1,1,11,14.385314325725625,0.17320815973607587
C1,1,12,8.10543234662872,0.09759446257730672
C2,2,1,15.607312726136087,0.1698040917439617
C2,2,2,15.961835809557503,0.17366122405360215
C2,2,3,8.436926415679613,0.09179188321933437
C2,2,4,2.6457657382386235,0.02878534287306011
C2,2,5,7.089243945272613,0.07712939763566953
C2,2,6,8.32105414774769,0.09053121871162931
C2,2,7,5.2227624624919,0.0568224941666464
C2,2,8,7.213097455664871,0.07847689628649365
C2,2,9,7.095238162855151,0.07719461338998795
C2,2,10,7.019080698312074,0.07636603711147177
C2,2,11,1.3760341827471203,0.014970945909140233
C2,2,12,5.925291594760566,0.06446585489900276
C3,3,1,17.05612821748362,0.22851118140183088
C3,3,2,5.1057883933447545,0.06840530997855618
C3,3,3,4.797080537333083,0.06426936564313883
C3,3,4,6.671818256646968,0.08938635149106731
C3,3,5,6.17139603209889,0.08268189475428016
C3,3,6,4.901223620655026,0.06566463300401221
C3,3,7,4.972381830442418,0.06661798222709606
C3,3,8,4.449053060957834,0.05960663276655992
C3,3,9,2.523562295679142,0.033809677915978706
C3,3,10,2.525197144436605,0.033831580965499534
C3,3,11,4.183745246288041,0.05605214481992341
C3,3,12,11.282860091226146,0.15116324503205686
C4,4,1,5.820741982122846,0.06733825216116959
C4,4,2,0.15081763050292174,0.0017447596310482725
C4,4,3,2.7203349971936555,0.03147066208508929
C4,4,4,0.19119927060657388,0.0022119215620070493
C4,4,5,2.8402110251081325,0.032857468478600056
C4,4,6,3.0021210721853357,0.034730552633678045
C4,4,7,4.519516175434212,0.05228479819283816
C4,4,8,5.149806714680407,0.0595764224216587
C4,4,9,6.006418508819697,0.06948628291283722
C4,4,10,9.410424462482913,0.10886610974073914
C4,4,11,20.452171130194106,0.23660445026393848
C4,4,12,26.176585499935825,0.302828319916396
C5,5,1,0.01680973881031434,0.00017951756813194584
C5,5,2,3.025638205453172,0.032311936480344465
C5,5,3,5.538149924227339,0.05914400084178467
C5,5,4,8.32341442775878,0.08888889550792883
C5,5,5,11.867924063228635,0.12674205653321305
C5,5,6,9.29790362140497,0.09929583473454456
C5,5,7,8.946222775590664,0.0955401017685789
C5,5,8,10.97985822123026,0.1172580650152261
C5,5,9,11.85728871167356,0.1266284775853817
C5,5,10,12.815201899071596,0.13685839536243255
C5,5,11,7.771073442873476,0.08299023690858329
C5,5,12,3.1989203082546087,0.034162481693849896
