region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight
MYS_00_21,1,110.25,0.75,21,0,True,854.0771585287799,10.283621862668243,1123.5776039096418,12.22427447207095,818.3766293352846,10.964282632992802,415.1254776893443,4.802450302903855,290.5553251202846,3.1029503766813717
MYS_00_22,1,110.75,0.75,22,0,True,980.5715659737388,11.80669345042387,1211.9047780257408,13.18525448447108,741.8756353662806,9.939352925185377,373.3314649237501,4.318949096514644,326.84368422025943,3.490487509211299
MYS_00_24,1,111.75,0.75,24,0,True,1053.8772424752297,12.68933953222166,1240.4205807676872,13.495500077028318,625.8134018145441,8.38439755859425,377.2065922902384,4.3637791722271,466.8992094971394,4.9861935154057875
MYS_01_07,1,103.25,1.25,7,1,True,510.7237456924307,6.149432547796577,87.5833865765633,0.9528877693716522,944.6348640041548,12.655839942952431,328.04255138003646,3.7950165309279162,628.355231413815,6.7104435315306805
MYS_01_08,1,103.75,1.25,8,1,True,444.80024218788054,5.355672434751434,40.13670759725237,0.43667845315429216,1060.1922662926122,14.204031782269988,397.4302184265597,4.597739660522814,573.6733483871242,6.126474989687318
MYS_01_09,1,104.25,1.25,9,1,True,364.6257951819778,4.390322070532023,0.006859235109677014,7.462695265319713e-05,1076.4282617862518,14.421555153587242,460.6424622074995,5.3290213466836995,575.007434447361,6.140722200064286
MYS_01_20,1,109.75,1.25,20,1,True,611.3199319277691,7.3606733938259605,1006.3484845665248,10.948847722745437,1022.6751090438313,13.701391920723378,506.99187258804506,5.865222451854219,188.93769506557723,2.0177372134905474
MYS_01_21,1,110.25,1.25,21,1,True,816.2521734996318,9.828185443234085,1140.5401532594653,12.408823236906395,866.1307906187322,11.604073778591035,433.16893784830035,5.011189167085682,256.1830681650615,2.735876024757362
MYS_01_22,1,110.75,1.25,22,1,True,947.247971999867,11.405456587793454,1224.3016645743658,13.320129853330519,779.9877419330336,10.44996367964452,389.27861322924383,4.503436417400025,300.30462322716784,3.2070668241104756
MYS_01_23,1,111.25,1.25,23,1,True,1004.5875501857169,12.095860884337243,1205.5790077958973,13.116431511079846,718.9667961553967,9.632429463666277,373.050368579308,4.31569718523224,373.95334879324184,3.9935894618998393
MYS_01_24,1,111.75,1.25,24,1,True,1055.26009392262,12.705989926433936,1263.5202310509012,13.74681913526541,642.7202230334937,8.61090838457007,380.4833550510088,4.4016869643496115,430.8855950906638,4.601590485528537
