region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,K4_C1_loading,K4_C1_relative_loading,K4_C2_loading,K4_C2_relative_loading,K4_C3_loading,K4_C3_relative_loading,K4_C4_loading,K4_C4_relative_loading
SLR_00_02,1,80.55000000000001,5.949999999999989,2,0,True,167.73158775442062,0.25602059144459377,1236.6156516557098,0.851977679598599,250.35313993850798,0.4510043765811401,618.1237527517092,0.5737822481138789
SLR_01_01,22,80.27272727272728,6.272727272727267,1,1,False,146.69482861719285,0.22391069736622826,1451.4648461663094,1.0,361.04978082949987,0.6504213662259702,645.4349696910117,0.5991342773546215
SLR_01_02,24,80.74166666666667,6.258333333333328,2,1,False,231.5412239863798,0.3534177545352413,1162.940012262989,0.8012181730302402,344.87307836442824,0.6212794764450383,583.4216854125905,0.5415695558764446
SLR_01_03,16,81.21875000000001,6.331249999999994,3,1,False,333.2109505799365,0.5086034526078246,618.7714627975714,0.4263082667361221,367.9750562392924,0.6628970616361151,491.9086955273652,0.45662130913100835
SLR_01_04,2,81.60000000000002,6.449999999999989,4,1,True,398.3116235888385,0.6079712164877139,242.61491151247998,0.16715176544115976,374.4871628418177,0.6746284446705887,430.95914472242754,0.40004401352199165
SLR_02_00,4,79.94999999999999,6.799999999999994,0,2,False,48.020779758662734,0.07329751420134273,1437.6652030446814,0.9904926094778828,477.83374363684794,0.8608045008395003,637.277316243727,0.5915618184198536
SLR_02_01,25,80.25000000000001,6.749999999999995,1,2,False,125.55257021363319,0.19163977229230092,1435.5603429096434,0.9890424468090468,458.78304447702686,0.826485184133026,621.6267489749418,0.5770339546518547
SLR_02_02,25,80.75000000000001,6.749999999999995,2,2,False,258.437615330998,0.39447161989217333,1128.9557487308514,0.7778044034016482,421.65953494015815,0.7596081907815869,570.855578631247,0.5299048868406075
SLR_02_03,25,81.25000000000001,6.749999999999995,3,2,False,401.73510775154614,0.6131967226185023,564.6298116788149,0.3890068803045054,365.8713700615435,0.6591073281686176,510.2485534137773,0.47364554552591936
SLR_02_04,15,81.6566666666667,6.77666666666666,4,2,False,481.3933014912955,0.7347846605119788,286.7186391521101,0.19753743255264328,334.08205765725666,0.6018397459591036,485.1713318153069,0.4503672545345682
