target,depth_label,selected_alpha,feature,feature_type,component,component_label,lag_months,standardized_coefficient,bootstrap_mean_coefficient,bootstrap_median_coefficient,bootstrap_q025_coefficient,bootstrap_q975_coefficient,probability_positive,probability_negative,stable_positive_95,stable_negative_95,absolute_standardized_coefficient
SM_0_10cm_mm,0–10 cm,10.0,K4_C1_L0_mm,precipitation_component,C1,January eastern,0.0,0.14171876516589293,0.14464523098021745,0.1455584540963173,0.09568228535354138,0.19069296605885028,1.0,0.0,True,False,0.14171876516589293
SM_0_10cm_mm,0–10 cm,10.0,K4_C1_L1_mm,precipitation_component,C1,January eastern,1.0,0.12940338982998173,0.13361316840723156,0.13109726458787918,0.08786218091845513,0.1923913687467575,1.0,0.0,True,False,0.12940338982998173
SM_0_10cm_mm,0–10 cm,10.0,K4_C1_L2_mm,precipitation_component,C1,January eastern,2.0,0.046085216242356494,0.04787210852466524,0.04823845624923706,0.028880356019362806,0.06532863602042197,1.0,0.0,True,False,0.046085216242356494
SM_0_10cm_mm,0–10 cm,10.0,K4_C1_L3_mm,precipitation_component,C1,January eastern,3.0,0.08387239416667223,0.08524225031659007,0.08403858542442322,0.038059528917074203,0.14229067228734485,1.0,0.0,True,False,0.08387239416667223
SM_0_10cm_mm,0–10 cm,10.0,K4_C2_L0_mm,precipitation_component,C2,May–June southwest,0.0,0.3803833799488768,0.3758550212711096,0.3767080157995224,0.3049087546765804,0.4414776764810084,1.0,0.0,True,False,0.3803833799488768
SM_0_10cm_mm,0–10 cm,10.0,K4_C2_L1_mm,precipitation_component,C2,May–June southwest,1.0,0.056868554932427616,0.057897507117781334,0.056475553661584854,0.007146256638225169,0.113027760758996,0.9892,0.0108,True,False,0.056868554932427616
SM_0_10cm_mm,0–10 cm,10.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.08815726672603275,0.08581042396444827,0.08559494093060493,0.04392892606556416,0.12710237540304659,1.0,0.0,True,False,0.08815726672603275
SM_0_10cm_mm,0–10 cm,10.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.14738604506940212,0.14648947515450417,0.14639084041118622,0.08672611061483622,0.20680529028177255,1.0,0.0,True,False,0.14738604506940212
SM_0_10cm_mm,0–10 cm,10.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.22705827300601467,0.22760797275006772,0.2271718755364418,0.1824666503816843,0.27563313245773313,1.0,0.0,True,False,0.22705827300601467
SM_0_10cm_mm,0–10 cm,10.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.08772018065828642,0.09020500623304396,0.08931610733270645,0.04540661722421646,0.137999764457345,1.0,0.0,True,False,0.08772018065828642
SM_0_10cm_mm,0–10 cm,10.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.05349876399336618,0.05325753036573296,0.05317487567663193,0.024895754363387822,0.08136870022863146,0.9998,0.0002,True,False,0.05349876399336618
SM_0_10cm_mm,0–10 cm,10.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.06835379391768616,0.06727726612635015,0.0678151398897171,0.014993704506196083,0.11606097891926759,0.9924,0.0076,True,False,0.06835379391768616
SM_0_10cm_mm,0–10 cm,10.0,K4_C4_L0_mm,precipitation_component,C4,November northern,0.0,0.34675846190204934,0.34512982749938964,0.3441895395517349,0.25847333371639253,0.43075578361749645,1.0,0.0,True,False,0.34675846190204934
SM_0_10cm_mm,0–10 cm,10.0,K4_C4_L1_mm,precipitation_component,C4,November northern,1.0,0.184568893334727,0.18291754361689092,0.18391764909029007,0.14796252064406873,0.21144036389887333,1.0,0.0,True,False,0.184568893334727
SM_0_10cm_mm,0–10 cm,10.0,K4_C4_L2_mm,precipitation_component,C4,November northern,2.0,0.06776355661309055,0.06730988233634562,0.06772677972912788,0.022843186836689712,0.10999526344239711,0.9966,0.0034,True,False,0.06776355661309055
SM_0_10cm_mm,0–10 cm,10.0,K4_C4_L3_mm,precipitation_component,C4,November northern,3.0,0.08001175701347965,0.07520430610729381,0.07492576539516449,0.030292155453935266,0.12035925872623919,0.9998,0.0002,True,False,0.08001175701347965
SM_0_10cm_mm,0–10 cm,10.0,PET_mm,atmospheric,,,,-0.17728602724748369,-0.17348084033755584,-0.17696332186460495,-0.3026287376880646,-0.0348483756184578,0.0066,0.9934,False,True,0.17728602724748369
SM_0_10cm_mm,0–10 cm,10.0,latitude,spatial,,,,-0.0338419977590662,-0.031063197841616874,-0.03739656135439873,-0.1650618717074394,0.13553932979702937,0.3132,0.6868,False,False,0.0338419977590662
SM_0_10cm_mm,0–10 cm,10.0,longitude,spatial,,,,-0.1385082159690101,-0.1412366902959242,-0.14157752692699432,-0.2522382624447346,-0.02915074010379618,0.0088,0.9912,False,True,0.1385082159690101
SM_10_40cm_mm,10–40 cm,10.0,K4_C1_L0_mm,precipitation_component,C1,January eastern,0.0,0.12860412853414321,0.13197555896155536,0.13199950009584427,0.0720381686463952,0.19164402335882186,0.9998,0.0002,True,False,0.12860412853414321
SM_10_40cm_mm,10–40 cm,10.0,K4_C1_L1_mm,precipitation_component,C1,January eastern,1.0,0.07746858104607615,0.08081896115615964,0.07879622280597687,0.04893370689824224,0.12303997147828338,1.0,0.0,True,False,0.07746858104607615
SM_10_40cm_mm,10–40 cm,10.0,K4_C1_L2_mm,precipitation_component,C1,January eastern,2.0,0.07772989449716168,0.0800211176790297,0.07990892603993416,0.059660023730248216,0.10052641443908213,1.0,0.0,True,False,0.07772989449716168
SM_10_40cm_mm,10–40 cm,10.0,K4_C1_L3_mm,precipitation_component,C1,January eastern,3.0,0.07357761853712136,0.07599861365333199,0.07473045960068703,0.03565080631524324,0.12471066322177647,1.0,0.0,True,False,0.07357761853712136
SM_10_40cm_mm,10–40 cm,10.0,K4_C2_L0_mm,precipitation_component,C2,May–June southwest,0.0,0.32878806031066543,0.32433345628976823,0.32565055787563324,0.24044543653726577,0.40294186770915985,1.0,0.0,True,False,0.32878806031066543
SM_10_40cm_mm,10–40 cm,10.0,K4_C2_L1_mm,precipitation_component,C2,May–June southwest,1.0,0.10833029614798377,0.11107935242950916,0.10991362109780312,0.061738824006170034,0.16580120660364625,1.0,0.0,True,False,0.10833029614798377
SM_10_40cm_mm,10–40 cm,10.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.08741318406777465,0.08577853322848678,0.085911113768816,0.04620235590264201,0.1253501854836941,1.0,0.0,True,False,0.08741318406777465
SM_10_40cm_mm,10–40 cm,10.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.12976794306062475,0.1286732253914699,0.12841329723596573,0.06509955357760192,0.19311117902398106,0.9998,0.0002,True,False,0.12976794306062475
SM_10_40cm_mm,10–40 cm,10.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.169081586003005,0.16760179455280305,0.16777341067790985,0.11205939147621394,0.2217346310615539,1.0,0.0,True,False,0.169081586003005
SM_10_40cm_mm,10–40 cm,10.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.1046680307936138,0.10700460780411959,0.10597007721662521,0.06203769659623504,0.16013360358774661,1.0,0.0,True,False,0.1046680307936138
SM_10_40cm_mm,10–40 cm,10.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.05304257468330409,0.05412036786675453,0.053741319105029106,0.027732250234112143,0.08301580268889663,1.0,0.0,True,False,0.05304257468330409
SM_10_40cm_mm,10–40 cm,10.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.07092359880373351,0.06978591595374892,0.07070543244481087,0.014832898927852512,0.1200992641970515,0.9928,0.0072,True,False,0.07092359880373351
SM_10_40cm_mm,10–40 cm,10.0,K4_C4_L0_mm,precipitation_component,C4,November northern,0.0,0.25017265250190485,0.25099364184737205,0.25026935338974,0.16656812615692615,0.34133909866213796,1.0,0.0,True,False,0.25017265250190485
