target,depth_label,alpha,validation_fold,validation_region_count,validation_sample_count,validation_rmse_mm
SM_10_40cm_mm,10–40 cm,10.0,3,33,396,13.4425977439243
SM_10_40cm_mm,10–40 cm,10.0,4,42,504,7.082785021684467
SM_10_40cm_mm,10–40 cm,100.0,0,28,336,2.1102416343520587
SM_10_40cm_mm,10–40 cm,100.0,1,32,384,4.374946590002936
SM_10_40cm_mm,10–40 cm,100.0,2,37,444,3.188459780677315
SM_10_40cm_mm,10–40 cm,100.0,3,33,396,12.77920078446561
SM_10_40cm_mm,10–40 cm,100.0,4,42,504,6.774385397485277
SM_40_100cm_mm,40–100 cm,0.0,0,28,336,5.78286656284588
SM_40_100cm_mm,40–100 cm,0.0,1,32,384,9.334157530393895
SM_40_100cm_mm,40–100 cm,0.0,2,37,444,8.391945108204004
SM_40_100cm_mm,40–100 cm,0.0,3,33,396,28.89921326207746
SM_40_100cm_mm,40–100 cm,0.0,4,42,504,15.445678826678195
SM_40_100cm_mm,40–100 cm,0.0001,0,28,336,5.782865897910325
SM_40_100cm_mm,40–100 cm,0.0001,1,32,384,9.334157372021577
SM_40_100cm_mm,40–100 cm,0.0001,2,37,444,8.391943814508574
SM_40_100cm_mm,40–100 cm,0.0001,3,33,396,28.899210311273325
SM_40_100cm_mm,40–100 cm,0.0001,4,42,504,15.445677617535384
SM_40_100cm_mm,40–100 cm,0.001,0,28,336,5.782859913526786
SM_40_100cm_mm,40–100 cm,0.001,1,32,384,9.334155946699676
SM_40_100cm_mm,40–100 cm,0.001,2,37,444,8.391932171381134
SM_40_100cm_mm,40–100 cm,0.001,3,33,396,28.899183754215166
SM_40_100cm_mm,40–100 cm,0.001,4,42,504,15.445666735360959
SM_40_100cm_mm,40–100 cm,0.01,0,28,336,5.7828000733006935
SM_40_100cm_mm,40–100 cm,0.01,1,32,384,9.334141696346368
SM_40_100cm_mm,40–100 cm,0.01,2,37,444,8.391815753119852
SM_40_100cm_mm,40–100 cm,0.01,3,33,396,28.89891820137226
SM_40_100cm_mm,40–100 cm,0.01,4,42,504,15.445557924588693
SM_40_100cm_mm,40–100 cm,0.1,0,28,336,5.7822020307170705
SM_40_100cm_mm,40–100 cm,0.1,1,32,384,9.333999478300623
SM_40_100cm_mm,40–100 cm,0.1,2,37,444,8.390652868929605
SM_40_100cm_mm,40–100 cm,0.1,3,33,396,28.896264445370587
SM_40_100cm_mm,40–100 cm,0.1,4,42,504,15.444470913292337
SM_40_100cm_mm,40–100 cm,1.0,0,28,336,5.776256371829293
SM_40_100cm_mm,40–100 cm,1.0,1,32,384,9.332604800033204
SM_40_100cm_mm,40–100 cm,1.0,2,37,444,8.379151064471849
SM_40_100cm_mm,40–100 cm,1.0,3,33,396,28.86990270793194
SM_40_100cm_mm,40–100 cm,1.0,4,42,504,15.433709646224269
SM_40_100cm_mm,40–100 cm,10.0,0,28,336,5.719472386705212
SM_40_100cm_mm,40–100 cm,10.0,1,32,384,9.320648749026615
SM_40_100cm_mm,40–100 cm,10.0,2,37,444,8.274668698116184
SM_40_100cm_mm,40–100 cm,10.0,3,33,396,28.622640031429864
SM_40_100cm_mm,40–100 cm,10.0,4,42,504,15.33609372202742
SM_40_100cm_mm,40–100 cm,100.0,0,28,336,5.293592064738306
SM_40_100cm_mm,40–100 cm,100.0,1,32,384,9.242005059844434
SM_40_100cm_mm,40–100 cm,100.0,2,37,444,7.646402283402488
SM_40_100cm_mm,40–100 cm,100.0,3,33,396,27.152046105312294
SM_40_100cm_mm,40–100 cm,100.0,4,42,504,14.841471623516423
SM_100_200cm_mm,100–200 cm,0.0,0,28,336,12.872151779669576
SM_100_200cm_mm,100–200 cm,0.0,1,32,384,17.409243227618706
SM_100_200cm_mm,100–200 cm,0.0,2,37,444,17.842625652569428
SM_100_200cm_mm,100–200 cm,0.0,3,33,396,49.43592759896262
SM_100_200cm_mm,100–200 cm,0.0,4,42,504,30.944150029007428
SM_100_200cm_mm,100–200 cm,0.0001,0,28,336,12.872151224870532
SM_100_200cm_mm,100–200 cm,0.0001,1,32,384,17.40924286499914
SM_100_200cm_mm,100–200 cm,0.0001,2,37,444,17.842623813286043
SM_100_200cm_mm,100–200 cm,0.0001,3,33,396,49.43592176985385
SM_100_200cm_mm,100–200 cm,0.0001,4,42,504,30.944149850604997
SM_100_200cm_mm,100–200 cm,0.001,0,28,336,12.872146231656322
SM_100_200cm_mm,100–200 cm,0.001,1,32,384,17.409239601516898
SM_100_200cm_mm,100–200 cm,0.001,2,37,444,17.842607259974617
SM_100_200cm_mm,100–200 cm,0.001,3,33,396,49.43586930823348
SM_100_200cm_mm,100–200 cm,0.001,4,42,504,30.94414824486884
SM_100_200cm_mm,100–200 cm,0.01,0,28,336,12.872096297254688
SM_100_200cm_mm,100–200 cm,0.01,1,32,384,17.409206975982645
SM_100_200cm_mm,100–200 cm,0.01,2,37,444,17.842441750523104
SM_100_200cm_mm,100–200 cm,0.01,3,33,396,49.43534472752431
SM_100_200cm_mm,100–200 cm,0.01,4,42,504,30.944132176216865
SM_100_200cm_mm,100–200 cm,0.1,0,28,336,12.87159672645975
SM_100_200cm_mm,100–200 cm,0.1,1,32,384,17.40888164568208
SM_100_200cm_mm,100–200 cm,0.1,2,37,444,17.840789014097595
SM_100_200cm_mm,100–200 cm,0.1,3,33,396,49.430102466215
SM_100_200cm_mm,100–200 cm,0.1,4,42,504,30.94397036748256
SM_100_200cm_mm,100–200 cm,1.0,0,28,336,12.866577605723213
SM_100_200cm_mm,100–200 cm,1.0,1,32,384,17.40571721123862
SM_100_200cm_mm,100–200 cm,1.0,2,37,444,17.824489577038573
SM_100_200cm_mm,100–200 cm,1.0,3,33,396,49.378030839682104
SM_100_200cm_mm,100–200 cm,1.0,4,42,504,30.9422465878751
SM_100_200cm_mm,100–200 cm,10.0,0,28,336,12.813927441374764
SM_100_200cm_mm,100–200 cm,10.0,1,32,384,17.380361479347453
SM_100_200cm_mm,100–200 cm,10.0,2,37,444,17.678612938069886
SM_100_200cm_mm,100–200 cm,10.0,3,33,396,48.88952305802075
SM_100_200cm_mm,100–200 cm,10.0,4,42,504,30.919003367512076
SM_100_200cm_mm,100–200 cm,100.0,0,28,336,12.326573353475107
SM_100_200cm_mm,100–200 cm,100.0,1,32,384,17.250074316248345
SM_100_200cm_mm,100–200 cm,100.0,2,37,444,16.73160318313579
SM_100_200cm_mm,100–200 cm,100.0,3,33,396,45.96831808768402
SM_100_200cm_mm,100–200 cm,100.0,4,42,504,30.792165784352505
