target,depth_label,configuration,model_family,seed,test_fold,validation_fold,selected_ridge_alpha,test_rmse_mm,test_r_squared,test_p_violation,best_epoch,training_seconds
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260809,3,4,,2.197852645085723,0.8605761399758451,0.13975694444444445,368.0,1.119750738143921
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260810,3,4,,2.1315787018201906,0.8688577281006462,0.0763888888888889,190.0,0.8862431049346924
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260806,3,4,,2.167583179474858,0.8643900664869271,0.06684027777777778,227.0,1.625288486480713
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260807,3,4,,2.2369355418587586,0.8555734961180878,0.034722222222222224,182.0,1.388193130493164
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260808,3,4,,2.1229953091744638,0.8699117630740002,0.0390625,264.0,1.7874510288238525
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260809,3,4,,2.2727554419778535,0.8509110791245417,0.07465277777777778,374.0,2.2555477619171143
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260810,3,4,,2.075142341990868,0.8757101274698998,0.06163194444444445,202.0,1.6503794193267822
SM_0_10cm_mm,0–10 cm,Mean,Mean,-1,4,0,,7.76017614383407,-0.40915795665653065,,,
SM_0_10cm_mm,0–10 cm,Ridge,Ridge,-1,4,0,10.0,2.703331856499278,0.8289924664011601,0.0625,,
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260806,4,0,,2.960097295421684,0.7949647693727094,0.11458333333333333,33.0,0.49515318870544434
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260807,4,0,,2.90272851389578,0.8028352116069881,0.15885416666666666,27.0,0.4973611831665039
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260808,4,0,,3.2180581122184346,0.7576716174188952,0.09635416666666667,34.0,0.47077512741088867
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260809,4,0,,2.9600031769681454,0.7949778076549758,0.12109375,27.0,0.42884254455566406
SM_0_10cm_mm,0–10 cm,MLP,MLP,20260810,4,0,,3.9202733400366996,0.6403755446792134,0.2506510416666667,172.0,0.7488908767700195
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260806,4,0,,4.260521781684248,0.5752414801574834,0.28515625,260.0,1.672074556350708
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260807,4,0,,2.87428999357074,0.8066796001448142,0.138671875,28.0,0.7535762786865234
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260808,4,0,,3.905220919754495,0.643131896384332,0.19791666666666666,248.0,1.5801565647125244
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260809,4,0,,2.9507759109114646,0.7962540533498385,0.109375,27.0,0.8415567874908447
SM_0_10cm_mm,0–10 cm,PINN_P_lambda10,PINN_P,20260810,4,0,,4.029186027443392,0.6201158644184863,0.2526041666666667,207.0,1.5311558246612549
SM_10_40cm_mm,10–40 cm,Mean,Mean,-1,0,1,,26.557040966449986,-6.960008742446534,,,
SM_10_40cm_mm,10–40 cm,Ridge,Ridge,-1,0,1,10.0,7.244913081568571,0.4075925155208673,0.0,,
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260806,0,1,,8.0665697967674,0.26560118140539424,0.07899305555555555,132.0,0.6733143329620361
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260807,0,1,,7.926495713316124,0.2908850592425585,0.07118055555555555,104.0,0.593883752822876
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260808,0,1,,8.262855088015051,0.2294258245672377,0.049479166666666664,132.0,0.7001211643218994
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260809,0,1,,8.03567968286624,0.2712150240915424,0.1484375,112.0,0.605792760848999
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260810,0,1,,8.236960424930931,0.2342480058254618,0.08072916666666667,96.0,0.5615324974060059
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260806,0,1,,8.114276104305146,0.2568889138724799,0.058159722222222224,131.0,1.1867446899414062
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260807,0,1,,7.940623161782505,0.288355085668627,0.04861111111111111,103.0,1.1851887702941895
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260808,0,1,,8.400506525469757,0.20353788132591022,0.024305555555555556,112.0,1.1287686824798584
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260809,0,1,,8.219512212450779,0.23748872852418634,0.08072916666666667,109.0,1.1347472667694092
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260810,0,1,,8.824529119890572,0.1211044636536247,0.059027777777777776,69.0,1.0119190216064453
SM_10_40cm_mm,10–40 cm,Mean,Mean,-1,1,2,,18.081754683986688,-9.397880662742608e-05,,,
SM_10_40cm_mm,10–40 cm,Ridge,Ridge,-1,1,2,1.0,8.679464061815967,0.7695665694605448,0.0,,
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260806,1,2,,12.75480097830928,0.5023694437742651,0.34598214285714285,546.0,1.4182195663452148
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260807,1,2,,12.035858031177973,0.5568877263388032,0.35788690476190477,507.0,1.4059162139892578
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260808,1,2,,8.123397810816657,0.7981470457289763,0.03943452380952381,131.0,0.6107604503631592
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260809,1,2,,9.306566096955097,0.7350654494075459,0.16815476190476192,52.0,0.4918630123138428
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260810,1,2,,8.455755215855294,0.7812920996912912,0.14508928571428573,188.0,0.7628955841064453
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260806,1,2,,14.709472253395344,0.3381587224737085,0.13467261904761904,598.0,2.988023281097412
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260807,1,2,,9.515414332541297,0.7230412603820346,0.20089285714285715,227.0,1.634702205657959
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260808,1,2,,14.050271449454394,0.3961499640051346,0.1488095238095238,552.0,2.8074870109558105
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260809,1,2,,8.563360365729158,0.7756902724486391,0.06770833333333333,83.0,1.0376574993133545
SM_10_40cm_mm,10–40 cm,PINN_P_lambda10,PINN_P,20260810,1,2,,8.382635214329648,0.7850582394634651,0.09449404761904762,191.0,1.3784806728363037
SM_10_40cm_mm,10–40 cm,Mean,Mean,-1,2,3,,15.803964401603256,-0.08355568592276486,,,
SM_10_40cm_mm,10–40 cm,Ridge,Ridge,-1,2,3,100.0,5.932430812314206,0.8473191694633806,0.0,,
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260806,2,3,,5.874237196568612,0.8502998940059243,0.004340277777777778,56.0,0.534369945526123
SM_10_40cm_mm,10–40 cm,MLP,MLP,20260807,2,3,,6.119730698017634,0.8375260375328697,0.012152777777777778,55.0,0.5043299198150635
