target,depth_label,configuration,test_fold,validation_fold,alpha,validation_rmse_mm,validation_r_squared,selected_alpha
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,0.1,3.9334363297796924,-0.5045463820737079,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,1.0,3.9366970794565823,-0.5070419011011362,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,10.0,3.9739473573726496,-0.5356970528800797,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,30.0,4.077747386578553,-0.6169700187461611,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,100.0,4.500114666478538,-0.9692846309325855,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,300.0,5.388885674523331,-1.8239647514344957,False
SM_0_10cm_mm,0–10 cm,STATIC_ONLY,4,0,1000.0,6.446550319433099,-3.0412534210333213,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.0,2.3053783433669937,0.84893413484452,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.0001,2.305374683384965,0.8489346145036738,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.001,2.3053417601584902,0.8489389292247654,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.01,2.3050141678036002,0.8489818581619972,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,0.1,2.301897722203517,0.8493899438657027,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,1.0,2.28321443147371,0.8518248670175816,True
SM_0_10cm_mm,0–10 cm,FULL,0,1,10.0,2.41604767622146,0.8340822215541414,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,30.0,2.7110048228314385,0.7910980449592961,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,100.0,3.060973090339012,0.7336817383792786,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,300.0,3.4271937968721775,0.6661439503987776,False
SM_0_10cm_mm,0–10 cm,FULL,0,1,1000.0,4.257677771496082,0.4847387243228919,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,0.0,2.397762311817324,0.8116328119179439,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,0.0001,2.397761168098949,0.8116329916179599,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,0.001,2.3977508808864294,0.8116346079318079,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,0.01,2.397648625399843,0.8116506738077591,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,0.1,2.3966854241697786,0.8118019735940532,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,1.0,2.391276547761737,0.8126504714433467,True
SM_0_10cm_mm,0–10 cm,FULL,1,2,10.0,2.4079540915690005,0.8100280849033528,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,30.0,2.457664941656768,0.8021033948184173,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,100.0,2.576553313487633,0.7824939898716232,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,300.0,2.821932706201146,0.7390926573289933,False
SM_0_10cm_mm,0–10 cm,FULL,1,2,1000.0,3.5804155160309943,0.5799897815744133,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,0.0,2.4796698925293814,0.8225288813554436,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,0.0001,2.479668188784023,0.822529125231043,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,0.001,2.479652856271887,0.8225313199326897,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,0.01,2.479499649466419,0.8225532492680949,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,0.1,2.4779793166733173,0.8227707894524617,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,1.0,2.4638589042514587,0.8247848654523319,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,10.0,2.3796126423603283,0.8365622089377878,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,30.0,2.2951539300114527,0.8479579962381397,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,100.0,2.239909768283942,0.8551891854963546,True
SM_0_10cm_mm,0–10 cm,FULL,2,3,300.0,2.5990555590972573,0.8050285257520075,False
SM_0_10cm_mm,0–10 cm,FULL,2,3,1000.0,3.792219805829444,0.5849246401884014,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,0.0,4.062611072458751,0.6137868919162954,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,0.0001,4.062612622200832,0.6137865972630248,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,0.001,4.062626567420197,0.6137839458461327,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,0.01,4.062765776154556,0.6137574774674434,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,0.1,4.064133545022889,0.613497369228831,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,1.0,4.075466325960922,0.611338849292577,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,10.0,4.058482748163151,0.6145714134112499,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,30.0,3.828455319157471,0.6570240404136354,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,100.0,3.392121626184281,0.7307477473649645,True
SM_0_10cm_mm,0–10 cm,FULL,3,4,300.0,4.153756330012638,0.5962630050234188,False
SM_0_10cm_mm,0–10 cm,FULL,3,4,1000.0,6.451744849232058,0.025973255993487432,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,0.0,3.8752196711246305,-0.460340007643143,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,0.0001,3.8752114608054105,-0.4603338196868727,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,0.001,3.875137577616523,-0.46027813596896605,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,0.01,3.874399702137472,-0.45972207785625785,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,0.1,3.8671143533516696,-0.45423757096621054,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,1.0,3.801925814144756,-0.4056222012423156,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,10.0,3.469146593187043,-0.17032541171415327,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,30.0,3.31206005143865,-0.06673792668796996,True
SM_0_10cm_mm,0–10 cm,FULL,4,0,100.0,3.5863627415625627,-0.25074783384258237,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,300.0,4.47634520026315,-0.9485361716019223,False
SM_0_10cm_mm,0–10 cm,FULL,4,0,1000.0,5.75725578688831,-2.223238050760517,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,0.0,5.26571344181909,0.21187270861372443,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,0.0001,5.265711829530047,0.21187319124112725,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,0.001,5.2656973191535785,0.21187753481377758,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,0.01,5.265552237648774,0.21192096321883136,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,0.1,5.264103643054329,0.21235451698438101,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,1.0,5.249834465327785,0.21661880262012467,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,10.0,5.125073689740327,0.25341002782357946,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,30.0,4.925410809866748,0.310448285798382,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,100.0,4.590574355804681,0.4010149588821572,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,300.0,4.493811917347234,0.42600024462961283,True
SM_0_10cm_mm,0–10 cm,ONLY_C1,0,1,1000.0,5.066258960650937,0.27044725845267237,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,0.0,3.4539632016314123,0.609133537701524,True
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,0.0001,3.4539633754147614,0.6091334983692667,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,0.001,3.4539649394965286,0.6091331443717047,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,0.01,3.4539805834440003,0.6091296036788996,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,0.1,3.45413733545384,0.609094125129422,False
SM_0_10cm_mm,0–10 cm,ONLY_C1,1,2,1.0,3.455735669205763,0.6087322735008324,False
