region_id,native_cell_count,longitude_mean,latitude_mean,small_region_lt_4_cells,observed_best_lag,observed_same_month_correlation,observed_best_lag_correlation,observed_delta_r,bootstrap_observed_lag_support,bootstrap_positive_lag_support,bootstrap_lag_at_least_2_support,bootstrap_delta_r_median,bootstrap_delta_r_q025,bootstrap_delta_r_q975,bootstrap_best_correlation_median,bootstrap_same_month_correlation_median,robustness_class,bootstrap_best_lag_0_count,bootstrap_best_lag_0_fraction,bootstrap_best_lag_1_count,bootstrap_best_lag_1_fraction,bootstrap_best_lag_2_count,bootstrap_best_lag_2_fraction,bootstrap_best_lag_3_count,bootstrap_best_lag_3_fraction,bootstrap_best_lag_4_count,bootstrap_best_lag_4_fraction,bootstrap_best_lag_5_count,bootstrap_best_lag_5_fraction,bootstrap_best_lag_6_count,bootstrap_best_lag_6_fraction
SLR_01_04,2,81.60000000000002,6.449999999999989,True,2,0.27361725226979017,0.8395698579708567,0.5659526057010665,0.998,1.0,0.998,0.5577248181910763,0.4952263378264272,0.6115216143447337,0.8306955084743234,0.271636143651493,strong,0,0.0,2,0.002,998,0.998,0,0.0,0,0.0,0,0.0,0,0.0
SLR_02_04,15,81.6566666666667,6.77666666666666,False,2,0.34986133850780765,0.879757922818219,0.5298965843104113,0.96,1.0,0.96,0.520440748790222,0.4619064315154595,0.5784943755087665,0.8710738657977828,0.3509148586286804,strong,0,0.0,40,0.04,960,0.96,0,0.0,0,0.0,0,0.0,0,0.0
SLR_06_03,6,81.08333333333336,8.666666666666663,False,2,0.45286088864134383,0.8620489965846565,0.4091881079433127,0.476,1.0,0.476,0.4135320713430593,0.3654991423911467,0.49849231004705924,0.8704451690924079,0.4528340525208312,weak,0,0.0,524,0.524,476,0.476,0,0.0,0,0.0,0,0.0,0,0.0
SLR_01_02,24,80.74166666666667,6.258333333333328,False,1,0.3516773999669292,0.8659819638810244,0.5143045639140953,1.0,1.0,0.0,0.5048811981285014,0.4472366367698686,0.5592929370722302,0.8563307664587094,0.34918365603748625,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_04_01,25,80.25000000000001,7.749999999999995,False,1,0.38669146647587194,0.8969166471851188,0.5102251807092468,1.0,1.0,0.0,0.5051231834938813,0.4552656919857197,0.5618710836502758,0.8909552684586859,0.38256485844451027,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_03_00,9,79.90555555555557,7.272222222222216,False,1,0.42521983946022845,0.9258598024600277,0.5006399629997993,1.0,1.0,0.0,0.4969583789876939,0.4279516796387789,0.583083164490304,0.9180555082154339,0.4217399675692531,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_04_00,10,79.9,7.749999999999995,False,1,0.4474283571047834,0.9439305118630409,0.4965021547582575,1.0,1.0,0.0,0.4920796935146453,0.43849468441750183,0.5535323118262742,0.9393860450685317,0.44561671100821343,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_05_00,9,79.90555555555557,8.227777777777773,False,1,0.5049658810265352,0.9131817338213073,0.4082158527947721,1.0,1.0,0.0,0.40828334079096473,0.3683038687893589,0.44593527377252407,0.908874747542156,0.49940529813508777,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_03_01,25,80.25000000000001,7.249999999999995,False,1,0.46601977875438244,0.8735384123107252,0.4075186335563427,1.0,1.0,0.0,0.40045911688910674,0.33329851796062876,0.482514681587238,0.8670085886067813,0.4663949934265942,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_02_03,25,81.25000000000001,6.749999999999995,False,1,0.512621861583563,0.9031997483408936,0.3905778867573305,1.0,1.0,0.0,0.3874322367141667,0.3410947253200243,0.42526800590425456,0.8982937541117798,0.5086483458298185,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_02_02,25,80.75000000000001,6.749999999999995,False,1,0.552576758861028,0.9368972999671203,0.3843205411060924,1.0,1.0,0.0,0.3743625637567392,0.3031354152750621,0.4481316762743139,0.9242831748537538,0.5477219643654073,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_05_01,25,80.25000000000001,8.249999999999995,False,1,0.5487582251398179,0.9326549793355918,0.38389675419577396,1.0,1.0,0.0,0.3829844370733347,0.33987009738438906,0.4251515730766208,0.9280953285094455,0.5428902065746286,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_03_02,25,80.75000000000001,7.249999999999995,False,1,0.4861621103601395,0.8678672794487531,0.38170516908861357,1.0,1.0,0.0,0.3734136918019665,0.3031112144531662,0.44234066444693676,0.8592411440740806,0.4866917194462445,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_01_01,22,80.27272727272728,6.272727272727267,False,1,0.5460038167696454,0.9158687653608374,0.369864948591192,1.0,1.0,0.0,0.3587943921682833,0.2880962191888154,0.4396331843754179,0.9043252174623094,0.5454943848616101,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_06_00,4,79.94999999999999,8.699999999999996,False,1,0.6073528187492494,0.9376698175835667,0.3303169988343173,1.0,1.0,0.0,0.32947268439062954,0.2829311627038655,0.37264505935822384,0.93620970730833,0.601912353906275,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_02_00,4,79.94999999999999,6.799999999999994,False,1,0.5241883653891893,0.8511168849347643,0.326928519545575,1.0,1.0,0.0,0.3207569874702323,0.25789416729112996,0.38949084332493716,0.8439640050754749,0.5238975175415588,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_07_00,1,79.85000000000002,9.049999999999995,True,1,0.6539689492928902,0.9497454552315169,0.2957765059386267,1.0,1.0,0.0,0.2952565182357862,0.2419539788888099,0.3389981965599382,0.9478988343866764,0.6516766451154714,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_08_01,8,80.2125,9.674999999999995,False,1,0.6778587553476039,0.9433704087604347,0.2655116534128308,1.0,1.0,0.0,0.26510626715933305,0.2207814574747196,0.3026611870328476,0.9412173210423288,0.6763094815524862,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_02_01,25,80.25000000000001,6.749999999999995,False,1,0.5649017225675755,0.8219500694515349,0.2570483468839594,1.0,1.0,0.0,0.248091507135626,0.1812657589678946,0.3213270122809956,0.8118300808631744,0.5639671618132787,strong,0,0.0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SLR_05_02,25,80.75000000000001,8.249999999999995,False,1,0.5309525057608512,0.9150608847975799,0.3841083790367287,0.996,1.0,0.004,0.3820873527412929,0.3460263099808129,0.4226854794583606,0.9121115648222524,0.5275119186102323,strong,0,0.0,996,0.996,4,0.004,0,0.0,0,0.0,0,0.0,0,0.0
SLR_06_01,25,80.25000000000001,8.749999999999995,False,1,0.536813359808913,0.9092295599837672,0.3724162001748542,0.995,1.0,0.005,0.37314748918961926,0.33314704780697146,0.40597958839731824,0.9060016335346202,0.5314964456926137,strong,0,0.0,995,0.995,5,0.005,0,0.0,0,0.0,0,0.0,0,0.0
SLR_04_03,25,81.25000000000001,7.749999999999995,False,1,0.5892222827804642,0.9278729752353655,0.3386506924549013,0.995,1.0,0.005,0.33507777679869255,0.2874743432544333,0.3812940429921708,0.9189538514168109,0.5843761599663013,strong,0,0.0,995,0.995,5,0.005,0,0.0,0,0.0,0,0.0,0,0.0
SLR_04_04,9,81.6277777777778,7.661111111111107,False,1,0.6113058323030345,0.9282818855862036,0.31697605328316913,0.992,1.0,0.008,0.31364115100224094,0.26981109148315696,0.35272851774738556,0.9208138454367851,0.6060116134238502,strong,0,0.0,992,0.992,8,0.008,0,0.0,0,0.0,0,0.0,0,0.0
SLR_07_01,19,80.30789473684212,9.239473684210521,False,1,0.5041369445351601,0.898806884944138,0.39466994040897785,0.991,1.0,0.009,0.39441346154411566,0.3549496559459834,0.42645131988294954,0.898130771961227,0.5025326689273133,strong,0,0.0,991,0.991,9,0.009,0,0.0,0,0.0,0,0.0,0,0.0
SLR_03_03,25,81.25000000000001,7.249999999999995,False,1,0.512470130171126,0.9025184512555782,0.3900483210844522,0.987,1.0,0.013,0.38565696996140253,0.33207236171132254,0.4364235169462735,0.892675267639028,0.5064281182795103,strong,0,0.0,987,0.987,13,0.013,0,0.0,0,0.0,0,0.0,0,0.0
SLR_00_02,1,80.55000000000001,5.949999999999989,True,1,0.2911244324538206,0.8151695387810732,0.5240451063272527,0.984,1.0,0.016,0.5168828470533245,0.44563044825695036,0.5944978998303141,0.807635199059292,0.2851692636462196,strong,0,0.0,984,0.984,16,0.016,0,0.0,0,0.0,0,0.0,0,0.0
SLR_01_03,16,81.21875000000001,6.331249999999994,False,1,0.39684592081242326,0.8210073598483103,0.42416143903588704,0.984,1.0,0.016,0.41865469662518484,0.37293535635570046,0.4561845243840317,0.8170839617804369,0.39647112280814056,strong,0,0.0,984,0.984,16,0.016,0,0.0,0,0.0,0,0.0,0,0.0
SLR_08_00,1,79.94999999999999,9.75,True,1,0.4568635703832596,0.8573474771548951,0.40048390677163553,0.977,1.0,0.023,0.40134789450579017,0.364362183783381,0.4320305170663456,0.8563386690663628,0.45413978717770465,strong,0,0.0,977,0.977,23,0.023,0,0.0,0,0.0,0,0.0,0,0.0
SLR_07_02,14,80.66428571428573,9.192857142857138,False,1,0.47553579272711427,0.8860376871813547,0.4105018944542404,0.927,1.0,0.073,0.41018440602328876,0.3767343317022489,0.442281038855614,0.8849916413143983,0.47330560775017866,strong,0,0.0,927,0.927,73,0.073,0,0.0,0,0.0,0,0.0,0,0.0
SLR_06_02,25,80.75000000000001,8.749999999999995,False,1,0.4932286044354165,0.8849645128045781,0.3917359083691616,0.853,1.0,0.147,0.39197066632650435,0.35770747522297025,0.43946658262679766,0.8848231813404872,0.4903067816256499,strong,0,0.0,853,0.853,147,0.147,0,0.0,0,0.0,0,0.0,0,0.0
SLR_04_02,25,80.75000000000001,7.749999999999995,False,1,0.34707097415976806,0.818880758793189,0.47180978463342094,0.851,1.0,0.149,0.4684466494442988,0.42493510216278635,0.5284839159817337,0.8152954818030387,0.34665060839244555,strong,0,0.0,851,0.851,149,0.149,0,0.0,0,0.0,0,0.0,0,0.0
SLR_05_03,21,81.21190476190478,8.240476190476185,False,1,0.4923194931658582,0.8881051782557912,0.39578568508993295,0.734,1.0,0.266,0.39520648650244394,0.35461677530312397,0.46868545670588196,0.8880113985196154,0.4894952619222288,moderate,0,0.0,734,0.734,266,0.266,0,0.0,0,0.0,0,0.0,0,0.0
SLR_03_04,19,81.69210526315791,7.2394736842105205,False,1,0.4994722927795082,0.8872576356474282,0.38778534286792,0.536,1.0,0.464,0.3904538288067783,0.3407366888348624,0.4556383432498977,0.8888491563700689,0.49580766212893523,weak,0,0.0,536,0.536,464,0.464,0,0.0,0,0.0,0,0.0,0,0.0
