configuration,model_family,lambda_precipitation,lambda_pet,ensemble_seed_count,ensemble_rmse_mm,ensemble_mae_mm,ensemble_r_squared,ensemble_mean_bias_mm,core_ensemble_rmse_mm,core_ensemble_mae_mm,core_ensemble_r_squared,mean_prediction_std_across_seeds_mm,maximum_prediction_std_across_seeds_mm,median_pooled_test_p_violation,median_pooled_test_pet_violation,accuracy_gap_from_best_percent,within_one_percent_of_best
Mean,Mean,0.0,0.0,1,133.30601661184937,113.99673115123402,-0.17509844538104757,-0.21395018606474905,134.55958742542387,114.90005203773235,-0.18633875276127054,0.0,0.0,,,153.97133660073132,False
Ridge,Ridge,0.0,0.0,1,58.5086817446907,47.08154612839824,0.7736318218599469,-13.567581562080768,53.48498259149593,43.12226376588317,0.8125682582070738,0.0,0.0,0.0,0.2424242424242424,11.469298109122736,False
MLP,MLP,0.0,0.0,5,52.488606941270675,42.26153746325561,0.8178182613045931,-11.470262716274066,50.04265425321389,40.30345565971287,0.8359183190424513,19.45449512998203,124.8105345229064,0.0561868686868686,0.452020202020202,0.0,True
PINN_P_lambda10,PINN_P,10.0,0.0,5,53.10233663105281,42.980595937401354,0.8135329877252321,-8.107766908587834,49.453986820854844,40.11186882983679,0.8397559026689301,20.239101077857583,100.30454015216445,0.0454545454545454,0.4469696969696969,1.1692626753627373,False
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,5,54.91748043491038,44.689828244604236,0.8005674890778509,-11.334911030470723,51.28846398580127,41.697999502598556,0.8276470151334991,17.189371998090806,92.49907721084551,0.0654987373737373,0.1287878787878787,4.627429903707227,False
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,5,56.410208990219,46.05205967450383,0.7895784735887116,-11.26996406015724,52.2624743192467,42.71032792014637,0.8210386044225955,17.345180919794235,87.96476473885204,0.0538194444444444,0.0202020202020202,7.471339548668515,False
