target,depth_label,alpha,validation_fold,validation_region_count,validation_sample_count,validation_rmse_mm
SM_10_40cm_mm,10–40 cm,0.0001,3,6,72,8.065465847734053
SM_10_40cm_mm,10–40 cm,0.0001,4,8,96,9.001812893625525
SM_10_40cm_mm,10–40 cm,0.001,0,6,72,8.853740483158953
SM_10_40cm_mm,10–40 cm,0.001,1,7,84,8.70853514414948
SM_10_40cm_mm,10–40 cm,0.001,2,6,72,5.726192117955967
SM_10_40cm_mm,10–40 cm,0.001,3,6,72,8.065405178912117
SM_10_40cm_mm,10–40 cm,0.001,4,8,96,9.001808550890745
SM_10_40cm_mm,10–40 cm,0.01,0,6,72,8.852937678964274
SM_10_40cm_mm,10–40 cm,0.01,1,7,84,8.70830851532377
SM_10_40cm_mm,10–40 cm,0.01,2,6,72,5.7261747414091575
SM_10_40cm_mm,10–40 cm,0.01,3,6,72,8.064798794068547
SM_10_40cm_mm,10–40 cm,0.01,4,8,96,9.001765304309185
SM_10_40cm_mm,10–40 cm,0.1,0,6,72,8.84498764926225
SM_10_40cm_mm,10–40 cm,0.1,1,7,84,8.706113707449386
SM_10_40cm_mm,10–40 cm,0.1,2,6,72,5.726004235923596
SM_10_40cm_mm,10–40 cm,0.1,3,6,72,8.058765144474915
SM_10_40cm_mm,10–40 cm,0.1,4,8,96,9.001350631423108
SM_10_40cm_mm,10–40 cm,1.0,0,6,72,8.772471480930562
SM_10_40cm_mm,10–40 cm,1.0,1,7,84,8.690201132365367
SM_10_40cm_mm,10–40 cm,1.0,2,6,72,5.724611377123643
SM_10_40cm_mm,10–40 cm,1.0,3,6,72,8.001313913089962
SM_10_40cm_mm,10–40 cm,1.0,4,8,96,8.998743400025331
SM_10_40cm_mm,10–40 cm,10.0,0,6,72,8.408428026020246
SM_10_40cm_mm,10–40 cm,10.0,1,7,84,8.743056574224564
SM_10_40cm_mm,10–40 cm,10.0,2,6,72,5.730627354794147
SM_10_40cm_mm,10–40 cm,10.0,3,6,72,7.620071253347316
SM_10_40cm_mm,10–40 cm,10.0,4,8,96,9.03687529854836
SM_10_40cm_mm,10–40 cm,30.0,0,6,72,8.347238590115085
SM_10_40cm_mm,10–40 cm,30.0,1,7,84,9.03619832195092
SM_10_40cm_mm,10–40 cm,30.0,2,6,72,5.7775260520645375
SM_10_40cm_mm,10–40 cm,30.0,3,6,72,7.2822809070598105
SM_10_40cm_mm,10–40 cm,30.0,4,8,96,9.206783728885034
SM_10_40cm_mm,10–40 cm,100.0,0,6,72,9.274042543594666
SM_10_40cm_mm,10–40 cm,100.0,1,7,84,9.829521958931814
SM_10_40cm_mm,10–40 cm,100.0,2,6,72,5.928605790257286
SM_10_40cm_mm,10–40 cm,100.0,3,6,72,7.250361851722624
SM_10_40cm_mm,10–40 cm,100.0,4,8,96,9.895692637057836
SM_10_40cm_mm,10–40 cm,300.0,0,6,72,11.878963947146545
SM_10_40cm_mm,10–40 cm,300.0,1,7,84,11.063201103608078
SM_10_40cm_mm,10–40 cm,300.0,2,6,72,6.516272549626369
SM_10_40cm_mm,10–40 cm,300.0,3,6,72,8.558894228131322
SM_10_40cm_mm,10–40 cm,300.0,4,8,96,12.05304940863985
SM_10_40cm_mm,10–40 cm,1000.0,0,6,72,16.597414897351907
SM_10_40cm_mm,10–40 cm,1000.0,1,7,84,13.097798399428363
SM_10_40cm_mm,10–40 cm,1000.0,2,6,72,8.968260052379836
SM_10_40cm_mm,10–40 cm,1000.0,3,6,72,12.290008404824988
SM_10_40cm_mm,10–40 cm,1000.0,4,8,96,17.089532299738018
SM_10_40cm_mm,10–40 cm,3000.0,0,6,72,20.953313414400714
SM_10_40cm_mm,10–40 cm,3000.0,1,7,84,15.374010059258786
SM_10_40cm_mm,10–40 cm,3000.0,2,6,72,12.300545417421443
SM_10_40cm_mm,10–40 cm,3000.0,3,6,72,16.223067972036624
SM_10_40cm_mm,10–40 cm,3000.0,4,8,96,21.73455117961025
SM_10_40cm_mm,10–40 cm,10000.0,0,6,72,23.80095323951038
SM_10_40cm_mm,10–40 cm,10000.0,1,7,84,17.07143459036131
SM_10_40cm_mm,10–40 cm,10000.0,2,6,72,14.766197660930752
SM_10_40cm_mm,10–40 cm,10000.0,3,6,72,18.882346076539715
SM_10_40cm_mm,10–40 cm,10000.0,4,8,96,24.57992719924101
SM_40_100cm_mm,40–100 cm,0.0,0,6,72,21.15257968093561
SM_40_100cm_mm,40–100 cm,0.0,1,7,84,20.564554314247342
SM_40_100cm_mm,40–100 cm,0.0,2,6,72,13.612785659135069
SM_40_100cm_mm,40–100 cm,0.0,3,6,72,18.51262873905212
SM_40_100cm_mm,40–100 cm,0.0,4,8,96,20.01453603952618
SM_40_100cm_mm,40–100 cm,0.0001,0,6,72,21.152574798847198
SM_40_100cm_mm,40–100 cm,0.0001,1,7,84,20.564551754288235
SM_40_100cm_mm,40–100 cm,0.0001,2,6,72,13.6127840773621
SM_40_100cm_mm,40–100 cm,0.0001,3,6,72,18.512604573390195
SM_40_100cm_mm,40–100 cm,0.0001,4,8,96,20.014532284916942
SM_40_100cm_mm,40–100 cm,0.001,0,6,72,21.152530869495422
SM_40_100cm_mm,40–100 cm,0.001,1,7,84,20.5645287191413
SM_40_100cm_mm,40–100 cm,0.001,2,6,72,13.612769843761496
SM_40_100cm_mm,40–100 cm,0.001,3,6,72,18.512387095487078
SM_40_100cm_mm,40–100 cm,0.001,4,8,96,20.014498495617318
SM_40_100cm_mm,40–100 cm,0.01,0,6,72,21.152092508895894
SM_40_100cm_mm,40–100 cm,0.01,1,7,84,20.564298811405543
SM_40_100cm_mm,40–100 cm,0.01,2,6,72,13.61262774067741
SM_40_100cm_mm,40–100 cm,0.01,3,6,72,18.510213607993087
SM_40_100cm_mm,40–100 cm,0.01,4,8,96,20.014160818782273
SM_40_100cm_mm,40–100 cm,0.1,0,6,72,21.14780020287309
SM_40_100cm_mm,40–100 cm,0.1,1,7,84,20.562043825220183
SM_40_100cm_mm,40–100 cm,0.1,2,6,72,13.611229673804937
SM_40_100cm_mm,40–100 cm,0.1,3,6,72,18.488607059151192
SM_40_100cm_mm,40–100 cm,0.1,4,8,96,20.01080565605436
SM_40_100cm_mm,40–100 cm,1.0,0,6,72,21.112438960011428
SM_40_100cm_mm,40–100 cm,1.0,1,7,84,20.543635861615797
SM_40_100cm_mm,40–100 cm,1.0,2,6,72,13.599262108224929
SM_40_100cm_mm,40–100 cm,1.0,3,6,72,18.28460685363279
SM_40_100cm_mm,40–100 cm,1.0,4,8,96,19.979384629645015
SM_40_100cm_mm,40–100 cm,10.0,0,6,72,21.076824304624527
SM_40_100cm_mm,40–100 cm,10.0,1,7,84,20.60390256969874
SM_40_100cm_mm,40–100 cm,10.0,2,6,72,13.566686866659811
SM_40_100cm_mm,40–100 cm,10.0,3,6,72,17.001442118869246
SM_40_100cm_mm,40–100 cm,10.0,4,8,96,19.81322678098211
SM_40_100cm_mm,40–100 cm,30.0,0,6,72,21.64676462221583
SM_40_100cm_mm,40–100 cm,30.0,1,7,84,21.182208823154667
SM_40_100cm_mm,40–100 cm,30.0,2,6,72,13.604566447938168
SM_40_100cm_mm,40–100 cm,30.0,3,6,72,16.024089424542318
SM_40_100cm_mm,40–100 cm,30.0,4,8,96,19.78212575792938
SM_40_100cm_mm,40–100 cm,100.0,0,6,72,24.48109363897563
SM_40_100cm_mm,40–100 cm,100.0,1,7,84,23.124254330339603
SM_40_100cm_mm,40–100 cm,100.0,2,6,72,13.827311527594617
SM_40_100cm_mm,40–100 cm,100.0,3,6,72,16.27444867752482
SM_40_100cm_mm,40–100 cm,100.0,4,8,96,20.4277839481754
SM_40_100cm_mm,40–100 cm,300.0,0,6,72,30.88808702949902
SM_40_100cm_mm,40–100 cm,300.0,1,7,84,26.142727728971675
SM_40_100cm_mm,40–100 cm,300.0,2,6,72,15.230910328871968
SM_40_100cm_mm,40–100 cm,300.0,3,6,72,19.9777820962314
SM_40_100cm_mm,40–100 cm,300.0,4,8,96,24.326559547122667
SM_40_100cm_mm,40–100 cm,1000.0,0,6,72,41.7319919174141
SM_40_100cm_mm,40–100 cm,1000.0,1,7,84,30.53858723594927
SM_40_100cm_mm,40–100 cm,1000.0,2,6,72,21.0135610453947
SM_40_100cm_mm,40–100 cm,1000.0,3,6,72,28.90907509941188
SM_40_100cm_mm,40–100 cm,1000.0,4,8,96,35.61270377452812
SM_40_100cm_mm,40–100 cm,3000.0,0,6,72,51.19024618745732
SM_40_100cm_mm,40–100 cm,3000.0,1,7,84,35.34004034452542
SM_40_100cm_mm,40–100 cm,3000.0,2,6,72,28.50778470221958
SM_40_100cm_mm,40–100 cm,3000.0,3,6,72,37.87304414424394
SM_40_100cm_mm,40–100 cm,3000.0,4,8,96,46.43227732869516
SM_40_100cm_mm,40–100 cm,10000.0,0,6,72,57.15450683947967
SM_40_100cm_mm,40–100 cm,10000.0,1,7,84,38.97833609286488
SM_40_100cm_mm,40–100 cm,10000.0,2,6,72,33.95042104093179
SM_40_100cm_mm,40–100 cm,10000.0,3,6,72,43.84463128835341
SM_40_100cm_mm,40–100 cm,10000.0,4,8,96,53.04731259601936
SM_100_200cm_mm,100–200 cm,0.0,0,6,72,27.97023492811445
SM_100_200cm_mm,100–200 cm,0.0,1,7,84,29.870311800427938
SM_100_200cm_mm,100–200 cm,0.0,2,6,72,45.416525607086776
SM_100_200cm_mm,100–200 cm,0.0,3,6,72,36.65234605786592
SM_100_200cm_mm,100–200 cm,0.0,4,8,96,80.00534308743094
SM_100_200cm_mm,100–200 cm,0.0001,0,6,72,27.97018044928622
SM_100_200cm_mm,100–200 cm,0.0001,1,7,84,29.870290320201846
SM_100_200cm_mm,100–200 cm,0.0001,2,6,72,45.41651224770987
SM_100_200cm_mm,100–200 cm,0.0001,3,6,72,36.65234429490727
SM_100_200cm_mm,100–200 cm,0.0001,4,8,96,80.00524709790167
SM_100_200cm_mm,100–200 cm,0.001,0,6,72,27.969690358081714
SM_100_200cm_mm,100–200 cm,0.001,1,7,84,29.87009704778336
SM_100_200cm_mm,100–200 cm,0.001,2,6,72,45.41639201255848
SM_100_200cm_mm,100–200 cm,0.001,3,6,72,36.65232843605492
SM_100_200cm_mm,100–200 cm,0.001,4,8,96,80.0043832345014
SM_100_200cm_mm,100–200 cm,0.01,0,6,72,27.96481099469522
SM_100_200cm_mm,100–200 cm,0.01,1,7,84,29.868169227045122
SM_100_200cm_mm,100–200 cm,0.01,2,6,72,45.41518958629286
SM_100_200cm_mm,100–200 cm,0.01,3,6,72,36.65217061634799
SM_100_200cm_mm,100–200 cm,0.01,4,8,96,79.99574879292891
SM_100_200cm_mm,100–200 cm,0.1,0,6,72,27.91811556139406
SM_100_200cm_mm,100–200 cm,0.1,1,7,84,29.849372954712948
SM_100_200cm_mm,100–200 cm,0.1,2,6,72,45.40315824730053
SM_100_200cm_mm,100–200 cm,0.1,3,6,72,36.6506683461402
SM_100_200cm_mm,100–200 cm,0.1,4,8,96,79.90982207662383
SM_100_200cm_mm,100–200 cm,1.0,0,6,72,27.615212235011846
SM_100_200cm_mm,100–200 cm,1.0,1,7,84,29.702531663020157
SM_100_200cm_mm,100–200 cm,1.0,2,6,72,45.28249862186047
SM_100_200cm_mm,100–200 cm,1.0,3,6,72,36.642389763339494
SM_100_200cm_mm,100–200 cm,1.0,4,8,96,79.09073867414153
SM_100_200cm_mm,100–200 cm,10.0,0,6,72,28.258115456761743
SM_100_200cm_mm,100–200 cm,10.0,1,7,84,29.80098942435418
SM_100_200cm_mm,100–200 cm,10.0,2,6,72,44.18584081309626
SM_100_200cm_mm,100–200 cm,10.0,3,6,72,36.844051478431666
SM_100_200cm_mm,100–200 cm,10.0,4,8,96,73.61296368532996
SM_100_200cm_mm,100–200 cm,30.0,0,6,72,30.247703012983507
SM_100_200cm_mm,100–200 cm,30.0,1,7,84,31.52976849057036
SM_100_200cm_mm,100–200 cm,30.0,2,6,72,42.53533210030827
SM_100_200cm_mm,100–200 cm,30.0,3,6,72,37.47227118421956
SM_100_200cm_mm,100–200 cm,30.0,4,8,96,68.29928467900172
SM_100_200cm_mm,100–200 cm,100.0,0,6,72,34.8654245157659
SM_100_200cm_mm,100–200 cm,100.0,1,7,84,35.573137368714846
SM_100_200cm_mm,100–200 cm,100.0,2,6,72,39.88600870127238
SM_100_200cm_mm,100–200 cm,100.0,3,6,72,38.82454890436498
SM_100_200cm_mm,100–200 cm,100.0,4,8,96,62.34929064512742
SM_100_200cm_mm,100–200 cm,300.0,0,6,72,43.68906914964761
SM_100_200cm_mm,100–200 cm,300.0,1,7,84,39.50475528775257
SM_100_200cm_mm,100–200 cm,300.0,2,6,72,38.065641728946424
SM_100_200cm_mm,100–200 cm,300.0,3,6,72,41.19958173076833
SM_100_200cm_mm,100–200 cm,300.0,4,8,96,58.5910080601069
