region_id,native_cell_count,longitude_mean,latitude_mean,longitude_min_native,longitude_max_native,latitude_min_native,latitude_max_native,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,region_center_lon,region_center_lat,corrected_aet_records,small_region_lt_4_cells,very_small_region_lt_2_cells
MYS_09_06,1,102.75,5.25,102.75,102.75,5.25,5.25,6,9,102.5,103.0,5.0,5.5,102.75,5.25,0,True,True
MYS_09_07,1,103.25,5.25,103.25,103.25,5.25,5.25,7,9,103.0,103.5,5.0,5.5,103.25,5.25,0,True,True
MYS_09_31,1,115.25,5.25,115.25,115.25,5.25,5.25,31,9,115.0,115.5,5.0,5.5,115.25,5.25,0,True,True
MYS_09_32,1,115.75,5.25,115.75,115.75,5.25,5.25,32,9,115.5,116.0,5.0,5.5,115.75,5.25,0,True,True
MYS_09_33,1,116.25,5.25,116.25,116.25,5.25,5.25,33,9,116.0,116.5,5.0,5.5,116.25,5.25,0,True,True
MYS_09_34,1,116.75,5.25,116.75,116.75,5.25,5.25,34,9,116.5,117.0,5.0,5.5,116.75,5.25,0,True,True
MYS_09_35,1,117.25,5.25,117.25,117.25,5.25,5.25,35,9,117.0,117.5,5.0,5.5,117.25,5.25,0,True,True
MYS_09_36,1,117.75,5.25,117.75,117.75,5.25,5.25,36,9,117.5,118.0,5.0,5.5,117.75,5.25,0,True,True
MYS_09_37,1,118.25,5.25,118.25,118.25,5.25,5.25,37,9,118.0,118.5,5.0,5.5,118.25,5.25,0,True,True
MYS_09_38,1,118.75,5.25,118.75,118.75,5.25,5.25,38,9,118.5,119.0,5.0,5.5,118.75,5.25,0,True,True
MYS_09_39,1,119.25,5.25,119.25,119.25,5.25,5.25,39,9,119.0,119.5,5.0,5.5,119.25,5.25,0,True,True
MYS_08_02,1,100.75,4.75,100.75,100.75,4.75,4.75,2,8,100.5,101.0,4.5,5.0,100.75,4.75,0,True,True
MYS_08_03,1,101.25,4.75,101.25,101.25,4.75,4.75,3,8,101.0,101.5,4.5,5.0,101.25,4.75,0,True,True
MYS_08_04,1,101.75,4.75,101.75,101.75,4.75,4.75,4,8,101.5,102.0,4.5,5.0,101.75,4.75,0,True,True
MYS_08_05,1,102.25,4.75,102.25,102.25,4.75,4.75,5,8,102.0,102.5,4.5,5.0,102.25,4.75,0,True,True
MYS_08_06,1,102.75,4.75,102.75,102.75,4.75,4.75,6,8,102.5,103.0,4.5,5.0,102.75,4.75,0,True,True
MYS_08_07,1,103.25,4.75,103.25,103.25,4.75,4.75,7,8,103.0,103.5,4.5,5.0,103.25,4.75,0,True,True
MYS_08_08,1,103.75,4.75,103.75,103.75,4.75,4.75,8,8,103.5,104.0,4.5,5.0,103.75,4.75,0,True,True
MYS_08_29,1,114.25,4.75,114.25,114.25,4.75,4.75,29,8,114.0,114.5,4.5,5.0,114.25,4.75,0,True,True
MYS_08_30,1,114.75,4.75,114.75,114.75,4.75,4.75,30,8,114.5,115.0,4.5,5.0,114.75,4.75,0,True,True
MYS_08_31,1,115.25,4.75,115.25,115.25,4.75,4.75,31,8,115.0,115.5,4.5,5.0,115.25,4.75,0,True,True
MYS_08_32,1,115.75,4.75,115.75,115.75,4.75,4.75,32,8,115.5,116.0,4.5,5.0,115.75,4.75,0,True,True
MYS_08_33,1,116.25,4.75,116.25,116.25,4.75,4.75,33,8,116.0,116.5,4.5,5.0,116.25,4.75,0,True,True
MYS_08_34,1,116.75,4.75,116.75,116.75,4.75,4.75,34,8,116.5,117.0,4.5,5.0,116.75,4.75,0,True,True
MYS_08_35,1,117.25,4.75,117.25,117.25,4.75,4.75,35,8,117.0,117.5,4.5,5.0,117.25,4.75,0,True,True
MYS_08_36,1,117.75,4.75,117.75,117.75,4.75,4.75,36,8,117.5,118.0,4.5,5.0,117.75,4.75,0,True,True
MYS_08_37,1,118.25,4.75,118.25,118.25,4.75,4.75,37,8,118.0,118.5,4.5,5.0,118.25,4.75,0,True,True
MYS_08_38,1,118.75,4.75,118.75,118.75,4.75,4.75,38,8,118.5,119.0,4.5,5.0,118.75,4.75,0,True,True
MYS_07_02,1,100.75,4.25,100.75,100.75,4.25,4.25,2,7,100.5,101.0,4.0,4.5,100.75,4.25,0,True,True
MYS_07_03,1,101.25,4.25,101.25,101.25,4.25,4.25,3,7,101.0,101.5,4.0,4.5,101.25,4.25,0,True,True
MYS_07_04,1,101.75,4.25,101.75,101.75,4.25,4.25,4,7,101.5,102.0,4.0,4.5,101.75,4.25,0,True,True
MYS_07_05,1,102.25,4.25,102.25,102.25,4.25,4.25,5,7,102.0,102.5,4.0,4.5,102.25,4.25,0,True,True
MYS_07_06,1,102.75,4.25,102.75,102.75,4.25,4.25,6,7,102.5,103.0,4.0,4.5,102.75,4.25,0,True,True
MYS_07_07,1,103.25,4.25,103.25,103.25,4.25,4.25,7,7,103.0,103.5,4.0,4.5,103.25,4.25,0,True,True
MYS_07_28,1,113.75,4.25,113.75,113.75,4.25,4.25,28,7,113.5,114.0,4.0,4.5,113.75,4.25,0,True,True
MYS_07_29,1,114.25,4.25,114.25,114.25,4.25,4.25,29,7,114.0,114.5,4.0,4.5,114.25,4.25,0,True,True
MYS_07_30,1,114.75,4.25,114.75,114.75,4.25,4.25,30,7,114.5,115.0,4.0,4.5,114.75,4.25,0,True,True
MYS_07_31,1,115.25,4.25,115.25,115.25,4.25,4.25,31,7,115.0,115.5,4.0,4.5,115.25,4.25,0,True,True
