component_count,best_rss,median_rss,q25_rss,q75_rss,best_relative_frobenius_error,median_relative_frobenius_error,q25_relative_frobenius_error,q75_relative_frobenius_error,best_explained_variance,median_explained_variance,q25_explained_variance,q75_explained_variance,mean_component_stability,median_component_stability,minimum_run_stability,converged_fraction,median_iterations,best_random_seed,marginal_median_error_reduction
2,3689748.000802879,3689751.97163071,3689751.3914216906,3689752.2283308594,0.1531260282477056,0.15312611064316062,0.15312609860371262,0.15312611596973746,0.7848330680569864,0.7848328364989392,0.7848328215295203,0.7848328703337144,0.9970441432693739,0.9984594366411523,0.9846328789136696,1.0,1215.0,20280823,
3,1040065.4065806324,1040243.9693202286,1040091.2752777704,1040638.5434173943,0.08129821135801239,0.08130518986522585,0.08129922238371251,0.08132060830336879,0.939348789536488,0.9393383766853043,0.9393153671741146,0.9393472810084815,0.9885567249650973,0.9934950355126781,0.9300718840395894,0.43,5000.0,20290888,0.4690311827047156
4,585367.5054601703,585685.6292545893,585485.2020160593,586297.726599805,0.060990889921422216,0.06100746072305262,0.0609970211608359,0.061039331697330876,0.9658644085770645,0.965845857250305,0.9658101629135124,0.9658575451254614,0.9467159549220584,0.9459325439685735,0.86880821379318,0.2,5000.0,20300833,0.24964862852936465
5,364934.1506602304,365308.80679821223,365107.6115463037,365492.3412341703,0.048156833021756024,0.048181546553326765,0.04816827664011416,0.04819364845654913,0.9787189364851732,0.978697088485872,0.9786863857111886,0.9787088211475783,0.9361842605195814,0.9366951368786397,0.850106063692723,0.02,5000.0,20310806,0.21023517480837195
6,204990.5697770102,205150.04510008256,205087.33033608907,205267.06018540604,0.03609255328048654,0.036106589907807116,0.036101070559090814,0.03611688581846366,0.9880460150756714,0.9880367153034433,0.9880298915916628,0.9880403725026214,0.908595145074535,0.9072011018046053,0.8570454564941731,0.02,5000.0,20320835,0.2506137205902104
7,125872.30100912512,126092.15195115557,126007.1206738202,126231.14075600485,0.028282366815582147,0.02830705529835295,0.02829750914119878,0.02832265211592264,0.9926597814216993,0.9926469608570778,0.9926388557521473,0.9926519194393603,0.8925157046511029,0.8896573428109902,0.8276924693736019,0.0,5000.0,20330840,0.21601415778585384
8,79410.02686486053,79762.23998293694,79584.01296829563,80088.34954311862,0.022464064449486315,0.022513827557472776,0.02248866017957304,0.022559804737654503,0.9953692198376946,0.9953486805987031,0.9953296635835773,0.995359073872152,0.8732094369204642,0.8716791915365393,0.827622618988531,0.0,5000.0,20340820,0.2046566723320477
