model_family,lambda_precipitation,lambda_pet,seed,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_mae_mm,core_test_r_squared,validation_precipitation_violation_fraction,test_precipitation_violation_fraction,validation_pet_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
Mean,0.0,0.0,-1,,0,0,0.0,,122.73056929328116,104.19828842625473,-0.0021234241271754772,5.64950654000947,124.44143548510833,105.85858890928071,-0.0022475684220106817,,,,,,
Ridge,0.0,0.0,-1,0.0,0,0,0.0,31.171696027532132,36.54422025167086,30.173169685132574,0.9111508830800769,0.5643948641690341,35.71733124618441,28.74829154179014,0.9174336683340324,0.0,0.0,1.0,1.0,,
MLP,0.0,0.0,20260806,,832,1032,2.445943832397461,24.45189333216186,25.280456985203063,17.540350249319367,0.9574807537829046,0.043930978486032196,18.878724971569437,15.015602374898977,0.9769330429982581,0.13068181818181818,0.10321969696969698,0.21212121212121213,0.15151515151515152,0.008352864533662796,0.007969693280756474
MLP,0.0,0.0,20260807,,493,693,1.5312392711639404,23.72880317434346,24.086489524588014,18.064511848218512,0.9614021838366543,-2.3182257449988164,18.741866608122145,15.489023669012662,0.9772662713536323,0.05303030303030303,0.04450757575757576,0.4696969696969697,0.3787878787878788,0.0028531281277537346,0.01769428513944149
MLP,0.0,0.0,20260808,,480,680,1.495737075805664,23.868299311741946,24.479894306764642,18.406007708925188,0.9601310504699316,-1.2635858709161931,20.444791685459816,16.308489569302264,0.9729473155722679,0.052083333333333336,0.04734848484848485,0.3484848484848485,0.4090909090909091,0.002066222485154867,0.023719871416687965
MLP,0.0,0.0,20260809,,531,731,1.6354126930236816,25.039169573135652,25.566236167057568,19.262565843986742,0.9565140152744723,-0.6509593616832386,21.287956088962705,16.860260009765625,0.9706699422408088,0.07102272727272728,0.0634469696969697,0.19696969696969696,0.21212121212121213,0.0032654465176165104,0.00888845231384039
MLP,0.0,0.0,20260810,,514,714,1.4938666820526123,23.510990640953153,23.933836616001052,16.041502981474906,0.9618898761438553,0.2830181699810606,18.373383536392602,13.378383241850754,0.9781514173710859,0.07481060606060606,0.05397727272727273,0.3939393939393939,0.3484848484848485,0.0028189511504024267,0.018438130617141724
PINN_P,0.001,0.0,20260806,,832,1032,4.488221168518066,24.451201990009974,25.278350747127632,17.538948290275805,0.9574878384590015,0.043529626094933715,18.87680429477006,15.013926012762662,0.9769377363147306,0.13068181818181818,0.10321969696969698,0.21212121212121213,0.15151515151515152,0.008337710052728653,0.007976070046424866
PINN_P,0.001,0.0,20260807,,493,693,2.826535940170288,23.72884357866718,24.08645468567016,18.064479943477746,0.9614022954930393,-2.3184000651041665,18.741955156910354,15.489061026737607,0.9772660565352345,0.05303030303030303,0.04450757575757576,0.4696969696969697,0.3787878787878788,0.002851288765668869,0.017700452357530594
PINN_P,0.001,0.0,20260808,,479,679,2.8939366340637207,23.86827044961509,24.486642703100806,18.412248091264203,0.9601090660157175,-1.267688173236269,20.453776945120726,16.318595096982758,0.972923531636259,0.05113636363636364,0.04640151515151515,0.3484848484848485,0.4090909090909091,0.00204280368052423,0.02378997579216957
PINN_P,0.001,0.0,20260809,,531,731,2.8711488246917725,25.038980661729525,25.5657908677881,19.262115478515625,0.9565155300933503,-0.6509454900568182,21.287591478072024,16.859832763671875,0.9706709469372538,0.07102272727272728,0.0625,0.19696969696969696,0.21212121212121213,0.0032620353158563375,0.008892123587429523
PINN_P,0.001,0.0,20260810,,514,714,2.9229049682617188,23.51092100331473,23.93370600393329,16.041345307321258,0.9618902920929218,0.2830288048946496,18.373292671936166,13.378231180125269,0.978151633472238,0.07481060606060606,0.05397727272727273,0.3939393939393939,0.3484848484848485,0.0028181076049804688,0.01844029687345028
PINN_P_PET,0.001,0.001,20260806,,835,1035,4.391366720199585,24.473109138300128,25.294826288141042,17.546923088304926,0.9574324045329798,0.045866995146780304,18.877503001767376,15.019335516567889,0.9769360290275249,0.13162878787878787,0.10321969696969698,0.19696969696969696,0.15151515151515152,0.008362098596990108,0.007855192758142948
PINN_P_PET,0.001,0.001,20260807,,493,693,2.8641140460968018,23.728836689358445,24.088454316632642,18.065704345703125,0.9613958865491107,-2.3151050914417612,18.739590630983123,15.488388587688577,0.977271792501133,0.05303030303030303,0.04450757575757576,0.4696969696969697,0.36363636363636365,0.002861026208847761,0.017441004514694214
