configuration,model_family,lambda_precipitation,lambda_pet,seed,test_fold,validation_fold,train_region_count,validation_region_count,test_region_count,test_sample_count,selected_ridge_alpha,best_epoch,epochs_completed,training_seconds,validation_rmse_mm,test_rmse_mm,test_mae_mm,test_r_squared,test_mean_bias_mm,core_test_rmse_mm,core_test_r_squared,test_precipitation_violation_fraction,test_pet_violation_fraction,test_precipitation_negative_gradient_mean,test_pet_positive_gradient_mean
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260809,1,2,20,6,7,84,,13,213,0.8752908706665039,58.453277490371455,70.70180416685317,55.569161914643786,0.5491604404842116,16.23550742013114,59.92976877855654,0.640855735446993,0.13913690476190477,0.0,0.009708444587886333,0.0
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,20260810,1,2,20,6,7,84,,13,213,0.7730557918548584,64.3726029590728,85.12836978027823,67.64019448416573,0.3464035906843894,58.01014309837704,71.58947310709569,0.48751393244924557,0.16741071428571427,0.0,0.002195628359913826,0.0
Mean,Mean,0.0,0.0,-1,2,3,21,6,6,72,,0,0,0.0,,102.62493850005464,85.47173309326172,-0.0016423059825396713,-4.155503167046441,102.62493850005464,-0.0016423059825396713,,,,
Ridge,Ridge,0.0,0.0,-1,2,3,21,6,6,72,10.0,0,0,0.0,24.986360604234314,59.212778061331406,53.19957309299045,0.6665446313359016,51.52942403157552,59.212778061331406,0.6665446313359016,0.0,0.0,,
MLP,MLP,0.0,0.0,20260806,2,3,21,6,6,72,,103,303,0.6398963928222656,29.480698577381773,64.64439587144226,57.66973453097873,0.6025627199836824,57.39215850830078,64.64439587144226,0.6025627199836824,0.0026041666666666665,0.4444444444444444,5.8868350606644526e-05,0.00708899088203907
MLP,MLP,0.0,0.0,20260807,2,3,21,6,6,72,,109,309,0.578702449798584,29.17931804044628,66.58637893105465,58.39512634277344,0.5783252117431328,58.15872701009115,66.58637893105465,0.5783252117431328,0.0078125,0.5555555555555556,0.00027888946351595223,0.010848747566342354
MLP,MLP,0.0,0.0,20260808,2,3,21,6,6,72,,59,259,0.5152196884155273,29.035249288630492,64.48031014738307,55.93035803900825,0.6045777753488333,53.26582929823134,64.48031014738307,0.6045777753488333,0.008680555555555556,0.0,0.00018824503058567643,0.0
MLP,MLP,0.0,0.0,20260809,2,3,21,6,6,72,,103,303,0.6320374011993408,28.86001138982345,65.45097686850629,58.59031677246094,0.5925830386166926,57.71011861165365,65.45097686850629,0.5925830386166926,0.0,0.5416666666666666,0.0,0.012140203267335892
MLP,MLP,0.0,0.0,20260810,2,3,21,6,6,72,,80,280,0.5590593814849854,31.361706291463733,74.34084700888461,65.6068844265408,0.4743921418436725,65.44173007541232,74.34084700888461,0.4743921418436725,0.003472222222222222,0.7777777777777778,2.771666186163202e-05,0.03846350684762001
PINN_P_lambda10,PINN_P,10.0,0.0,20260806,2,3,21,6,6,72,,709,909,3.7349507808685303,25.429704910675074,55.776415741549705,47.01307678222656,0.7041251540988889,44.95460679796007,55.776415741549705,0.7041251540988889,0.041666666666666664,0.4305555555555556,0.001186322420835495,0.024795107543468475
