grid_id,longitude,latitude
MY_0p5_2.7500_115.2500,115.25,2.75
MY_0p5_2.2500_101.7500,101.75,2.25
MY_0p5_2.2500_102.2500,102.25,2.25
MY_0p5_2.2500_102.7500,102.75,2.25
MY_0p5_2.2500_103.2500,103.25,2.25
MY_0p5_2.2500_103.7500,103.75,2.25
MY_0p5_2.2500_104.2500,104.25,2.25
MY_0p5_2.2500_104.7500,104.75,2.25
MY_0p5_2.2500_109.7500,109.75,2.25
MY_0p5_2.2500_111.2500,111.25,2.25
MY_0p5_2.2500_111.7500,111.75,2.25
MY_0p5_2.2500_112.2500,112.25,2.25
MY_0p5_2.2500_112.7500,112.75,2.25
MY_0p5_2.2500_113.2500,113.25,2.25
MY_0p5_2.2500_113.7500,113.75,2.25
MY_0p5_2.2500_114.2500,114.25,2.25
MY_0p5_2.2500_114.7500,114.75,2.25
MY_0p5_2.2500_115.2500,115.25,2.25
MY_0p5_1.7500_102.7500,102.75,1.75
MY_0p5_1.7500_103.2500,103.25,1.75
MY_0p5_1.7500_103.7500,103.75,1.75
MY_0p5_1.7500_104.2500,104.25,1.75
MY_0p5_1.7500_109.7500,109.75,1.75
MY_0p5_1.7500_110.2500,110.25,1.75
MY_0p5_1.7500_110.7500,110.75,1.75
MY_0p5_1.7500_111.2500,111.25,1.75
MY_0p5_1.7500_111.7500,111.75,1.75
MY_0p5_1.7500_112.2500,112.25,1.75
MY_0p5_1.7500_112.7500,112.75,1.75
MY_0p5_1.7500_113.2500,113.25,1.75
MY_0p5_1.7500_113.7500,113.75,1.75
MY_0p5_1.7500_114.2500,114.25,1.75
MY_0p5_1.7500_114.7500,114.75,1.75
MY_0p5_1.2500_103.2500,103.25,1.25
MY_0p5_1.2500_103.7500,103.75,1.25
MY_0p5_1.2500_104.2500,104.25,1.25
MY_0p5_1.2500_109.7500,109.75,1.25
MY_0p5_1.2500_110.2500,110.25,1.25
MY_0p5_1.2500_110.7500,110.75,1.25
MY_0p5_1.2500_111.2500,111.25,1.25
MY_0p5_1.2500_111.7500,111.75,1.25
MY_0p5_1.2500_112.2500,112.25,1.25
MY_0p5_1.2500_112.7500,112.75,1.25
MY_0p5_1.2500_113.2500,113.25,1.25
MY_0p5_1.2500_113.7500,113.75,1.25
MY_0p5_1.2500_114.2500,114.25,1.25
MY_0p5_1.2500_114.7500,114.75,1.25
MY_0p5_0.7500_110.2500,110.25,0.75
MY_0p5_0.7500_110.7500,110.75,0.75
MY_0p5_0.7500_111.7500,111.75,0.75
