suspect_grid_id,month,variable,suspect_climatology,neighbour_median_climatology,suspect_standard_deviation,neighbour_standard_deviation
SL_7.9500_79.7500,1,precipitation_mm,78.05097366666665,83.89066619166667,46.543807113426176,50.97435411454144
SL_7.9500_79.7500,1,PET_mm,135.48982566666666,127.13136666666668,7.82157729437752,7.747974516110573
SL_7.9500_79.7500,1,actual_evapotranspiration_mm_raw,-0.0009566883400999998,127.47365523333335,0.009599470609749954,20.364861808924697
SL_7.9500_79.7500,1,total_runoff_mm,4.2745652840568494e-07,3.8753423931666666,9.751190489724233e-07,4.999514699601989
SL_7.9500_79.7500,1,soil_moisture_total_mm,165.80088899999996,664.120519,0.0023095384671030367,87.66606301086566
SL_7.9500_79.7500,2,precipitation_mm,61.68813576666667,64.358542655,61.98640392045859,65.02982511485274
SL_7.9500_79.7500,2,PET_mm,135.14157953333333,132.27513333333332,9.297753751672145,9.6437301607129
SL_7.9500_79.7500,2,actual_evapotranspiration_mm_raw,-0.009742511520156668,98.0033744,0.030505790151992108,17.279172959405418
SL_7.9500_79.7500,2,total_runoff_mm,4.473115438023341e-06,1.9375615406349997,8.806504622359676e-06,4.492371848723101
SL_7.9500_79.7500,2,soil_moisture_total_mm,165.80861566666667,595.4550193333333,0.01700466237958708,86.31793593863082
SL_7.9500_79.7500,3,precipitation_mm,85.70277159999999,87.7675367,79.98337653726892,82.0760593621134
SL_7.9500_79.7500,3,PET_mm,162.2661396666667,161.81505,10.759253717217177,11.075051312522215
SL_7.9500_79.7500,3,actual_evapotranspiration_mm_raw,-0.00023063198230666588,90.04210231666667,0.026354392503957116,22.084891636338696
SL_7.9500_79.7500,3,total_runoff_mm,3.615104990373334e-06,2.94613407365,4.987446731946872e-06,5.468690252098611
SL_7.9500_79.7500,3,soil_moisture_total_mm,165.81334699999996,547.1213894999999,0.021197303366230075,91.01607569347394
SL_7.9500_79.7500,4,precipitation_mm,174.29563783333333,177.63925840000002,91.65077940580464,91.6840859751085
SL_7.9500_79.7500,4,PET_mm,151.29613966666668,150.1009666666667,9.88869777561109,10.073187233967941
SL_7.9500_79.7500,4,actual_evapotranspiration_mm_raw,0.010190864694101865,100.27227486666666,0.012299595915773162,26.816774103340485
SL_7.9500_79.7500,4,total_runoff_mm,6.338856062166315e-08,10.7633203959,1.703960824349747e-07,21.767986882303664
SL_7.9500_79.7500,4,soil_moisture_total_mm,165.80627066666668,561.459447,0.009965528493808046,115.09953876074607
SL_7.9500_79.7500,5,precipitation_mm,140.9665717333333,142.75809616666666,51.96010184261068,51.616545023993524
SL_7.9500_79.7500,5,PET_mm,146.16912299999998,146.51511666666664,8.262052733509849,8.178545405071494
SL_7.9500_79.7500,5,actual_evapotranspiration_mm_raw,0.0023012575985933334,101.39604715,0.005357413637986866,24.694446662558143
SL_7.9500_79.7500,5,total_runoff_mm,3.5552186003695075e-08,3.029856208166667,1.9469903651545048e-07,2.646105571187432
SL_7.9500_79.7500,5,soil_moisture_total_mm,165.80051433333338,586.3791578333334,0.0016706671872585154,115.87940315518807
SL_7.9500_79.7500,6,precipitation_mm,100.06731506666667,104.25896363333335,37.155299173270656,37.78178424182313
