region_id,native_cell_count,longitude_mean,latitude_mean,small_region_lt_4_cells,mean_observed_precipitation_mm,rmse_mm,normalized_rmse_by_mean,mae_mm,maximum_absolute_error_mm,mean_bias_mm,r_squared
MYS_01_09,1,104.25,1.25,True,206.85685305644589,29.743566066642195,0.14378815894741445,23.929610312032192,65.10118297027987,-0.7434462692763404,0.8009223601043002
MYS_02_09,1,104.25,1.75,True,207.57707152295447,28.38496214034542,0.13674420749888327,22.110553806189728,64.55275520808821,-0.6160597626388279,0.8251980601616529
MYS_01_08,1,103.75,1.25,True,210.03206442192024,27.570362317082832,0.13126739668519594,20.856405851401533,64.66844044365469,-0.587519927341661,0.8060206559533186
MYS_03_09,1,104.25,2.25,True,207.6478793636355,27.16317170124623,0.13081362441307554,21.464130691109826,62.65198949611367,-0.27868081251425875,0.8731753164105855
MYS_04_09,1,104.25,2.75,True,208.10244008649408,26.85683156803374,0.12905582249238007,21.600469239180104,59.237878637653665,-0.11825120997772605,0.8947422498256431
MYS_02_08,1,103.75,1.75,True,210.3194934133487,26.897481480291074,0.1278886756703453,20.426178332632023,64.5046785364386,-0.49511609625923353,0.8382046189169464
MYS_03_08,1,103.75,2.25,True,211.0925474774815,26.927255059624652,0.12756137239992874,21.446171450751347,63.29443994326071,-0.26849227661312486,0.8837143262772342
MYS_04_08,1,103.75,2.75,True,216.14485403257868,25.78964725981678,0.11931649899899817,21.405006412027756,55.20209268893824,-0.13967333425049944,0.9256649444549102
MYS_10_38,1,118.75,5.75,True,196.03872335418168,23.255459284128488,0.11862686558161789,19.31314604465074,44.032119688701385,-0.17011079518081829,0.7505804186684737
MYS_11_00,1,99.75,6.25,True,205.17300145555944,24.279172145408182,0.11833512193692337,18.983842108307815,53.12362415651879,0.4648356841597228,0.9390486317755321
MYS_03_07,1,103.25,2.25,True,209.73042470499743,24.60302761928359,0.11730786152695638,19.876606178356376,54.24101478615255,-0.37804725103608305,0.8851759005849571
MYS_01_07,1,103.25,1.25,True,208.72881442175972,23.67521738799022,0.11342572635971485,17.813693537259557,54.656654759120585,-0.6542144405601936,0.8045570506716304
MYS_04_07,1,103.25,2.75,True,215.07471163265265,24.31745864464802,0.11306516912217095,19.47020185412294,45.958559706124916,-0.21520379468924133,0.9282774547395464
