suspect_grid_id,neighbour_rank,grid_id,longitude,latitude,distance_km
SL_7.9500_79.7500,1,SL_7.9500_79.8500,79.85000000000002,7.949999999999989,11.025011941015611
SL_7.9500_79.7500,2,SL_8.0500_79.8500,79.85000000000002,8.049999999999997,15.666607644884138
SL_7.9500_79.7500,3,SL_7.8500_79.8500,79.85000000000002,7.849999999999994,15.668498587239528
SL_7.9500_79.7500,4,SL_7.9500_79.9500,79.94999999999999,7.949999999999989,22.050023882024956
SL_7.9500_79.7500,5,SL_8.0500_79.9500,79.94999999999999,8.049999999999997,24.69830173098201
SL_7.9500_79.7500,6,SL_7.8500_79.9500,79.94999999999999,7.849999999999994,24.703099398923086
SL_7.9500_79.7500,7,SL_8.1500_79.8500,79.85000000000002,8.149999999999991,24.84304668245084
SL_7.9500_79.7500,8,SL_7.7500_79.8500,79.85000000000002,7.75,24.845431653426896
SL_8.7500_81.1500,1,SL_8.7500_81.0500,81.05000000000001,8.75,11.002440334529613
SL_8.7500_81.1500,2,SL_8.6500_81.1500,81.15000000000003,8.649999999999991,11.132000000000948
SL_8.7500_81.1500,3,SL_8.8500_81.0500,81.05000000000001,8.849999999999994,15.650639234492864
SL_8.7500_81.1500,4,SL_8.6500_81.0500,81.05000000000001,8.649999999999991,15.652716894330473
SL_8.7500_81.1500,5,SL_8.7500_80.9500,80.94999999999999,8.75,22.004880669059226
SL_8.7500_81.1500,6,SL_8.5500_81.1500,81.15000000000003,8.549999999999997,22.264000000000316
SL_8.7500_81.1500,7,SL_8.8500_80.9500,80.94999999999999,8.849999999999994,24.65777284738084
SL_8.7500_81.1500,8,SL_8.6500_80.9500,80.94999999999999,8.649999999999991,24.663047514372003
