configuration,region_id,test_fold,native_cell_count,core_region_ge_4_cells,regional_rmse_mm,regional_mae_mm,regional_r_squared,regional_mean_bias_mm
PINN_P_PET_lambda10,SLR_04_04,3,9,True,49.015555769239754,45.544041951497405,0.7593930083969086,-45.544041951497405
PINN_P_PET_lambda10,SLR_05_00,2,9,True,80.31389157800761,78.68246409098307,-0.027207979789675374,78.68246409098307
PINN_P_PET_lambda10,SLR_05_01,2,25,True,56.74735988562461,55.35861358642577,0.49839842775728105,55.35861358642577
PINN_P_PET_lambda10,SLR_05_02,3,25,True,28.075239350395027,19.84136708577475,0.910998022215904,-18.525860087076836
PINN_P_PET_lambda10,SLR_05_03,3,21,True,31.410962027366924,26.991795349121094,0.9145267607373646,-15.062521870930984
PINN_P_PET_lambda10,SLR_06_00,4,4,True,46.08694318606993,44.943887329101564,0.7020622912964778,-44.943887329101564
PINN_P_PET_lambda10,SLR_06_01,4,25,True,25.268605910248183,20.45703379313151,0.9390803058311317,-19.79175465901693
PINN_P_PET_lambda10,SLR_06_02,4,25,True,13.362026564704541,10.830880737304676,0.9861172354303809,-7.6267771402994855
PINN_P_PET_lambda10,SLR_06_03,3,6,True,43.777525275900615,34.00354054768881,0.8604038151654805,23.655922953287753
PINN_P_PET_lambda10,SLR_07_00,4,1,False,102.36230314935042,101.617377726237,-0.6211193872263407,-101.617377726237
PINN_P_PET_lambda10,SLR_07_01,4,19,True,44.853899575414005,37.89302571614583,0.8411201926280031,-36.05950622558594
PINN_P_PET_lambda10,SLR_07_02,4,14,True,29.488132967091804,25.061058553059876,0.9417630633251353,-14.34393717447916
PINN_P_PET_lambda10,SLR_08_00,4,1,False,75.49106607595893,63.85840708414713,0.6099112632625407,-55.1631393432617
PINN_P_PET_lambda10,SLR_08_01,4,8,True,101.51378127828956,99.63515625000001,-0.07556006036525642,-99.63515625000001
PINN_P_lambda10,SLR_00_02,0,1,False,41.49933617564931,33.382239786783856,0.5412070929982418,-30.28290506998698
PINN_P_lambda10,SLR_01_01,0,22,True,67.27026346908376,61.21165262858074,-1.2438382347230679,-61.21165262858074
PINN_P_lambda10,SLR_01_02,0,24,True,26.116393373575814,21.46107381184895,0.7092152269801342,-4.8900431315104145
PINN_P_lambda10,SLR_01_03,1,16,True,41.876445621247015,38.584623209635424,0.5966639763323102,38.584623209635424
PINN_P_lambda10,SLR_01_04,1,2,False,75.9449434452282,64.53795776367187,0.3420329340108277,61.848537190755195
PINN_P_lambda10,SLR_02_00,0,4,True,49.60679672032185,45.58908081054688,0.27166500146062866,-45.58908081054688
PINN_P_lambda10,SLR_02_01,0,25,True,61.757012645104474,56.3598612467448,-0.4650494426793008,-56.3598612467448
PINN_P_lambda10,SLR_02_02,0,25,True,65.76173384426959,63.212309773763025,-1.0605854276615956,-63.212309773763025
PINN_P_lambda10,SLR_02_03,1,25,True,20.32799139481354,19.00132853190105,0.9393694367466303,-5.766640218098938
PINN_P_lambda10,SLR_02_04,1,15,True,57.39521869144885,44.21825307210286,0.7039950188681565,35.37432810465495
PINN_P_lambda10,SLR_03_00,2,9,True,45.32060689117412,38.09808451334634,0.4898492986101822,38.09808451334634
PINN_P_lambda10,SLR_03_01,2,25,True,20.382021101544492,15.226365152994788,0.8884034397214637,12.8349609375
