region_id,replication_split,month_count
MYS_09_38,train,8
MYS_09_38,validation,2
MYS_09_39,test,2
MYS_09_39,train,8
MYS_09_39,validation,2
MYS_10_01,test,2
MYS_10_01,train,8
MYS_10_01,validation,2
MYS_10_02,test,2
MYS_10_02,train,8
MYS_10_02,validation,2
MYS_10_03,test,2
MYS_10_03,train,8
MYS_10_03,validation,2
MYS_10_04,test,2
MYS_10_04,train,8
MYS_10_04,validation,2
MYS_10_05,test,2
MYS_10_05,train,8
MYS_10_05,validation,2
MYS_10_06,test,2
MYS_10_06,train,8
MYS_10_06,validation,2
MYS_10_31,test,2
MYS_10_31,train,8
MYS_10_31,validation,2
MYS_10_32,test,2
MYS_10_32,train,8
MYS_10_32,validation,2
MYS_10_33,test,2
MYS_10_33,train,8
MYS_10_33,validation,2
MYS_10_34,test,2
MYS_10_34,train,8
MYS_10_34,validation,2
MYS_10_35,test,2
MYS_10_35,train,8
MYS_10_35,validation,2
MYS_10_36,test,2
MYS_10_36,train,8
MYS_10_36,validation,2
MYS_10_37,test,2
MYS_10_37,train,8
MYS_10_37,validation,2
MYS_10_38,test,2
MYS_10_38,train,8
MYS_10_38,validation,2
MYS_11_00,test,2
MYS_11_00,train,8
MYS_11_00,validation,2
MYS_11_01,test,2
MYS_11_01,train,8
MYS_11_01,validation,2
MYS_11_02,test,2
MYS_11_02,train,8
MYS_11_02,validation,2
MYS_11_03,test,2
MYS_11_03,train,8
MYS_11_03,validation,2
MYS_11_04,test,2
MYS_11_04,train,8
MYS_11_04,validation,2
MYS_11_05,test,2
MYS_11_05,train,8
MYS_11_05,validation,2
MYS_11_32,test,2
MYS_11_32,train,8
MYS_11_32,validation,2
MYS_11_33,test,2
MYS_11_33,train,8
MYS_11_33,validation,2
MYS_11_34,test,2
MYS_11_34,train,8
MYS_11_34,validation,2
MYS_11_35,test,2
MYS_11_35,train,8
MYS_11_35,validation,2
MYS_11_36,test,2
MYS_11_36,train,8
MYS_11_36,validation,2
MYS_11_37,test,2
MYS_11_37,train,8
MYS_11_37,validation,2
MYS_12_01,test,2
MYS_12_01,train,8
MYS_12_01,validation,2
MYS_12_02,test,2
MYS_12_02,train,8
MYS_12_02,validation,2
MYS_12_33,test,2
MYS_12_33,train,8
MYS_12_33,validation,2
MYS_12_34,test,2
MYS_12_34,train,8
MYS_12_34,validation,2
MYS_12_35,test,2
MYS_12_35,train,8
MYS_12_35,validation,2
MYS_12_36,test,2
MYS_12_36,train,8
MYS_12_36,validation,2
MYS_13_34,test,2
MYS_13_34,train,8
MYS_13_34,validation,2
MYS_13_35,test,2
MYS_13_35,train,8
MYS_13_35,validation,2
