component_count,run_index,random_seed,rss,relative_frobenius_error,explained_variance,iterations,converged,convergence_warning,mean_component_stability,minimum_component_stability
2,0,20280805,128702.44126466579,0.1014453911887923,0.9650271424144625,310,True,False,0.9998306839780559,0.9996613687770749
2,1,20280806,128702.46949635612,0.10144540231513413,0.9650271347429461,400,True,False,0.9998068942434013,0.9996137917335494
2,2,20280807,128702.50154145717,0.10144541494437108,0.9650271260351956,620,True,False,0.9933949720495774,0.9867899474309298
2,3,20280808,128702.51509658233,0.10144542028655651,0.9650271223518042,680,True,False,0.9879742906815034,0.9759485847113917
2,4,20280809,128702.53197100562,0.10144542693690405,0.965027117766446,640,True,False,0.990214311866961,0.9804286271599705
2,5,20280810,128702.4702120176,0.1014454025971822,0.9650271345484764,560,True,False,0.9985061790437753,0.9970123613496592
2,6,20280811,128702.5241212597,0.10144542384325536,0.9650271198994905,550,True,False,0.9921652327052402,0.984330468812687
2,7,20280812,128702.48686938464,0.10144540916198724,0.9650271300220998,640,True,False,0.9974530792147771,0.9949061617464782
2,8,20280813,128702.40583411336,0.10144537722531785,0.9650271520421561,420,True,False,1.0,0.9999999999999999
2,9,20280814,128702.47121286273,0.10144540299162348,0.9650271342765125,540,True,False,0.9985047651348355,0.9970095335363315
2,10,20280815,128702.40881944688,0.10144537840186262,0.9650271512309389,300,True,False,0.993464583968922,0.9869291687967969
2,11,20280816,128702.50784119534,0.10144541742714934,0.9650271243233411,640,True,False,0.9901698850217129,0.9803397733769441
2,12,20280817,128702.47077798504,0.10144540282023462,0.9650271343946837,460,True,False,0.9994413884878308,0.9988827802629712
2,13,20280818,128702.47703928595,0.10144540528786473,0.965027132693274,480,True,False,0.9997445219576488,0.999489047255866
2,14,20280819,128702.50542312341,0.10144541647416745,0.9650271249804141,620,True,False,0.9921327022566996,0.984265407850842
2,15,20280820,128702.47667946485,0.10144540514605628,0.9650271327910497,460,True,False,0.9991211501406121,0.9982423035841639
2,16,20280821,128702.48649424137,0.1014454090141402,0.9650271301240391,530,True,False,0.9989327745567045,0.9978655524624995
2,17,20280822,128702.52013326311,0.10144542227155344,0.9650271209831657,720,True,False,0.9838296182061312,0.9676592397599657
2,18,20280823,128702.47737826868,0.1014454054214606,0.9650271326011608,540,True,False,0.9977714334543284,0.9955428701886815
2,19,20280824,128702.42853882286,0.10144538617343232,0.9650271458725096,290,True,False,0.999912809940816,0.9998256207459605
2,20,20280825,128702.4202707382,0.10144538291491162,0.9650271481192311,350,True,False,0.9926454174660695,0.9852908391235962
2,21,20280826,128702.45204586927,0.10144539543775358,0.9650271394848406,420,True,False,0.9996361754523673,0.9992723542031369
2,22,20280827,128702.4699777573,0.10144540250485828,0.965027134612133,400,True,False,0.9999706093175161,0.9999412218858581
2,23,20280828,128702.44038240646,0.10144539084108661,0.9650271426542025,310,True,False,0.999894018036768,0.9997880366711399
2,24,20280829,128702.4518701723,0.10144539536850997,0.9650271395325835,460,True,False,0.9999090990504689,0.9998182013704958
