suspect_grid_id,variable,suspect_mean,neighbour_median_mean,mean_bias,mean_absolute_error,rmse,normalized_rmse_by_neighbour_mean,normalized_rmse_by_neighbour_range,pearson_correlation,suspect_minimum,suspect_maximum,neighbour_minimum,neighbour_maximum
SL_7.9500_79.7500,precipitation_mm,136.68334175833334,141.37406654694445,-4.690724788611112,5.017219919722224,6.491924555270849,0.045920193949539896,0.01060556572991968,0.9991588711504504,7.716756,601.85583,7.67374465,619.79805
SL_7.9500_79.7500,PET_mm,138.0679094472222,136.4542375,1.613671947222222,2.173510419444444,3.181713768628507,0.023317075577286538,0.03648858933603036,0.9884790113097092,98.710526,182.18947,95.24000000000001,182.4375
SL_7.9500_79.7500,actual_evapotranspiration_mm_raw,-0.00013949931964723345,91.52659214305555,-91.52673164237518,91.52673164237518,97.51220005667783,1.0653974738212344,0.6002050502904154,-0.009113570848095817,-0.13044211,0.100343995,16.452564000000002,178.917375
SL_7.9500_79.7500,total_runoff_mm,8.447955119756116e-07,7.656724613616805,-7.656723768821294,7.656723768821294,24.573764936951367,3.2094356499708905,0.09457649359772839,-0.037477705197799784,2.7463336999999997e-20,3.957697e-05,0.00081997705,259.83034
SL_7.9500_79.7500,soil_moisture_total_mm,165.8028793888889,588.2176273194444,-422.41474793055556,422.41474793055556,437.77389580832215,0.7442379749877497,0.8236516585770498,0.0708162302380843,165.79985,165.89075,358.06311,889.5668000000001
SL_8.7500_81.1500,precipitation_mm,114.44682542638887,113.67543757069444,0.7713878556944433,3.561909276527778,5.764295124570707,0.050708360994747945,0.0073960548108852045,0.9993663547693954,0.4966632,789.20636,0.4167887,779.7910999999999
SL_8.7500_81.1500,PET_mm,148.33011448055555,144.90515416666665,3.424960313888889,3.424960313888889,3.6285384618468814,0.02504078259130395,0.03445840023785761,0.9991720874236271,92.252945,196.56471,87.93,193.232
SL_8.7500_81.1500,actual_evapotranspiration_mm_raw,-8.960294987566687e-05,96.24420361111112,-96.244293214061,96.244293214061,104.10050455244581,1.08162882175304,0.6099294983650998,-0.2633713787919657,-0.32669234,0.11779138,16.751479,187.42777
SL_8.7500_81.1500,total_runoff_mm,2.085947359862136e-06,17.00157117124282,-17.00156908529546,17.00156908529546,54.655637692987945,3.2147403991364527,0.12169969322376686,-0.0692182734186193,4.9451879999999996e-20,5.6197056e-05,2.9368525999999997e-10,449.10251
SL_8.7500_81.1500,soil_moisture_total_mm,165.83219747222222,524.3750909027777,-358.5428934305556,358.5428934305556,388.1705282426235,0.7402535608133847,0.6649043278582535,0.014362033945044192,165.79987,166.18245,309.96481500000004,893.7638850000001
