rank,region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,region_lon_min,region_lon_max,region_lat_min,region_lat_max,small_region_lt_4_cells,very_small_region_lt_2_cells,precipitation_peak_month,soil_moisture_peak_month,runoff_peak_month,aet_peak_month,pet_peak_month,peak_month_forward_lag,peak_month_shortest_signed_lag,best_precipitation_lag_0_to_6,best_lag_correlation,corr_precipitation_soil_moisture,corr_precipitation_runoff,corr_soil_moisture_runoff,corr_precipitation_aet,corr_pet_aet,precipitation_mean_mm,precipitation_amplitude_mm,precipitation_seasonality_ratio,soil_moisture_mean_mm,soil_moisture_amplitude_mm,soil_moisture_seasonality_ratio,runoff_mean_mm,runoff_amplitude_mm,runoff_control_class,corr_precipitation_lag_0_soil_moisture,corr_precipitation_lag_1_soil_moisture,corr_precipitation_lag_2_soil_moisture,corr_precipitation_lag_3_soil_moisture,corr_precipitation_lag_4_soil_moisture,corr_precipitation_lag_5_soil_moisture,corr_precipitation_lag_6_soil_moisture,asynchrony_rank
11,MYS_01_29,1,114.25,1.25,29,1,114.0,114.5,1.0,1.5,True,True,3,3,3,3,8,0,0,1,0.8786965272270163,0.8544084863613288,0.9273499553456157,0.9444261800759763,0.3193931225432452,0.48353770189475426,333.863033738788,159.56562847261233,0.47793739452285494,887.0173053167564,35.81815777893962,0.04038044981112162,204.80316004551503,169.5080543819079,mixed,0.8544084863613288,0.8786965272270163,0.4738847472475945,-0.09382708735762892,-0.42851349562748164,-0.391181009513625,-0.2486945182962532,11
12,MYS_01_28,1,113.75,1.25,28,1,113.5,114.0,1.0,1.5,True,True,12,3,3,3,8,3,3,1,0.8754217750878263,0.8552291090769928,0.9251859217957564,0.9342637366485478,-0.050096528985716274,0.6246019007972954,346.6947075684866,180.12036665906805,0.5195359569297342,887.8555233900794,35.83121684681282,0.040357035466760706,220.90423095878523,174.93189995890916,mixed,0.8552291090769928,0.8754217750878263,0.5996242527428047,0.14759217432284163,-0.23977741982819928,-0.43260052347553146,-0.5263481014365865,9
13,MYS_03_28,1,113.75,2.25,28,3,113.5,114.0,2.0,2.5,True,True,12,11,1,3,8,11,-1,1,0.8680288235672678,0.837486470011298,0.928725283563886,0.921293625775551,-0.06580708270519604,0.6502009217258702,329.07936741685404,170.1757168218557,0.5171266681277206,886.3501449289873,31.701175480452207,0.03576597314483662,199.30980244965494,180.62415428805457,mixed,0.837486470011298,0.8680288235672678,0.43635397334580767,-0.00973726418519938,-0.3664634071054308,-0.4808158310729269,-0.5539676455153953,1
14,MYS_08_29,1,114.25,4.75,29,8,114.0,114.5,4.5,5.0,True,True,10,11,12,3,4,1,1,1,0.8679522007039872,0.7437766944149671,0.7425575924900627,0.8322144653217441,-0.5388589001297559,0.7678213343432319,294.1728048589494,211.19591541290282,0.7179314740333237,878.6366161770289,63.52342325846348,0.07229771908989585,121.82074158762892,168.9693064580361,mixed,0.7437766944149671,0.8679522007039872,0.4676155829698703,-0.1700475770833715,-0.4972929789167657,-0.49687659772982035,-0.4264919449628713,11
15,MYS_11_32,1,115.75,6.25,32,11,115.5,116.0,6.0,6.5,True,True,10,10,10,3,4,0,0,1,0.8647506189073599,0.6562584766694735,0.8035553372427818,0.8612071555459536,0.0071725611738299435,0.8783792710562176,228.30126638231854,179.82880812486016,0.7876820438819411,825.8614989386665,172.1797353108724,0.20848500085322358,90.08948273836738,155.605082710584,mixed,0.6562584766694735,0.8647506189073599,0.7292851747168227,0.33396255913278383,-0.126896620053749,-0.5025324424813362,-0.6842644193805272,11
16,MYS_02_30,1,114.75,1.75,30,2,114.5,115.0,1.5,2.0,True,True,4,11,11,3,8,7,-5,1,0.8640677006033225,0.831443073393685,0.9094416920529936,0.95831455919448,0.5074367249953726,0.4852143575897162,306.7384248260252,126.9953821818034,0.414018498836043,885.2977966686329,29.47296954271917,0.03329158804373587,187.74307666382163,135.80213008956383,mixed,0.831443073393685,0.8640677006033225,0.21766098117620247,-0.526818664357746,-0.6973541670624023,-0.285289170564718,0.19386499915519861,5
17,MYS_03_29,1,114.25,2.25,29,3,114.0,114.5,2.0,2.5,True,True,11,11,1,3,8,0,0,1,0.8633789279648791,0.8541473718089897,0.8564097936552122,0.9375025113133881,0.2688045291869487,0.6619794946605214,311.8231992213604,121.03755906281648,0.38816085321763705,885.4222278074235,31.848266310918916,0.03596958073865502,188.04184320682782,154.02406469415732,mixed,0.8541473718089897,0.8633789279648791,0.23917589212341558,-0.3640333092415061,-0.5726587844933424,-0.347401631470116,-0.14730230341330805,11
18,MYS_11_02,1,100.75,6.25,2,11,100.5,101.0,6.0,6.5,True,True,10,11,11,1,3,1,1,1,0.8630496938709019,0.6341957220221488,0.7459126775041847,0.8578257637551967,-0.46181053686834733,0.09472430059357102,211.4377356997379,278.9550708031869,1.3193249061242793,787.3946014142457,219.70911929647286,0.2790330526801321,88.81487779573649,207.16069571935842,mixed,0.6341957220221488,0.8630496938709019,0.7116843154702353,0.2434226438262118,-0.2740957465192913,-0.5753449177565373,-0.610952337819297,11
19,MYS_12_33,1,116.25,6.75,33,12,116.0,116.5,6.5,7.0,True,True,12,12,12,3,4,0,0,1,0.8554406701628745,0.7379975819449993,0.7352524629946127,0.890036272459514,-0.3336937933145199,0.4341961131652342,204.70825000195973,172.80651281364118,0.8441599828633524,781.1947582420618,168.3249348958334,0.2154711525133865,75.47155612263539,232.2478607314389,storage-dominant,0.7379975819449993,0.8554406701628745,0.6313984535471565,0.16805144015192738,-0.25362102740446696,-0.4594733835715592,-0.5559147501675484,11
20,MYS_11_33,1,116.25,6.25,33,11,116.0,116.5,6.0,6.5,True,True,10,11,1,3,4,1,1,1,0.8553078574338553,0.6609790419936658,0.6144135043231544,0.8434706295330041,-0.41928352989015655,0.8450925551196721,222.24289513577727,133.5627045045819,0.6009762625841558,818.474911513214,149.65464540277094,0.18284573332380613,88.0288837947138,125.56077986635881,storage-dominant,0.6609790419936658,0.8553078574338553,0.6556543805283507,0.21863614761616268,-0.19557709287492725,-0.4833656727078942,-0.6285763240957478,11
21,MYS_08_30,1,114.75,4.75,30,8,114.5,115.0,4.5,5.0,True,True,10,11,12,3,4,1,1,1,0.854349765398731,0.7750567411464215,0.8198293967563353,0.7886653181213255,-0.44991347030404255,0.8890093747396037,284.17231177110114,185.61136066341058,0.653164833359695,882.9218852345093,61.06501764550433,0.06916242384147618,160.24958885005069,204.513011022569,mixed,0.7750567411464215,0.854349765398731,0.3397620801048981,-0.29465450539771787,-0.5243784426376399,-0.490780514226275,-0.36363122912243934,11
22,MYS_01_30,1,114.75,1.25,30,1,114.5,115.0,1.0,1.5,True,True,4,11,11,3,8,7,-5,1,0.8535344303096348,0.8325477874498535,0.9399069032923798,0.9515422113162073,0.5674880174426243,0.3050013627717969,313.44393753338886,143.07516981555568,0.45646175498390346,885.7187324824725,37.01503564978157,0.04179095946863025,202.27340959049897,154.8421363399875,mixed,0.8325477874498535,0.8535344303096348,0.3267728603450631,-0.31902368409537535,-0.5806059461293708,-0.3399280258784814,0.028085670983133137,5
23,MYS_10_01,1,100.25,5.75,1,10,100.0,100.5,5.5,6.0,True,True,10,10,10,12,3,0,0,1,0.8526480624693523,0.6323332995027394,0.88589662771139,0.8002979775862121,0.053627296246831636,-0.5204669607113979,217.5567944199175,308.27720167744263,1.4169964330436908,656.2557766617863,185.46742679700947,0.28261454358609567,55.45256970488845,159.55323466567452,mixed,0.6323332995027394,0.8526480624693523,0.6823059213271188,0.1781605660444762,-0.3449496873566747,-0.6240371859739164,-0.5993309317838589,11
24,MYS_08_31,1,115.25,4.75,31,8,115.0,115.5,4.5,5.0,True,True,10,11,12,3,3,1,1,1,0.8524738958345304,0.7445266952532172,0.8514095817987332,0.8172094812609313,-0.06093972663585334,0.9506988285278699,265.2062534634438,168.64323783053288,0.6358946504018949,863.2723596939331,70.27657371097143,0.08140718618152848,143.00563085748794,137.73120158905573,mixed,0.7445266952532172,0.8524738958345304,0.3776377618163983,-0.27037602270830474,-0.5104149275028385,-0.45083957726635926,-0.2324247691890639,11
25,MYS_13_34,1,116.75,7.25,34,13,116.5,117.0,7.0,7.5,True,True,12,12,12,3,4,0,0,1,0.8481045438521017,0.8267338648132306,0.9098430838261051,0.8733504614431277,0.16816783177018224,0.038377200728988474,199.52362652932564,279.51152901111317,1.4008943896678374,705.035500930565,182.8880724832286,0.2594026431886587,57.95108311469537,235.89041531388312,mixed,0.8267338648132306,0.8481045438521017,0.5910876931462078,0.14114805423492735,-0.29850193198163194,-0.5420420054259305,-0.6265522360967093,11
26,MYS_09_02,1,100.75,5.25,2,9,100.5,101.0,5.0,5.5,True,True,10,10,10,1,3,0,0,1,0.8460942039508911,0.6039125800404221,0.8293595779833843,0.8063554016024959,-0.5224517066217201,0.601964372013118,231.62596449103145,275.87742165303695,1.19104704975214,818.4225010205656,146.8385730611866,0.1794165884712116,93.35249072407733,209.7539947812092,mixed,0.6039125800404221,0.8460942039508911,0.578490663971293,-0.0508839955557036,-0.5488550207113408,-0.635779165506803,-0.3877524839128808,11
