target,depth_label,component,component_label,dominant_lag_by_absolute_effect,dominant_standardized_coefficient,absolute_effect_memory_index_months,positive_effect_memory_index_months,net_standardized_effect_across_lags,total_absolute_effect_across_lags,stable_positive_lag_count,stable_negative_lag_count
SM_0_10cm_mm,0–10 cm,C1,January eastern,0,0.09373214315693731,1.154698662440156,1.154698662440156,0.2713488233327598,0.2713488233327598,4,0
SM_0_10cm_mm,0–10 cm,C2,May–June southwest,0,0.21600838699979508,1.1639416613413511,1.1639416613413511,0.5002011889970382,0.5002011889970382,4,0
SM_0_10cm_mm,0–10 cm,C3,April–October,0,0.16879941221901762,0.843903035608078,0.843903035608078,0.3664200137757132,0.3664200137757132,3,0
SM_0_10cm_mm,0–10 cm,C4,November northern,0,0.21451283072309582,0.8509218376689833,0.8509218376689833,0.4802751568391572,0.4802751568391572,4,0
SM_100_200cm_mm,100–200 cm,C1,January eastern,0,0.10718589077637417,1.47104864792212,1.47104864792212,0.4066456839671888,0.4066456839671888,4,0
SM_100_200cm_mm,100–200 cm,C2,May–June southwest,3,0.1716960381791479,1.6227555333340744,1.6227555333340744,0.6194249028494387,0.6194249028494387,4,0
SM_100_200cm_mm,100–200 cm,C3,April–October,1,0.11687270248950925,1.2298524269490527,1.2298524269490527,0.3065651543154774,0.3065651543154774,4,0
SM_100_200cm_mm,100–200 cm,C4,November northern,1,0.18434222803859,1.743643254347407,1.743643254347407,0.47088107557848724,0.47088107557848724,3,0
SM_10_40cm_mm,10–40 cm,C1,January eastern,0,0.08136831607888835,1.1999547570825704,1.1999547570825704,0.23940972373432087,0.23940972373432087,4,0
SM_10_40cm_mm,10–40 cm,C2,May–June southwest,0,0.20322017686101412,1.1691197474970911,1.1691197474970911,0.5077115483077148,0.5077115483077148,4,0
SM_10_40cm_mm,10–40 cm,C3,April–October,0,0.1323078308072899,1.0554403445747662,1.0554403445747662,0.3588117790170606,0.3588117790170606,4,0
SM_10_40cm_mm,10–40 cm,C4,November northern,1,0.17413841906978464,1.1786106124797802,1.1786106124797802,0.5270383819288231,0.5270383819288231,4,0
SM_40_100cm_mm,40–100 cm,C1,January eastern,0,0.10171623225461311,1.2554381554500833,1.2554381554500833,0.2879933627056802,0.2879933627056802,4,0
SM_40_100cm_mm,40–100 cm,C2,May–June southwest,0,0.1742936394702815,1.347719133166565,1.347719133166565,0.5563823206742108,0.5563823206742108,4,0
SM_40_100cm_mm,40–100 cm,C3,April–October,1,0.12896159170898414,1.2548928527904337,1.2548928527904337,0.35175944038210166,0.35175944038210166,4,0
SM_40_100cm_mm,40–100 cm,C4,November northern,1,0.19189593513980666,1.5380636891557062,1.5380636891557062,0.5587767796285628,0.5587767796285628,4,0
