target,count,minimum,q01,q05,q25,median,mean,q75,q95,q99,maximum,standard_deviation,zero_count,negative_count,skewness
runoff_mm,2064,0.41979937973150677,7.2337697361699576,23.70367570873079,59.91395586810257,118.50057847058332,136.044076462155,191.33721045692056,305.4944556084788,446.6646537384613,724.3083814282438,96.46498631494812,0,0,1.3538775794926436
surface_runoff_mm,2064,0.39641389913077263,4.912647654285584,10.81678429531005,22.903728239098253,41.46235373329895,52.31518182339139,66.37367692113125,127.61027200459644,235.66008633006751,460.2013718790822,44.92783546998875,0,0,2.9320619540409765
subsurface_runoff_mm,2064,0.023385476784499926,1.896416924163682,10.68059178321085,36.28591504064639,75.37141798181119,83.72889465245723,121.68216053062014,182.80098641693237,237.68661267075396,311.7238181115897,56.34659510067285,0,0,0.6624530947058007
