target,depth_label,l0_rmse_mm,full_l0_l3_rmse_mm,full_window_rmse_change_mm,full_window_improvement_percent,full_window_bootstrap_q025_mm,full_window_bootstrap_q975_mm,probability_full_window_better,best_observed_lag_window,best_observed_maximum_lag_months
SM_0_10cm_mm,0–10 cm,1.9422815110478961,2.1312858855554118,0.18900437450751562,-9.731049460772775,0.034706109849679936,0.317244698819197,0.0068,L0_L1,1
SM_10_40cm_mm,10–40 cm,6.603103138063286,7.215371260964856,0.6122681229015701,-9.272430099905277,0.08677381944047768,1.0498054240570076,0.0093,L0_L1,1
SM_40_100cm_mm,40–100 cm,14.388858855238787,15.580932059174293,1.1920732039355055,-8.284695929875552,0.020307880897132383,2.194847899225925,0.0229,L0_L1,1
SM_100_200cm_mm,100–200 cm,27.51705854260254,28.963748348801513,1.4466898061989717,-5.257428965233234,-0.8196692424122723,3.5682555275499515,0.12825,L0_L1,1
