component_count,best_relative_error,median_relative_error,q25_relative_error,q75_relative_error,best_explained_variance,median_explained_variance,mean_component_stability,minimum_run_stability,minimum_component_similarity,converged_fraction,median_iterations,maximum_pairwise_component_similarity,best_random_seed,relative_error_reduction_from_k3,explained_variance_gain_from_k3
3,0.05344127347635792,0.053441273479476206,0.053441273478250916,0.053441273581331175,0.9902944517230243,0.9902944517218917,0.9973791840260045,0.9887685976422999,0.9667801051575875,1.0,363.0,0.5259296385268571,20290879,,
4,0.0387533373871791,0.038753337836406554,0.03875333759681343,0.03875333831150167,0.9948963052011314,0.9948963050828077,0.9956566276331845,0.9079380094934663,0.8433008536525111,0.86,12457.5,0.7918787516730744,20300832,0.2748425455974672,0.004601853360916008
