grid_id,longitude,latitude,corrected_aet_records,minimum_raw_aet_mm,mean_raw_aet_mm
MY_0p5_7.2500_116.7500,116.75,7.25,0,64.05218416296918,108.85152114416667
MY_0p5_7.2500_117.2500,117.25,7.25,0,59.29311933015522,106.85237332773488
MY_0p5_6.7500_100.2500,100.25,6.75,0,75.08881798912498,126.37476669682397
MY_0p5_6.7500_100.7500,100.75,6.75,0,86.66099915681062,121.95491547918124
MY_0p5_6.7500_116.2500,116.25,6.75,0,78.95364733440121,118.81893676354633
MY_0p5_6.7500_116.7500,116.75,6.75,0,71.47314404875864,112.61817094646214
MY_0p5_6.7500_117.2500,117.25,6.75,0,66.31308631559389,108.7969645167288
MY_0p5_6.7500_117.7500,117.75,6.75,0,68.90351462364197,113.5128179192543
MY_0p5_6.2500_99.7500,99.75,6.25,0,68.32371875851653,125.3267399736153
MY_0p5_6.2500_100.2500,100.25,6.25,0,63.20396146190409,119.81086400393184
MY_0p5_6.2500_100.7500,100.75,6.25,0,90.21022534462476,122.11366817518552
MY_0p5_6.2500_101.2500,101.25,6.25,0,88.74143946721004,122.16265570844341
MY_0p5_6.2500_101.7500,101.75,6.25,0,87.0181908743722,121.52830305008659
MY_0p5_6.2500_102.2500,102.25,6.25,0,81.15916442871094,119.2746455722385
MY_0p5_6.2500_115.7500,115.75,6.25,0,83.32891082763672,130.74216463300917
MY_0p5_6.2500_116.2500,116.25,6.25,0,87.64947509765624,123.26943602755674
MY_0p5_6.2500_116.7500,116.75,6.25,0,81.05205046638609,115.49188949093826
MY_0p5_6.2500_117.2500,117.25,6.25,0,79.73465643988716,116.29723694298423
MY_0p5_6.2500_117.7500,117.75,6.25,0,77.39590944881327,117.567794770928
MY_0p5_6.2500_118.2500,118.25,6.25,0,77.9652862548828,120.36031462048726
MY_0p5_5.7500_100.2500,100.25,5.75,0,51.44386697471688,99.92970792574013
MY_0p5_5.7500_100.7500,100.75,5.75,0,86.30669352213542,120.37588731384278
MY_0p5_5.7500_101.2500,101.25,5.75,0,89.4520415358656,124.41489233532606
MY_0p5_5.7500_101.7500,101.75,5.75,0,95.3568667093913,125.80647622435183
MY_0p5_5.7500_102.2500,102.25,5.75,0,83.22745174831815,117.19235049924553
MY_0p5_5.7500_102.7500,102.75,5.75,0,60.50053405761719,92.40429606967503
MY_0p5_5.7500_115.2500,115.25,5.75,0,92.50828552246094,133.59598801930744
MY_0p5_5.7500_115.7500,115.75,5.75,0,88.23769872756232,124.02473199006742
MY_0p5_5.7500_116.2500,116.25,5.75,0,89.70996311732699,117.19221837637495
MY_0p5_5.7500_116.7500,116.75,5.75,0,83.91005319262307,114.60444520946953
MY_0p5_5.7500_117.2500,117.25,5.75,0,83.30841343636017,119.39416566969761
MY_0p5_5.7500_117.7500,117.75,5.75,0,83.31355162754956,119.94060930896394
MY_0p5_5.7500_118.2500,118.25,5.75,0,81.51049560546875,119.15007133389697
MY_0p5_5.7500_118.7500,118.75,5.75,0,78.58168029785156,118.86778500874837
MY_0p5_5.2500_100.2500,100.25,5.25,0,47.278411865234375,67.2009873814053
MY_0p5_5.2500_100.7500,100.75,5.25,0,93.0754939550641,126.22657431106764
MY_0p5_5.2500_101.2500,101.25,5.25,0,86.72569660005114,122.14474024474936
MY_0p5_5.2500_101.7500,101.75,5.25,0,94.31573005238916,125.56656000443749
MY_0p5_5.2500_102.2500,102.25,5.25,0,89.30971544107814,118.88488838151255
