target,depth_label,selected_alpha,feature,feature_type,component,component_label,lag_months,standardized_coefficient,bootstrap_mean_coefficient,bootstrap_median_coefficient,bootstrap_q025_coefficient,bootstrap_q975_coefficient,probability_positive,probability_negative,stable_positive_95,stable_negative_95,absolute_standardized_coefficient
SM_10_40cm_mm,10–40 cm,100.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.08210797651575473,0.08071959521099925,0.08106189966201782,0.06220260271802545,0.09657881464809179,1.0,0.0,True,False,0.08210797651575473
SM_10_40cm_mm,10–40 cm,100.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.10348812459820868,0.10129813688620926,0.10193626582622528,0.07072430253028869,0.12812863513827324,1.0,0.0,True,False,0.10348812459820868
SM_10_40cm_mm,10–40 cm,100.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.1323078308072899,0.1317748437538743,0.13156511634588242,0.10700139086693525,0.15697382129728793,1.0,0.0,True,False,0.1323078308072899
SM_10_40cm_mm,10–40 cm,100.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.12030232111017265,0.1213490235671401,0.12094474583864212,0.09745945129543543,0.1482560493052006,1.0,0.0,True,False,0.12030232111017265
SM_10_40cm_mm,10–40 cm,100.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.06020277472571552,0.06106867830827832,0.06058948673307896,0.044972225837409494,0.0795101037248969,1.0,0.0,True,False,0.06020277472571552
SM_10_40cm_mm,10–40 cm,100.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.045998852373882536,0.04492842175590049,0.04529361240565777,0.016144001949578525,0.07165312450379133,0.9984,0.0016,True,False,0.045998852373882536
SM_10_40cm_mm,10–40 cm,100.0,K4_C4_L0_mm,precipitation_component,C4,November northern,0.0,0.16689621290697546,0.16554354612827302,0.1660982221364975,0.13279353082180023,0.1958641607314348,1.0,0.0,True,False,0.16689621290697546
SM_10_40cm_mm,10–40 cm,100.0,K4_C4_L1_mm,precipitation_component,C4,November northern,1.0,0.17413841906978464,0.1724502271786332,0.1728139892220497,0.14128598980605603,0.2012986186891794,1.0,0.0,True,False,0.17413841906978464
SM_10_40cm_mm,10–40 cm,100.0,K4_C4_L2_mm,precipitation_component,C4,November northern,2.0,0.11097663880049101,0.11011125932112337,0.11058592796325684,0.08820752445608378,0.1301417179405689,1.0,0.0,True,False,0.11097663880049101
SM_10_40cm_mm,10–40 cm,100.0,K4_C4_L3_mm,precipitation_component,C4,November northern,3.0,0.07502711115157197,0.07266262609735132,0.07274839282035828,0.04832847788929939,0.09566129110753535,1.0,0.0,True,False,0.07502711115157197
SM_10_40cm_mm,10–40 cm,100.0,PET_mm,atmospheric,,,,-0.2540651815037027,-0.25245242848098276,-0.25188328325748444,-0.30799848660826684,-0.20053327791392805,0.0,1.0,False,True,0.2540651815037027
SM_10_40cm_mm,10–40 cm,100.0,latitude,spatial,,,,-0.07254315236983473,-0.07236579275772966,-0.07413710281252861,-0.15141638182103634,0.014830332878045645,0.0538,0.9462,False,False,0.07254315236983473
SM_10_40cm_mm,10–40 cm,100.0,longitude,spatial,,,,-0.12718009299795804,-0.12477474062562105,-0.12524134665727615,-0.21016430109739304,-0.03846163889393226,0.0032,0.9968,False,True,0.12718009299795804
SM_40_100cm_mm,40–100 cm,100.0,K4_C1_L0_mm,precipitation_component,C1,January eastern,0.0,0.10171623225461311,0.10227160094156862,0.10212815552949905,0.07693708166480065,0.129083052650094,1.0,0.0,True,False,0.10171623225461311
SM_40_100cm_mm,40–100 cm,100.0,K4_C1_L1_mm,precipitation_component,C1,January eastern,1.0,0.06641977660732999,0.06607244277596473,0.06643820181488991,0.04693301310762763,0.08251102007925509,1.0,0.0,True,False,0.06641977660732999
SM_40_100cm_mm,40–100 cm,100.0,K4_C1_L2_mm,precipitation_component,C1,January eastern,2.0,0.06443398208145533,0.06447594475373626,0.06450186669826508,0.04959771605208516,0.0792593363672495,1.0,0.0,True,False,0.06443398208145533
SM_40_100cm_mm,40–100 cm,100.0,K4_C1_L3_mm,precipitation_component,C1,January eastern,3.0,0.05542337176228177,0.055465636564791206,0.05523068457841873,0.03350319778546691,0.07810637969523668,1.0,0.0,True,False,0.05542337176228177
SM_40_100cm_mm,40–100 cm,100.0,K4_C2_L0_mm,precipitation_component,C2,May–June southwest,0.0,0.1742936394702815,0.1695515853844583,0.17042163014411926,0.12630978375673294,0.20861777812242507,1.0,0.0,True,False,0.1742936394702815
SM_40_100cm_mm,40–100 cm,100.0,K4_C2_L1_mm,precipitation_component,C2,May–June southwest,1.0,0.13788619621977452,0.13543865564092994,0.13578172773122787,0.11249709371477365,0.15547023676335808,1.0,0.0,True,False,0.13788619621977452
SM_40_100cm_mm,40–100 cm,100.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.12064655224398975,0.11903417077213525,0.1190950945019722,0.10092636495828629,0.13711577132344246,1.0,0.0,True,False,0.12064655224398975
SM_40_100cm_mm,40–100 cm,100.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.12355593274016506,0.12126177499443293,0.12164127826690674,0.08772833235561847,0.1516951374709606,1.0,0.0,True,False,0.12355593274016506
SM_40_100cm_mm,40–100 cm,100.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.09470692624201066,0.09354260610565543,0.09424114599823952,0.05706774601712823,0.1253175426274538,1.0,0.0,True,False,0.09470692624201066
SM_40_100cm_mm,40–100 cm,100.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.12896159170898414,0.12971412043869496,0.12950611114501953,0.10942515190690756,0.15160865187644956,1.0,0.0,True,False,0.12896159170898414
SM_40_100cm_mm,40–100 cm,100.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.07181395136524263,0.07291704275459052,0.07273223251104355,0.05257681543007493,0.0955615662038326,1.0,0.0,True,False,0.07181395136524263
SM_40_100cm_mm,40–100 cm,100.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.05627697106586421,0.05571409997991286,0.0560198612511158,0.027828871132805945,0.08141070399433374,1.0,0.0,True,False,0.05627697106586421
SM_40_100cm_mm,40–100 cm,100.0,K4_C4_L0_mm,precipitation_component,C4,November northern,0.0,0.09803553952877224,0.09720583750084043,0.0973580852150917,0.06961135603487492,0.12374421283602714,1.0,0.0,True,False,0.09803553952877224
SM_40_100cm_mm,40–100 cm,100.0,K4_C4_L1_mm,precipitation_component,C4,November northern,1.0,0.19189593513980666,0.18943070021718741,0.18953638523817062,0.15519827045500278,0.2229664374142885,1.0,0.0,True,False,0.19189593513980666
SM_40_100cm_mm,40–100 cm,100.0,K4_C4_L2_mm,precipitation_component,C4,November northern,2.0,0.1389975749297058,0.13755541609078645,0.13763440400362015,0.11603019982576371,0.159028847143054,1.0,0.0,True,False,0.1389975749297058
SM_40_100cm_mm,40–100 cm,100.0,K4_C4_L3_mm,precipitation_component,C4,November northern,3.0,0.12984773003027802,0.12764918435066938,0.12764118611812592,0.106825977191329,0.1494138792157173,1.0,0.0,True,False,0.12984773003027802
SM_40_100cm_mm,40–100 cm,100.0,PET_mm,atmospheric,,,,-0.21732569281748906,-0.21599298889636995,-0.21553073823451996,-0.2661996506154537,-0.16787652485072613,0.0,1.0,False,True,0.21732569281748906
SM_40_100cm_mm,40–100 cm,100.0,latitude,spatial,,,,-0.06619446590786152,-0.06589204707112876,-0.06932148709893227,-0.1493162762373686,0.03339643273502588,0.0926,0.9074,False,False,0.06619446590786152
SM_40_100cm_mm,40–100 cm,100.0,longitude,spatial,,,,-0.15734662915863182,-0.15607794678425416,-0.15603803098201752,-0.24527995400130748,-0.06977867856621754,0.0002,0.9998,False,True,0.15734662915863182
SM_100_200cm_mm,100–200 cm,100.0,K4_C1_L0_mm,precipitation_component,C1,January eastern,0.0,0.10718589077637417,0.10245565318018197,0.10273580625653267,0.06812402456998826,0.13535969927906988,1.0,0.0,True,False,0.10718589077637417
SM_100_200cm_mm,100–200 cm,100.0,K4_C1_L1_mm,precipitation_component,C1,January eastern,1.0,0.10463644624740692,0.10123498800173401,0.10092565044760704,0.07102234121412039,0.13189093731343746,1.0,0.0,True,False,0.10463644624740692
SM_100_200cm_mm,100–200 cm,100.0,K4_C1_L2_mm,precipitation_component,C1,January eastern,2.0,0.09091090349433129,0.08818909755907953,0.08803658187389374,0.0643985515460372,0.11318749133497476,1.0,0.0,True,False,0.09091090349433129
SM_100_200cm_mm,100–200 cm,100.0,K4_C1_L3_mm,precipitation_component,C1,January eastern,3.0,0.10391244344907646,0.0984415231667459,0.09915678203105927,0.057673914544284346,0.13633478730916976,1.0,0.0,True,False,0.10391244344907646
SM_100_200cm_mm,100–200 cm,100.0,K4_C2_L0_mm,precipitation_component,C2,May–June southwest,0.0,0.12010596756669571,0.11587826596793566,0.11705575883388519,0.04341912996023893,0.18212253004312515,0.9996,0.0004,True,False,0.12010596756669571
SM_100_200cm_mm,100–200 cm,100.0,K4_C2_L1_mm,precipitation_component,C2,May–June southwest,1.0,0.16515872016078562,0.16001127166897058,0.16105220466852188,0.1103788398206234,0.20377725288271903,1.0,0.0,True,False,0.16515872016078562
SM_100_200cm_mm,100–200 cm,100.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.16246417694280949,0.1588532622665167,0.1595705971121788,0.11810552310198545,0.1974777318537235,1.0,0.0,True,False,0.16246417694280949
