region_id,component,component_label,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,annual_component_contribution_mm,reconstructed_annual_precipitation_mm,annual_component_fraction
SLR_00_02,K4_C1,January eastern mode,1,80.55000000000001,5.949999999999989,2,0,True,167.7315877544205,2272.8241321003466,0.0737987534475083
SLR_00_02,K4_C2,May–June southwest mode,1,80.55000000000001,5.949999999999989,2,0,True,1236.6156516557091,2272.8241321003466,0.5440876987314176
SLR_00_02,K4_C3,April–October mode,1,80.55000000000001,5.949999999999989,2,0,True,250.3531399385079,2272.8241321003466,0.11015068715728273
SLR_00_02,K4_C4,November northern mode,1,80.55000000000001,5.949999999999989,2,0,True,618.1237527517088,2272.8241321003466,0.2719628606637913
SLR_01_01,K4_C1,January eastern mode,22,80.27272727272728,6.272727272727267,1,1,False,146.69482861719274,2604.6444253040127,0.056320481671915966
SLR_01_01,K4_C2,May–June southwest mode,22,80.27272727272728,6.272727272727267,1,1,False,1451.4648461663087,2604.6444253040127,0.5572602663401529
SLR_01_01,K4_C3,April–October mode,22,80.27272727272728,6.272727272727267,1,1,False,361.04978082949975,2604.6444253040127,0.13861768513272527
SLR_01_01,K4_C4,November northern mode,22,80.27272727272728,6.272727272727267,1,1,False,645.4349696910114,2604.6444253040127,0.2478015668552058
SLR_01_02,K4_C1,January eastern mode,24,80.74166666666667,6.258333333333328,2,1,False,231.54122398637966,2322.776000026386,0.09968297588047638
SLR_01_02,K4_C2,May–June southwest mode,24,80.74166666666667,6.258333333333328,2,1,False,1162.9400122629884,2322.776000026386,0.500668171295802
SLR_01_02,K4_C3,April–October mode,24,80.74166666666667,6.258333333333328,2,1,False,344.8730783644281,2322.776000026386,0.14847453149184875
SLR_01_02,K4_C4,November northern mode,24,80.74166666666667,6.258333333333328,2,1,False,583.4216854125901,2322.776000026386,0.251174321331873
SLR_01_03,K4_C1,January eastern mode,16,81.21875000000001,6.331249999999994,3,1,False,333.21095057993625,1811.8661651441646,0.18390483634503085
SLR_01_03,K4_C2,May–June southwest mode,16,81.21875000000001,6.331249999999994,3,1,False,618.7714627975711,1811.8661651441646,0.3415105788171376
SLR_01_03,K4_C3,April–October mode,16,81.21875000000001,6.331249999999994,3,1,False,367.97505623929226,1811.8661651441646,0.20309174227005536
SLR_01_03,K4_C4,November northern mode,16,81.21875000000001,6.331249999999994,3,1,False,491.90869552736496,1811.8661651441646,0.2714928425677761
SLR_01_04,K4_C1,January eastern mode,2,81.60000000000002,6.449999999999989,4,1,True,398.31162358883824,1446.372842665563,0.27538654753416003
SLR_01_04,K4_C2,May–June southwest mode,2,81.60000000000002,6.449999999999989,4,1,True,242.61491151247986,1446.372842665563,0.16774022876795566
SLR_01_04,K4_C3,April–October mode,2,81.60000000000002,6.449999999999989,4,1,True,374.4871628418175,1446.372842665563,0.25891468077599145
SLR_01_04,K4_C4,November northern mode,2,81.60000000000002,6.449999999999989,4,1,True,430.9591447224273,1446.372842665563,0.29795854292189283
SLR_02_00,K4_C1,January eastern mode,4,79.94999999999999,6.799999999999994,0,2,False,48.020779758662705,2600.797042683918,0.018463870486836294
SLR_02_00,K4_C2,May–June southwest mode,4,79.94999999999999,6.799999999999994,0,2,False,1437.6652030446808,2600.797042683918,0.5527786980106176
SLR_02_00,K4_C3,April–October mode,4,79.94999999999999,6.799999999999994,0,2,False,477.83374363684777,2600.797042683918,0.18372588702413417
SLR_02_00,K4_C4,November northern mode,4,79.94999999999999,6.799999999999994,0,2,False,637.2773162437267,2600.797042683918,0.24503154447841194
SLR_02_01,K4_C1,January eastern mode,25,80.25000000000001,6.749999999999995,1,2,False,125.55257021363313,2641.5227065752442,0.04753037704393352
SLR_02_01,K4_C2,May–June southwest mode,25,80.25000000000001,6.749999999999995,1,2,False,1435.5603429096427,2641.5227065752442,0.5434593991322749
