configuration,model_family,lambda_precipitation,lambda_pet,seed_count,median_pooled_test_rmse_mm,mean_pooled_test_rmse_mm,std_pooled_test_rmse_mm,q25_pooled_test_rmse_mm,q75_pooled_test_rmse_mm,median_pooled_test_mae_mm,median_pooled_test_r_squared,median_pooled_core_test_rmse_mm,median_pooled_core_test_r_squared,median_pooled_test_p_violation,median_pooled_test_pet_violation
Mean,Mean,0.0,0.0,1,133.30601661184937,133.30601661184937,0.0,133.30601661184937,133.30601661184937,113.99673115123402,-0.17509844538104757,134.55958742542387,-0.18633875276127077,,
Ridge,Ridge,0.0,0.0,1,58.5086817446907,58.5086817446907,0.0,58.5086817446907,58.5086817446907,47.08154612839824,0.7736318218599469,53.48498259149593,0.8125682582070738,0.0,0.24242424242424243
MLP,MLP,0.0,0.0,5,56.89305843608278,58.12904432766898,4.215438314685823,55.62378138692294,59.99739504025992,46.569697601626615,0.7859608038194458,54.919214597639545,0.8023812904640831,0.05618686868686869,0.45202020202020204
PINN_P_lambda10,PINN_P,10.0,0.0,5,57.898467308140106,58.03688285206378,4.194076368661019,55.54290693599999,59.77893492535124,46.16337685633187,0.778328998368914,53.909791028847025,0.8095790531775587,0.045454545454545456,0.44696969696969696
PINN_P_PET_lambda1,PINN_P_PET,1.0,1.0,5,56.653469080048346,58.62157998943826,5.17382776317529,54.89882019407144,60.25312556884662,46.49468840011443,0.7877597415331817,52.94042266802049,0.8163655188908392,0.06549873737373738,0.12878787878787878
PINN_P_PET_lambda10,PINN_P_PET,10.0,10.0,5,60.92676846085436,60.101785970728564,5.370328782097653,55.05875567040729,62.05369195285252,49.159271240234375,0.7545341744274473,54.95161454731087,0.8021480487840064,0.05381944444444445,0.020202020202020204
