alpha_policy,target,depth_label,selected_alpha,feature,feature_type,component,component_label,lag_months,standardized_coefficient,bootstrap_mean_coefficient,bootstrap_median_coefficient,bootstrap_q025_coefficient,bootstrap_q975_coefficient,probability_positive,probability_negative,stable_positive_95,stable_negative_95,absolute_standardized_coefficient
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C1_L0_mm,precipitation_component,C1,January eastern,0.0,0.12860412853414321,0.13197555896155536,0.13199950009584427,0.0720381686463952,0.19164402335882186,0.9998,0.0002,True,False,0.12860412853414321
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C1_L1_mm,precipitation_component,C1,January eastern,1.0,0.07746858104607615,0.08081896115615964,0.07879622280597687,0.04893370689824224,0.12303997147828338,1.0,0.0,True,False,0.07746858104607615
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C1_L2_mm,precipitation_component,C1,January eastern,2.0,0.07772989449716168,0.0800211176790297,0.07990892603993416,0.059660023730248216,0.10052641443908213,1.0,0.0,True,False,0.07772989449716168
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C1_L3_mm,precipitation_component,C1,January eastern,3.0,0.07357761853712136,0.07599861365333199,0.07473045960068703,0.03565080631524324,0.12471066322177647,1.0,0.0,True,False,0.07357761853712136
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C2_L0_mm,precipitation_component,C2,May–June southwest,0.0,0.32878806031066543,0.32433345628976823,0.32565055787563324,0.24044543653726577,0.40294186770915985,1.0,0.0,True,False,0.32878806031066543
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C2_L1_mm,precipitation_component,C2,May–June southwest,1.0,0.10833029614798377,0.11107935242950916,0.10991362109780312,0.061738824006170034,0.16580120660364625,1.0,0.0,True,False,0.10833029614798377
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C2_L2_mm,precipitation_component,C2,May–June southwest,2.0,0.08741318406777465,0.08577853322848678,0.085911113768816,0.04620235590264201,0.1253501854836941,1.0,0.0,True,False,0.08741318406777465
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C2_L3_mm,precipitation_component,C2,May–June southwest,3.0,0.12976794306062475,0.1286732253914699,0.12841329723596573,0.06509955357760192,0.19311117902398106,0.9998,0.0002,True,False,0.12976794306062475
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C3_L0_mm,precipitation_component,C3,April–October,0.0,0.169081586003005,0.16760179455280305,0.16777341067790985,0.11205939147621394,0.2217346310615539,1.0,0.0,True,False,0.169081586003005
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C3_L1_mm,precipitation_component,C3,April–October,1.0,0.1046680307936138,0.10700460780411959,0.10597007721662521,0.06203769659623504,0.16013360358774661,1.0,0.0,True,False,0.1046680307936138
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C3_L2_mm,precipitation_component,C3,April–October,2.0,0.05304257468330409,0.05412036786675453,0.053741319105029106,0.027732250234112143,0.08301580268889663,1.0,0.0,True,False,0.05304257468330409
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C3_L3_mm,precipitation_component,C3,April–October,3.0,0.07092359880373351,0.06978591595374892,0.07070543244481087,0.014832898927852512,0.1200992641970515,0.9928,0.0072,True,False,0.07092359880373351
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C4_L0_mm,precipitation_component,C4,November northern,0.0,0.25017265250190485,0.25099364184737205,0.25026935338974,0.16656812615692615,0.34133909866213796,1.0,0.0,True,False,0.25017265250190485
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C4_L1_mm,precipitation_component,C4,November northern,1.0,0.22112264010580046,0.21871124311834575,0.22004414349794388,0.1649893268942833,0.26750205010175704,1.0,0.0,True,False,0.22112264010580046
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C4_L2_mm,precipitation_component,C4,November northern,2.0,0.10710655547852947,0.10714006832586602,0.10707071796059608,0.06019000252708793,0.15134341903030873,0.9998,0.0002,True,False,0.10710655547852947
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,K4_C4_L3_mm,precipitation_component,C4,November northern,3.0,0.11526440501271436,0.11068739599399269,0.11058154702186584,0.057768638152629136,0.16301465220749373,1.0,0.0,True,False,0.11526440501271436
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,PET_mm,atmospheric,,,,-0.21260115767167928,-0.20851356968698093,-0.21105538308620453,-0.34203424751758577,-0.06419481504708531,0.0012,0.9988,False,True,0.21260115767167928
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,latitude,spatial,,,,-0.043988612235727184,-0.04156210928481887,-0.04791671223938465,-0.19536983966827393,0.1520387195050716,0.2928,0.7072,False,False,0.043988612235727184
minimum_geographic_cv_rmse,SM_10_40cm_mm,10–40 cm,10.0,longitude,spatial,,,,-0.17702852309783337,-0.1823762576720561,-0.18208309262990952,-0.32086607366800307,-0.04427689397707601,0.0044,0.9956,False,True,0.17702852309783337
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C1_L0_mm,precipitation_component,C1,January eastern,0.0,0.16492223973273132,0.16961884222626686,0.16783259063959122,0.1130156060680747,0.2354405641555786,1.0,0.0,True,False,0.16492223973273132
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C1_L1_mm,precipitation_component,C1,January eastern,1.0,0.07840394583039939,0.07977506849023047,0.07978003472089767,0.04231080217286944,0.11561148129403591,0.9996,0.0004,True,False,0.07840394583039939
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C1_L2_mm,precipitation_component,C1,January eastern,2.0,0.07523797027994437,0.07762407218515872,0.07667969912290573,0.057475881185382605,0.1024210704490542,1.0,0.0,True,False,0.07523797027994437
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C1_L3_mm,precipitation_component,C1,January eastern,3.0,0.11326915648100286,0.11634273545891047,0.1151098795235157,0.08428882136940956,0.15547030754387375,1.0,0.0,True,False,0.11326915648100286
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C2_L0_mm,precipitation_component,C2,May–June southwest,0.0,0.2534516991688366,0.24953394068926574,0.2502157986164093,0.15770405605435373,0.33445935249328607,1.0,0.0,True,False,0.2534516991688366
minimum_geographic_cv_rmse,SM_40_100cm_mm,40–100 cm,10.0,K4_C2_L1_mm,precipitation_component,C2,May–June southwest,1.0,0.19369731097504972,0.1955359997242689,0.1946135014295578,0.15095825381577016,0.24730352088809013,1.0,0.0,True,False,0.19369731097504972
