target,depth_label,configuration,test_fold,test_region_count,test_sample_count,ensemble_fold_rmse_mm,ensemble_fold_r_squared
SM_40_100cm_mm,40–100 cm,Mean,0,6,72,62.72353117347027,-6.4748051193405765
SM_40_100cm_mm,40–100 cm,Mean,1,7,84,41.026541746548745,-0.0013857860734702854
SM_40_100cm_mm,40–100 cm,Mean,2,6,72,36.091250549942515,-0.07369597208537271
SM_40_100cm_mm,40–100 cm,Mean,3,6,72,53.99104288395773,-0.5526262848761323
SM_40_100cm_mm,40–100 cm,Mean,4,8,96,50.00948062747143,-0.3293231738773541
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,0,6,72,22.425580823381903,0.04450971760219713
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,1,7,84,22.504413984785405,0.6986945283758265
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,2,6,72,15.553788645839782,0.8005886611641081
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,3,6,72,13.635255687105872,0.9009738091079785
SM_40_100cm_mm,40–100 cm,PINN_P_lambda10,4,8,96,20.163219443624772,0.7839045409695474
SM_40_100cm_mm,40–100 cm,Ridge,0,6,72,20.281728875099212,0.21846430211028445
SM_40_100cm_mm,40–100 cm,Ridge,1,7,84,20.301584491721382,0.75479378621448
SM_40_100cm_mm,40–100 cm,Ridge,2,6,72,13.843018093561666,0.8420429420962512
SM_40_100cm_mm,40–100 cm,Ridge,3,6,72,17.08974068410582,0.844441249065922
SM_40_100cm_mm,40–100 cm,Ridge,4,8,96,18.950336552529752,0.8091203007682609
