target,depth_label,lag_window,test_fold,validation_fold,alpha,validation_rmse_mm,validation_r_squared,selected_alpha
SM_0_10cm_mm,0–10 cm,L0,4,0,1000.0,0.8612023032812405,-4.22438741546362,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,0.0,1.3449692543050489,0.3682977936803524,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,0.0001,1.3449691604282137,0.36829788186408097,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,0.001,1.3449683155424264,0.36829867551197937,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,0.01,1.3449598672515406,0.3683066114309438,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,0.1,1.3448754409968622,0.36838591466419146,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,1.0,1.3440367997650748,0.3691733964535523,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,10.0,1.3361724142052325,0.3765341312998536,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,30.0,1.3214870736147097,0.3901633525030096,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,100.0,1.2886300680796237,0.42011189285465644,False
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,300.0,1.2572201517097832,0.4480365152930895,True
SM_0_10cm_mm,0–10 cm,L0_L1,0,1,1000.0,1.278298902507807,0.4293727429393408,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,0.0,1.2156300043806894,-3.7935661638363776,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,0.0001,1.2156298470104268,-3.7935649227273,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,0.001,1.2156284306844705,-3.793553752803356,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,0.01,1.2156142680590531,-3.7934420592808378,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,0.1,1.2154727051681242,-3.792325695279506,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,1.0,1.2140633616018046,-3.781218711636752,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,10.0,1.2005521943906234,-3.675391642791374,False
SM_0_10cm_mm,0–10 cm,L0_L1,1,2,30.0,1.1736228697304782,-3.4679986370227214,False
