region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight,C5_scaled_loading,C5_raw_weight,C6_scaled_loading,C6_raw_weight,C7_scaled_loading,C7_raw_weight
MYS_00_21,1,110.25,0.75,21,0,True,477.4164978869493,4.894876490226749,396.4817712110351,8.479143708494822,226.92388928723685,2.5488319693019044,156.0536958521138,4.265307254632503,799.4852838516514,8.24592028186142,810.5972196505944,11.727981321863204,631.4436594705719,11.301222188653062
MYS_00_22,1,110.75,0.75,22,0,True,684.4135818466737,7.017185133318249,303.1406976558618,6.4829551468819,168.7659856839824,1.8955965411715496,258.78664579234044,7.073235604404497,831.4071175894499,8.575163235508535,694.6502464884712,10.050423217040068,693.7701603811506,12.416706720752579
MYS_00_24,1,111.75,0.75,24,0,True,916.743753460721,9.399229951704978,193.0290145296024,4.128110982520953,184.90813295344057,2.076906764360504,388.49358484113293,10.61842525903001,828.1459227188069,8.541527153056357,535.0528863941287,7.7413172728919495,722.3388869404533,12.9280136626328
MYS_01_07,1,103.25,1.25,7,1,True,559.5423566754937,5.736900042414338,336.9670808337355,7.206364859332811,79.76387276411901,0.8959158488561597,196.0696243410588,5.359034828034544,479.9669758074667,4.950396837034043,774.9403496918075,11.21208625741552,71.25220575661317,1.275231759175876
MYS_01_08,1,103.75,1.25,8,1,True,520.1673697903865,5.333194476184541,403.185119011209,8.622501243324447,97.75641164567897,1.098009856914424,182.40069303864325,4.985431424866719,392.5979874704794,4.0492699151439355,875.7405894594107,12.670496551178134,43.405849132227914,0.7768533866374545
MYS_01_09,1,104.25,1.25,9,1,True,537.2753335813319,5.508599746271749,490.2173354986081,10.48376883353781,149.60033810573546,1.680326058133178,144.295797045602,3.9439367750369674,273.4200579389556,2.8200644174019733,866.0549208063297,12.530361181478677,15.456864449217205,0.2766382350358165
MYS_01_20,1,109.75,1.25,20,1,True,156.5806775367489,1.6053971337201236,531.4756895171064,11.366118384767482,332.826188996486,3.738337261007249,13.597422173783386,0.37164889383395877,676.4684872130589,6.977120569220285,1066.540937693223,15.431057364914581,550.0772219764823,9.844971618980958
MYS_01_21,1,110.25,1.25,21,1,True,416.4362577151851,4.269655649920072,414.52916002031975,8.865104462275744,250.9623809685719,2.818834727863961,133.33664574103545,3.6443979060038325,781.3657022203834,8.059034258203427,872.7177551122531,12.626761211476586,638.550833843717,11.428422383824483
MYS_01_22,1,110.75,1.25,22,1,True,625.8432339413907,6.416672540530014,316.22421441210076,6.762758726375097,191.72095554205166,2.1534290735346344,239.67228180260867,6.550795972661645,820.6615643274324,8.464333208523907,748.0621027359095,10.823203134427414,698.2933230137915,12.497659732379532
MYS_01_23,1,111.25,1.25,23,1,True,787.0473830167417,8.069473402939243,233.4718325732524,4.9930195131734,161.4204730149376,1.8130910033871392,334.2247657227284,9.135133327864034,815.1162300909183,8.40713842961531,648.8085935026061,9.387171435577871,698.4367333219318,12.500226409124366
