region_id,month,precipitation_mm
SLR_00_02,1,128.341793
SLR_01_01,1,132.84059528681226
SLR_01_02,1,141.65971445945505
SLR_01_03,1,148.98709672488965
SLR_01_04,1,152.7766861
SLR_02_00,1,114.57209559051176
SLR_02_01,1,129.4786124291277
SLR_02_02,1,148.4821504516929
SLR_02_03,1,164.38976870523268
SLR_02_04,1,174.43116730082863
SLR_03_00,1,96.933933693693
SLR_03_01,1,113.7857262851265
SLR_03_02,1,146.97898679430648
SLR_03_03,1,189.98205429126216
SLR_03_04,1,210.65978920645077
SLR_04_00,1,86.58643665838622
SLR_04_01,1,102.4972578686226
SLR_04_02,1,138.54067035373114
SLR_04_03,1,187.89775046388976
SLR_04_04,1,219.1467322969259
SLR_05_00,1,81.95577511858555
SLR_05_01,1,95.61482760749772
SLR_05_02,1,123.16465135281008
SLR_05_03,1,156.1402056828758
SLR_06_00,1,79.69008595495123
SLR_06_01,1,89.77941963089873
SLR_06_02,1,112.14973801033314
SLR_06_03,1,131.6268644017383
SLR_07_00,1,74.53526863333333
SLR_07_01,1,86.72751549990252
SLR_07_02,1,101.6702090023522
SLR_08_00,1,68.3575527
SLR_08_01,1,78.58027549772223
SLR_00_02,2,91.58652023333336
SLR_01_01,2,105.259826664505
SLR_01_02,2,102.79561659191936
SLR_01_03,2,92.4266821603046
SLR_01_04,2,83.95398216666668
SLR_02_00,2,98.97037592112623
SLR_02_01,2,108.43243032818978
SLR_02_02,2,110.26965179427398
SLR_02_03,2,99.95565694415752
SLR_02_04,2,95.95567572055066
SLR_03_00,2,87.56215720824959
SLR_03_01,2,98.18889499239847
SLR_03_02,2,108.28710591693688
SLR_03_03,2,113.75667862882364
SLR_03_04,2,116.0348856033186
SLR_04_00,2,72.42958500410971
SLR_04_01,2,80.60399322157359
SLR_04_02,2,92.12263727501184
SLR_04_03,2,103.48219851911182
SLR_04_04,2,115.62469050431528
SLR_05_00,2,53.20555415795982
SLR_05_01,2,55.67502633514403
SLR_05_02,2,61.771031262837695
SLR_05_03,2,69.24841328435527
SLR_06_00,2,40.25882086062207
SLR_06_01,2,40.779912251832805
SLR_06_02,2,43.515443232629046
SLR_06_03,2,47.41556347583806
SLR_07_00,2,36.162069136666666
SLR_07_01,2,36.30408561946115
SLR_07_02,2,37.98947353817128
SLR_08_00,2,28.809482796666664
SLR_08_01,2,31.95370224384946
SLR_00_02,3,123.85404146666666
SLR_01_01,3,146.57292989075466
SLR_01_02,3,137.7728916352343
SLR_01_03,3,115.17513508125332
SLR_01_04,3,97.7975334
SLR_02_00,3,141.96217560188964
SLR_02_01,3,151.65144551625775
SLR_02_02,3,143.45465187730534
SLR_02_03,3,113.37134207706126
SLR_02_04,3,98.38646320082836
SLR_03_00,3,126.9722151665858
SLR_03_01,3,135.93910886843491
SLR_03_02,3,131.33489942933866
SLR_03_03,3,110.04107747240909
SLR_03_04,3,99.37176165272524
SLR_04_00,3,102.18818163516204
SLR_04_01,3,108.3991604963589
SLR_04_02,3,105.35004074331414
SLR_04_03,3,90.37897435076204
SLR_04_04,3,88.9491394251854
SLR_05_00,3,67.81420856210813
SLR_05_01,3,69.02725056965855
SLR_05_02,3,65.49497769851993
SLR_05_03,3,55.8823241891594
SLR_06_00,3,43.56463958255168
SLR_06_01,3,43.36201357072851
SLR_06_02,3,40.507147144607885
SLR_06_03,3,36.84409421606585
SLR_07_00,3,34.84724588
SLR_07_01,3,31.856611357871163
SLR_07_02,3,32.176189078886395
SLR_08_00,3,22.81415297
SLR_08_01,3,24.59977309302498
SLR_00_02,4,186.67862366666668
SLR_01_01,4,232.6893920520436
SLR_01_02,4,206.7044269450696
SLR_01_03,4,173.5294414022419
SLR_01_04,4,148.06020073333332
SLR_02_00,4,254.29534019892583
SLR_02_01,4,251.53538411688297
SLR_02_02,4,223.28057886588056
SLR_02_03,4,173.9158204210884
SLR_02_04,4,149.358614560494
SLR_03_00,4,239.32137995711227
SLR_03_01,4,243.58892375225017
SLR_03_02,4,222.4813942909229
SLR_03_03,4,175.21399549962683
SLR_03_04,4,151.53090032927068
SLR_04_00,4,201.7522409745372
SLR_04_01,4,209.63084399396328
SLR_04_02,4,194.46858729258605
SLR_04_03,4,152.88892651868707
SLR_04_04,4,139.4424327001952
SLR_05_00,4,144.42816116953745
SLR_05_01,4,149.65158046202995
SLR_05_02,4,139.23215076538926
SLR_05_03,4,110.19738666040462
SLR_06_00,4,103.91058615929538
SLR_06_01,4,108.15116920372536
SLR_06_02,4,102.7253027216398
SLR_06_03,4,89.83677409054434
SLR_07_00,4,86.54699763333333
SLR_07_01,4,86.66586019719483
SLR_07_02,4,88.56976920412207
SLR_08_00,4,64.00667606666667
SLR_08_01,4,70.86456601240965
SLR_00_02,5,281.04631613333333
SLR_01_01,5,328.2407173437487
SLR_01_02,5,278.48821991364724
SLR_01_03,5,181.36809913812783
SLR_01_04,5,113.13785443333332
SLR_02_00,5,314.376258136821
SLR_02_01,5,318.27592513932785
SLR_02_02,5,265.56237871115457
SLR_02_03,5,164.68838220243563
SLR_02_04,5,114.37018620132515
SLR_03_00,5,251.93202892613635
SLR_03_01,5,253.4460102419156
SLR_03_02,5,218.41219033202984
SLR_03_03,5,150.4565957731546
SLR_03_04,5,116.43191624885635
SLR_04_00,5,177.82904985053645
SLR_04_01,5,179.8735970628789
SLR_04_02,5,161.3547968660377
SLR_04_03,5,121.3964150098165
SLR_04_04,5,107.16803224702348
SLR_05_00,5,94.21865619823684
SLR_05_01,5,97.55546897596436
SLR_05_02,5,94.38655503643412
SLR_05_03,5,79.44903435478072
SLR_06_00,5,43.80582350033015
SLR_06_01,5,47.967935898546536
SLR_06_02,5,51.649668989256206
SLR_06_03,5,52.92581988390338
SLR_07_00,5,36.531201333333335
SLR_07_01,5,31.08838692721819
SLR_07_02,5,34.041708890299624
SLR_08_00,5,33.71781623333333
SLR_08_01,5,25.97197680057664
SLR_00_02,6,213.86592646666665
SLR_01_01,6,244.56832915222236
SLR_01_02,6,198.3573745299392
SLR_01_03,6,103.34139903448528
SLR_01_04,6,37.93521828333333
SLR_02_00,6,240.5814630771762
SLR_02_01,6,244.82414634022095
SLR_02_02,6,195.8946037250917
SLR_02_03,6,96.96719527273896
SLR_02_04,6,48.52432871849362
SLR_03_00,6,204.9334768962165
SLR_03_01,6,218.3201496495329
SLR_03_02,6,186.7400412366445
SLR_03_03,6,106.6754021277665
SLR_03_04,6,66.24024157906709
SLR_04_00,6,141.3477713461506
SLR_04_01,6,154.5051922130768
SLR_04_02,6,137.63217150177778
SLR_04_03,6,85.08981535649214
SLR_04_04,6,65.00336949563126
SLR_05_00,6,52.788319889291415
SLR_05_01,6,53.36555569314553
SLR_05_02,6,48.55630319410669
SLR_05_03,6,34.17693861759665
SLR_06_00,6,2.148952652907517
SLR_06_01,6,2.353147329214126
SLR_06_02,6,3.277741072609691
SLR_06_03,6,4.545148421372264
SLR_07_00,6,1.7615431688333334
SLR_07_01,6,1.4892762259568977
SLR_07_02,6,1.849178153648771
SLR_08_00,6,5.571618336666666
SLR_08_01,6,2.8680626499297848
SLR_00_02,7,124.83269873333332
SLR_01_01,7,151.35516705868426
SLR_01_02,7,122.9571303727653
SLR_01_03,7,71.75983327315595
SLR_01_04,7,35.8464997
SLR_02_00,7,153.6003906888574
SLR_02_01,7,156.2415895247332
SLR_02_02,7,128.73866575122048
SLR_02_03,7,73.60506552424222
SLR_02_04,7,47.12562348420423
SLR_03_00,7,127.58158445702212
SLR_03_01,7,141.61777958244838
SLR_03_02,7,129.7510449476283
SLR_03_03,7,87.53370912351303
SLR_03_04,7,65.99594983452663
SLR_04_00,7,89.33147455027365
SLR_04_01,7,106.44005913094044
SLR_04_02,7,106.91671905978464
SLR_04_03,7,83.42920455325799
SLR_04_04,7,73.4399170361247
SLR_05_00,7,40.55221298172633
SLR_05_01,7,50.70086995334021
SLR_05_02,7,60.22691990818051
SLR_05_03,7,61.439160639801294
SLR_06_00,7,11.474730366536669
SLR_06_01,7,17.665659439820097
SLR_06_02,7,29.50742819753484
SLR_06_03,7,40.424184126567255
SLR_07_00,7,5.667343203333333
SLR_07_01,7,8.056079842701529
SLR_07_02,7,14.686523051391186
SLR_08_00,7,6.041305316666667
SLR_08_01,7,3.947692661644501
SLR_00_02,8,126.18894313333334
SLR_01_01,8,138.1178893378462
SLR_01_02,8,118.1858892281788
SLR_01_03,8,76.10752498818054
SLR_01_04,8,47.259475683333335
SLR_02_00,8,131.6291271793142
SLR_02_01,8,136.67240109367734
SLR_02_02,8,118.31203819775251
SLR_02_03,8,76.80268464876472
SLR_02_04,8,56.98565517895213
SLR_03_00,8,109.32777155387213
SLR_03_01,8,123.49063867481443
SLR_03_02,8,118.14095686907233
SLR_03_03,8,88.46556544614802
SLR_03_04,8,73.25785698247181
SLR_04_00,8,79.03501900950873
SLR_04_01,8,95.28519112297724
SLR_04_02,8,98.76375475875456
SLR_04_03,8,82.50635111215729
SLR_04_04,8,77.23670683489645
SLR_05_00,8,41.71238376952408
SLR_05_01,8,52.05053363334845
SLR_05_02,8,60.17336985264752
SLR_05_03,8,59.34921501900872
SLR_06_00,8,19.777970092933234
SLR_06_01,8,25.711370353653177
SLR_06_02,8,36.627600576430055
SLR_06_03,8,44.3071385778221
SLR_07_00,8,15.335016243333332
SLR_07_01,8,16.753671717672667
SLR_07_02,8,25.4749206166459
SLR_08_00,8,24.59876483333333
SLR_08_01,8,16.777673079326142
SLR_00_02,9,228.0191935
SLR_01_01,9,265.43005971433354
SLR_01_02,9,212.02595344107448
SLR_01_03,9,120.04897754176008
SLR_01_04,9,56.83623793333334
SLR_02_00,9,265.183393340263
SLR_02_01,9,260.3197068963796
SLR_02_02,9,208.00121167555892
SLR_02_03,9,120.7564172172758
SLR_02_04,9,79.29958650661865
SLR_03_00,9,211.6687342197308
SLR_03_01,9,219.69861267024132
SLR_03_02,9,197.1095425593724
SLR_03_03,9,144.19387517196216
SLR_03_04,9,116.88146947709602
SLR_04_00,9,164.4832614821224
SLR_04_01,9,176.41108189584102
SLR_04_02,9,170.57144250127575
SLR_04_03,9,141.85242242422126
SLR_04_04,9,131.24295677181976
SLR_05_00,9,125.02646005790916
SLR_05_01,9,130.45613511543783
SLR_05_02,9,128.38115983053984
SLR_05_03,9,115.2680355093941
SLR_06_00,9,92.12192156287756
SLR_06_01,9,92.16267305252876
SLR_06_02,9,91.80564222715086
SLR_06_03,9,92.8435799064821
SLR_07_00,9,72.54663563333334
SLR_07_01,9,62.09565804267929
SLR_07_02,9,64.5166101453079
SLR_08_00,9,56.28002393333334
SLR_08_01,9,49.926919963639
SLR_00_02,10,280.27281800000003
SLR_01_01,10,325.91356341563613
SLR_01_02,10,283.0727342642011
SLR_01_03,10,222.2476729781642
SLR_01_04,10,179.06044686666667
SLR_02_00,10,358.44990051969614
SLR_02_01,10,346.12330174192743
SLR_02_02,10,298.3496836054262
SLR_02_03,10,225.2261573601732
SLR_02_04,10,189.6890373955236
SLR_03_00,10,347.98889149634243
SLR_03_01,10,345.9444104911909
SLR_03_02,10,309.95191478490807
SLR_03_03,10,241.9008671257288
SLR_03_04,10,207.47100050115895
SLR_04_00,10,303.77801633367164
SLR_04_01,10,309.0281496459312
SLR_04_02,10,286.26635727374764
SLR_04_03,10,233.242580684752
SLR_04_04,10,210.55327042403744
SLR_05_00,10,230.6082593905213
SLR_05_01,10,235.3610125349643
SLR_05_02,10,227.2800342794343
SLR_05_03,10,201.83526510709
SLR_06_00,10,192.5840260075399
SLR_06_01,10,197.4364534811621
SLR_06_02,10,195.0654155492097
SLR_06_03,10,187.21110292249264
SLR_07_00,10,197.24184156666664
