grid_id,longitude,latitude,date,year,month,precipitation_mm,PET_mm,actual_evapotranspiration_mm,surface_runoff_mm,subsurface_runoff_mm,total_runoff_mm,soil_moisture_0_10cm_mm,soil_moisture_10_40cm_mm,soil_moisture_40_100cm_mm,soil_moisture_100_200cm_mm,soil_moisture_total_mm
SL_9.7500_79.9500,79.94999999999999,9.75,2005-01-01,2005,1,63.166023,131.175,160.6073,8.814361,0.08438791,8.898749,35.3909,112.352104,231.84848,398.2325,777.82404
SL_9.7500_80.0500,80.05000000000001,9.75,2005-01-01,2005,1,67.32292,129.875,164.10985,7.013412,0.0731683,7.0865803,32.81831,108.08772,224.76137,401.34747,767.01483
SL_9.7500_80.1500,80.15000000000003,9.75,2005-01-01,2005,1,71.728,128.78,152.62912,8.218515,0.073919654,8.292435,32.829746,108.62918,226.51443,402.75073,770.72406
SL_9.7500_80.2500,80.25,9.75,2005-01-01,2005,1,76.40415,131.3,159.76283,5.121494,0.06369432,5.185188,32.39645,106.39049,221.89677,398.39124,759.07495
SL_9.6500_80.0500,80.05000000000001,9.649999999999991,2005-01-01,2005,1,70.226,128.476,174.13765,2.9755726,0.08718837,3.0627608,33.672626,106.20779,221.12184,400.0628,761.06506
SL_9.6500_80.1500,80.15000000000003,9.649999999999991,2005-01-01,2005,1,74.25125,126.952,179.03735,6.054964,0.09485734,6.1498213,34.419014,107.466576,222.81639,401.3254,766.0274
SL_9.6500_80.2500,80.25,9.649999999999991,2005-01-01,2005,1,78.41257,128.73,177.90236,8.652132,0.064610876,8.7167425,34.48514,107.449585,220.61934,398.87405,761.4281
SL_9.6500_80.3500,80.35000000000002,9.649999999999991,2005-01-01,2005,1,82.716965,132.741,175.73755,6.672271,0.06611792,6.7383885,34.123463,106.4198,218.48999,397.71185,756.7451
SL_9.5500_80.4500,80.44999999999999,9.549999999999997,2005-01-01,2005,1,87.568695,132.756,183.0166,5.653849,0.079910405,5.7337594,35.234432,108.32462,221.70895,399.6617,764.92975
SL_9.4500_80.2500,80.25,9.449999999999989,2005-01-01,2005,1,81.787186,131.345,172.70506,20.477125,0.050399862,20.527525,37.44292,114.404915,232.65239,395.7085,780.20874
SL_9.4500_80.3500,80.35000000000002,9.449999999999989,2005-01-01,2005,1,85.26523,126.786,177.17651,16.198524,0.07607412,16.2746,36.328495,111.57943,228.48492,404.57684,780.96967
SL_9.4500_80.4500,80.44999999999999,9.449999999999989,2005-01-01,2005,1,88.74327,124.509,186.88408,11.50167,0.06040513,11.562075,35.927414,110.16446,224.82172,401.71863,772.6322
SL_9.4500_80.5500,80.55000000000001,9.449999999999989,2005-01-01,2005,1,94.41943,128.734,189.2575,12.073017,0.093192324,12.166209,36.122044,110.46957,225.27888,402.04855,773.91907
SL_9.3500_80.1500,80.15000000000003,9.349999999999994,2005-01-01,2005,1,80.085236,123.498,175.57242,17.967144,0.17170809,18.138851,38.056816,116.21794,236.71487,403.59692,794.58655
SL_9.3500_80.2500,80.25,9.349999999999994,2005-01-01,2005,1,83.64089,122.18,177.96945,23.590406,0.19264366,23.783049,38.43823,116.850624,237.23177,404.03275,796.55334
SL_9.3500_80.3500,80.35000000000002,9.349999999999994,2005-01-01,2005,1,87.196556,120.624,176.12837,33.047104,0.24045254,33.287556,38.379444,116.568474,236.49245,402.03888,793.47925
SL_9.3500_80.4500,80.44999999999999,9.349999999999994,2005-01-01,2005,1,90.75221,119.31,192.45049,26.215115,0.31047413,26.525589,36.900204,112.28747,228.56448,403.6387,781.39087
SL_9.3500_80.5500,80.55000000000001,9.349999999999994,2005-01-01,2005,1,96.53192,120.058,179.2451,25.761097,0.23052326,25.991621,38.600895,116.869316,236.2686,400.24744,791.98627
SL_9.3500_80.6500,80.65000000000003,9.349999999999994,2005-01-01,2005,1,104.53568,122.431,180.1098,18.257515,0.20705839,18.464575,38.747387,117.2431,236.9573,401.40598,794.35376
SL_9.2500_80.1500,80.15000000000003,9.25,2005-01-01,2005,1,81.86133,123.465,175.93346,19.759146,0.25915936,20.018305,38.335533,116.6983,237.10733,403.949,796.09015
SL_9.2500_80.2500,80.25,9.25,2005-01-01,2005,1,85.494606,119.4,177.62456,22.873611,0.340159,23.21377,38.733,117.60948,238.59914,406.2159,801.15753
SL_9.2500_80.3500,80.35000000000002,9.25,2005-01-01,2005,1,89.127884,118.1,179.314,27.968966,0.3524841,28.32145,39.00411,118.234726,239.72723,408.28802,805.2541
SL_9.2500_80.4500,80.44999999999999,9.25,2005-01-01,2005,1,92.76116,117.17,180.69707,32.0113,0.45720306,32.468502,39.34019,119.07782,241.07988,410.2252,809.7231
SL_9.2500_80.5500,80.55000000000001,9.25,2005-01-01,2005,1,98.64442,117.14,181.3847,35.537148,0.51533824,36.052486,39.563396,119.68063,242.278,412.52048,814.0425
SL_9.2500_80.6500,80.65000000000003,9.25,2005-01-01,2005,1,106.777664,117.905,185.89246,23.898714,0.76308167,24.661797,39.761673,120.255005,243.42851,414.3859,817.83105
SL_9.2500_80.7500,80.75,9.25,2005-01-01,2005,1,114.910904,121.625,182.82903,34.38444,0.8192149,35.203655,39.613247,119.84556,242.47205,411.75647,813.6873
SL_9.1500_80.1500,80.15000000000003,9.149999999999991,2005-01-01,2005,1,83.63743,122.55,176.04031,27.735228,0.27148563,28.006712,38.653095,117.5093,238.6286,406.3063,801.0973
SL_9.1500_80.2500,80.25,9.149999999999991,2005-01-01,2005,1,87.34832,119.0,177.10355,27.002794,0.38402742,27.386822,38.99274,118.32248,240.1808,409.52026,807.0163
SL_9.1500_80.3500,80.35000000000002,9.149999999999991,2005-01-01,2005,1,91.05921,117.2,178.26974,29.863148,0.40569028,30.268837,39.236332,118.954575,241.54875,412.17493,811.9146
SL_9.1500_80.4500,80.44999999999999,9.149999999999991,2005-01-01,2005,1,94.7701,115.667,181.2969,32.295166,0.5822008,32.87737,39.8295,120.54426,244.39133,417.23434,821.99945
SL_9.1500_80.5500,80.55000000000001,9.149999999999991,2005-01-01,2005,1,100.75691,115.097,182.60825,36.55585,0.86852914,37.42438,40.128693,121.44345,246.45367,421.8845,829.9103
SL_9.1500_80.6500,80.65000000000003,9.149999999999991,2005-01-01,2005,1,109.01964,115.829,181.92003,36.529274,1.129371,37.65864,40.174736,121.58664,246.7809,422.3555,830.89777
SL_9.1500_80.7500,80.75,9.149999999999991,2005-01-01,2005,1,117.282364,118.125,184.32368,45.115517,1.501292,46.616806,40.254776,121.77375,246.91533,422.26328,831.2071
SL_9.1500_80.8500,80.85000000000002,9.149999999999991,2005-01-01,2005,1,125.54509,123.907,185.16226,41.17767,0.6951187,41.872787,40.024216,121.018295,244.89514,417.17996,823.1176
SL_9.0500_79.8500,79.85000000000002,9.049999999999997,2005-01-01,2005,1,74.048,136.65807,156.20021,25.470915,0.06511251,25.536028,33.968117,107.60489,221.70369,397.5695,760.8462
SL_9.0500_80.1500,80.15000000000003,9.049999999999997,2005-01-01,2005,1,85.41353,121.053,172.51395,21.337778,0.2539017,21.591679,38.436707,116.82981,237.18983,403.744,796.2003
SL_9.0500_80.2500,80.25,9.049999999999997,2005-01-01,2005,1,89.202034,118.82,174.8052,26.07578,0.4159899,26.491772,38.930084,118.20193,240.24051,409.86975,807.2423
