grid_id,longitude,latitude,date,year,month,precipitation_mm,PET_mm,actual_evapotranspiration_mm,surface_runoff_mm,subsurface_runoff_mm,total_runoff_mm,soil_moisture_0_10cm_mm,soil_moisture_10_40cm_mm,soil_moisture_40_100cm_mm,soil_moisture_100_200cm_mm,soil_moisture_total_mm
SL_9.7500_79.9500,79.94999999999999,9.75,1999-01-01,1999,1,117.200005,129.035,181.86574,13.133418,0.21791346,13.351332,38.484325,117.7355,240.5884,412.12732,808.93555
SL_9.7500_80.0500,80.05000000000001,9.75,1999-01-01,1999,1,124.91423,127.77,202.13557,22.507578,0.6120855,23.119665,38.55305,118.3421,244.58524,430.8426,832.323
SL_9.7500_80.1500,80.15000000000003,9.75,1999-01-01,1999,1,133.089,126.585,198.71289,19.355635,0.41333556,19.76897,38.76376,118.60122,244.02501,427.5068,828.8968
SL_9.7500_80.2500,80.25,9.75,1999-01-01,1999,1,141.76685,128.95,195.35896,14.759494,0.12967493,14.889169,37.388638,115.13811,235.28157,409.96695,797.77527
SL_9.6500_80.0500,80.05000000000001,9.649999999999991,1999-01-01,1999,1,129.43192,126.049,201.45085,9.486433,0.46212238,9.948556,38.266838,116.8626,240.14815,423.72232,818.99994
SL_9.6500_80.1500,80.15000000000003,9.649999999999991,1999-01-01,1999,1,137.08388,124.333,201.16365,13.409395,0.31606415,13.725459,38.18082,116.46824,238.39603,418.89456,811.93964
SL_9.6500_80.2500,80.25,9.649999999999991,1999-01-01,1999,1,144.99448,125.935,201.096,17.666758,0.08791969,17.754677,37.838806,115.19548,233.45206,405.40182,791.8882
SL_9.6500_80.3500,80.35000000000002,9.649999999999991,1999-01-01,1999,1,153.17708,129.7,198.5838,19.843317,0.1128767,19.956194,37.87431,115.343216,233.87231,407.36514,794.45496
SL_9.5500_80.4500,80.44999999999999,9.549999999999997,1999-01-01,1999,1,162.29944,129.115,199.95937,12.175081,0.09620508,12.271286,37.757847,114.720116,232.14378,404.50598,789.1277
SL_9.4500_80.2500,80.25,9.449999999999989,1999-01-01,1999,1,150.55902,127.855,168.26881,15.1603155,0.0019583676,15.162274,36.99809,112.616455,222.10704,353.31888,725.04047
SL_9.4500_80.3500,80.35000000000002,9.449999999999989,1999-01-01,1999,1,157.59929,123.103,193.20699,20.243515,0.12736028,20.370876,38.74249,117.58807,238.995,414.358,809.68353
SL_9.4500_80.4500,80.44999999999999,9.449999999999989,1999-01-01,1999,1,164.63957,120.508,202.54265,12.788865,0.08843239,12.877297,38.254436,116.00394,235.05528,409.0682,798.38184
SL_9.4500_80.5500,80.55000000000001,9.449999999999989,1999-01-01,1999,1,174.20753,124.576,206.23862,13.346103,0.1307686,13.4768715,38.514744,116.67406,236.13771,409.29056,800.61707
SL_9.3500_80.1500,80.15000000000003,9.349999999999994,1999-01-01,1999,1,146.3514,119.65,162.42139,10.67803,0.005907677,10.683937,36.366264,111.43387,221.02087,357.76376,726.5848
SL_9.3500_80.2500,80.25,9.349999999999994,1999-01-01,1999,1,153.82076,118.24,162.82582,11.367439,0.003266536,11.370706,36.63802,111.62951,219.87727,348.947,717.0918
SL_9.3500_80.3500,80.35000000000002,9.349999999999994,1999-01-01,1999,1,161.29012,116.494,166.07211,10.901243,0.0036602065,10.904903,36.91204,111.91952,219.92421,345.31082,714.0666
SL_9.3500_80.4500,80.44999999999999,9.349999999999994,1999-01-01,1999,1,168.75948,114.97,204.36888,19.03215,0.6196598,19.651812,38.980392,117.993546,239.31593,415.29727,811.58716
SL_9.3500_80.5500,80.55000000000001,9.349999999999994,1999-01-01,1999,1,178.41379,115.558,175.38173,14.840922,0.008871853,14.849793,37.85653,114.21308,224.72755,353.2699,730.0671
SL_9.3500_80.6500,80.65000000000003,9.349999999999994,1999-01-01,1999,1,190.25305,117.781,170.7221,19.297878,0.0017180876,19.299597,37.64794,113.562416,221.23386,331.5675,704.0117
SL_9.2500_80.1500,80.15000000000003,9.25,1999-01-01,1999,1,149.18405,119.27,154.18922,8.090794,0.0020156943,8.092809,35.596214,109.2832,214.84567,338.79987,698.52496
SL_9.2500_80.2500,80.25,9.25,1999-01-01,1999,1,157.08249,115.1,162.91698,11.048152,0.00482296,11.052975,36.749397,111.75662,219.91829,347.74994,716.17426
SL_9.2500_80.3500,80.35000000000002,9.25,1999-01-01,1999,1,164.98094,113.73,167.37534,13.644959,0.0062419567,13.651201,37.411674,113.214645,222.80255,351.6041,725.03296
SL_9.2500_80.4500,80.44999999999999,9.25,1999-01-01,1999,1,172.87938,112.59,171.86678,13.662308,0.016037019,13.678345,37.8018,114.11691,225.63014,361.14468,738.69354
SL_9.2500_80.5500,80.55000000000001,9.25,1999-01-01,1999,1,182.62004,112.38,177.889,19.594208,0.050326124,19.644533,38.81807,116.97218,232.26443,375.91727,763.9719
SL_9.2500_80.6500,80.65000000000003,9.25,1999-01-01,1999,1,194.20291,113.01,176.2369,27.551838,0.031886823,27.583725,38.750397,116.70016,230.1414,362.2681,747.86005
SL_9.2500_80.7500,80.75,9.25,1999-01-01,1999,1,205.78578,116.55,184.59206,43.18378,0.24837257,43.43215,39.749702,119.72392,238.47862,387.5726,785.52484
SL_9.1500_80.1500,80.15000000000003,9.149999999999991,1999-01-01,1999,1,152.01671,118.12,163.35689,12.621191,0.00508282,12.626274,36.831303,112.32994,221.58676,351.1942,721.9422
SL_9.1500_80.2500,80.25,9.149999999999991,1999-01-01,1999,1,160.34424,114.445,167.69087,11.507064,0.008010936,11.515075,37.31804,113.02596,223.30011,355.2638,728.9079
SL_9.1500_80.3500,80.35000000000002,9.149999999999991,1999-01-01,1999,1,168.67175,112.639,166.39673,17.87103,0.01014176,17.881172,37.82272,114.35198,225.95375,359.05862,737.1871
SL_9.1500_80.4500,80.44999999999999,9.149999999999991,1999-01-01,1999,1,176.99928,110.917,171.21193,22.016153,0.022749588,22.038904,38.34571,115.70847,229.4223,367.98236,751.45886
SL_9.1500_80.5500,80.55000000000001,9.149999999999991,1999-01-01,1999,1,186.82628,110.21,171.58943,25.534706,0.058319353,25.593025,38.88463,117.28384,233.569,379.369,769.10645
SL_9.1500_80.6500,80.65000000000003,9.149999999999991,1999-01-01,1999,1,198.15277,110.78,171.24242,27.857395,0.12644109,27.983835,39.075794,117.803955,235.1695,385.12067,777.1699
SL_9.1500_80.7500,80.75,9.149999999999991,1999-01-01,1999,1,209.47926,112.99,178.64076,42.824112,0.64758635,43.4717,40.10918,120.9697,243.04272,405.22488,809.3465
SL_9.1500_80.8500,80.85000000000002,9.149999999999991,1999-01-01,1999,1,220.80574,118.637,177.42284,32.030052,0.088413425,32.118465,39.178543,117.99588,234.7864,380.07193,772.0328
SL_9.0500_79.8500,79.85000000000002,9.049999999999997,1999-01-01,1999,1,128.57954,132.32903,158.06465,3.3007967,0.05911909,3.359916,34.632668,108.476685,223.5563,397.22168,763.8873
SL_9.0500_80.1500,80.15000000000003,9.049999999999997,1999-01-01,1999,1,154.84937,116.35,161.00984,7.1471624,0.0039701383,7.1511326,36.483524,110.94449,218.73064,347.9849,714.14355
SL_9.0500_80.2500,80.25,9.049999999999997,1999-01-01,1999,1,163.60597,114.085,173.4168,16.3814,0.04262827,16.424026,38.484634,116.23575,231.56306,377.9782,764.26166
SL_9.0500_80.3500,80.35000000000002,9.049999999999997,1999-01-01,1999,1,172.36258,111.967,172.73914,28.882877,0.23444322,29.117321,39.539146,119.3687,239.81291,400.42288,799.1436
SL_9.0500_80.4500,80.44999999999999,9.049999999999997,1999-01-01,1999,1,181.11919,110.065,180.1348,36.80378,0.74319905,37.546978,40.46522,122.12344,246.42163,416.7075,825.7178
SL_9.0500_80.5500,80.55000000000001,9.049999999999997,1999-01-01,1999,1,191.03253,109.76,177.19029,47.196598,1.144347,48.340942,40.748005,123.04361,248.72633,421.95007,834.468
SL_9.0500_80.6500,80.65000000000003,9.049999999999997,1999-01-01,1999,1,202.10263,110.051,177.59482,40.335655,0.5687279,40.904385,40.304737,121.487946,244.11966,407.8385,813.75085
