grid_id,longitude,latitude,date,year,month,precipitation_mm,PET_mm,actual_evapotranspiration_mm,surface_runoff_mm,subsurface_runoff_mm,total_runoff_mm,soil_moisture_0_10cm_mm,soil_moisture_10_40cm_mm,soil_moisture_40_100cm_mm,soil_moisture_100_200cm_mm,soil_moisture_total_mm
SL_9.7500_79.9500,79.94999999999999,9.75,1994-01-01,1994,1,33.045307,126.24,158.99872,4.1683736,0.2584535,4.426827,36.738575,113.9175,235.76318,408.8154,795.2347
SL_9.7500_80.0500,80.05000000000001,9.75,1994-01-01,1994,1,34.45672,125.255,163.35458,3.2325985,0.20938835,3.4419868,34.3863,109.629425,229.75636,412.64804,786.42017
SL_9.7500_80.1500,80.15000000000003,9.75,1994-01-01,1994,1,35.952393,124.445,169.09868,2.435013,0.38520077,2.820214,36.48955,113.7399,237.23338,421.821,809.2839
SL_9.7500_80.2500,80.25,9.75,1994-01-01,1994,1,37.540108,127.05,174.68605,1.4526342,0.47619307,1.9288273,36.148388,113.207596,236.55153,422.3792,808.28674
SL_9.6500_80.0500,80.05000000000001,9.649999999999991,1994-01-01,1994,1,35.663372,124.069,169.92354,1.4561133,0.257862,1.7139754,34.87157,109.198166,228.35786,412.53363,784.96124
SL_9.6500_80.1500,80.15000000000003,9.649999999999991,1994-01-01,1994,1,36.983837,122.794,171.86522,1.9083703,0.2617118,2.170082,35.126923,109.52438,228.47998,412.6083,785.73956
SL_9.6500_80.2500,80.25,9.649999999999991,1994-01-01,1994,1,38.348938,124.705,170.83168,1.2559974,0.20732048,1.4633179,35.05667,109.35393,228.18239,412.53476,785.12775
SL_9.6500_80.3500,80.35000000000002,9.649999999999991,1994-01-01,1994,1,39.76098,128.821,168.14365,1.5668702,0.22631691,1.7931871,34.91644,109.118965,227.58302,412.38998,784.0084
SL_9.5500_80.4500,80.44999999999999,9.549999999999997,1994-01-01,1994,1,41.37815,129.325,172.13817,0.6437488,0.19027965,0.8340284,34.863235,108.2792,225.49854,409.88757,778.52856
SL_9.4500_80.2500,80.25,9.449999999999989,1994-01-01,1994,1,40.740734,127.63,162.83353,1.2361021,0.15945014,1.3955523,37.506943,114.79297,235.82214,407.39227,795.5143
SL_9.4500_80.3500,80.35000000000002,9.449999999999989,1994-01-01,1994,1,41.869137,123.489,162.4207,1.1847229,0.17663218,1.3613551,35.83467,110.900406,230.53809,413.62878,790.9019
SL_9.4500_80.4500,80.44999999999999,9.449999999999989,1994-01-01,1994,1,42.99754,121.428,173.3943,1.7261316,0.15470816,1.8808397,35.464775,109.55733,227.4096,412.00043,784.4321
