grid_id,longitude,latitude,date,year,month,precipitation_mm,PET_mm,actual_evapotranspiration_mm,surface_runoff_mm,subsurface_runoff_mm,total_runoff_mm,soil_moisture_0_10cm_mm,soil_moisture_10_40cm_mm,soil_moisture_40_100cm_mm,soil_moisture_100_200cm_mm,soil_moisture_total_mm
MY_0p5_0.7500_110.2500,110.25,0.75,2007-01-01,2007,1,469.0419832669772,74.84692793626051,97.5597880436824,115.8335668710562,281.5567568265475,397.3903118426984,43.44349347628081,131.12386662409858,266.637495304988,466.5949772761419,907.7998525766227
MY_0p5_0.7500_110.7500,110.75,0.75,2007-01-01,2007,1,436.4518572126116,76.87760848999024,104.4782193865095,99.3223203386579,231.28161577497207,330.6039328438895,43.307525907244,130.7898725237165,266.34789079938616,467.6215118408203,908.066823032924
MY_0p5_0.7500_111.7500,111.75,0.75,2007-01-01,2007,1,389.27191549634176,78.22184063139416,112.97254919627355,64.07177104647198,181.6482677156963,245.72003149607824,43.08616765340169,130.19667731391058,265.45784456767734,466.8360692584326,905.5767425052702
MY_0p5_1.2500_103.2500,103.25,1.25,2007-01-01,2007,1,521.7247281861537,87.26301633964465,118.26025564020331,172.55876402421433,186.37099664861506,358.9297735040838,39.54863192818382,117.4495161229914,239.51403635198423,420.74545288085943,817.2576585249468
MY_0p5_1.2500_103.7500,103.75,1.25,2007-01-01,2007,1,541.6756129588896,86.79233869534094,109.43016333718903,198.6496647214427,204.37920875919676,403.02888770242345,40.84124507718873,122.26831906513104,249.3628191901642,438.3402944027799,850.8127038455704
MY_0p5_1.2500_104.2500,104.25,1.25,2007-01-01,2007,1,503.40767647879454,86.90449327741351,99.85548400878906,230.8755340576172,225.63473510742188,456.5102844238281,42.5460205078125,128.61325073242188,262.3426208496094,461.5418395996094,895.0437622070312
MY_0p5_1.2500_109.7500,109.75,1.25,2007-01-01,2007,1,577.1023052169617,74.8420634442065,99.22091996526144,314.61872679928706,456.9567146760872,771.5754710737482,44.01179550354739,132.66450096038452,268.94465876200115,467.9414838308312,913.5624448477504
MY_0p5_1.2500_110.2500,110.25,1.25,2007-01-01,2007,1,504.7340414275535,74.60083797263364,98.20489578541643,198.1941515064608,350.6217386253092,548.8158822667185,43.65746369233003,131.70622188612302,267.5066384569559,467.0313416705629,909.9016820252172
MY_0p5_1.2500_110.7500,110.75,1.25,2007-01-01,2007,1,466.02690720331105,76.38661663721477,105.02414109971787,131.61495937771267,271.6294146825397,403.244383796813,43.43511648026723,131.13325752379401,266.8368312290736,467.7395641508556,909.144779265873
MY_0p5_1.2500_111.2500,111.25,1.25,2007-01-01,2007,1,424.9602556807546,76.96446286527494,108.69564765710801,85.09869053264778,214.6246420765837,299.7233457717652,43.23153893711468,130.59125165360427,266.06589534869215,467.4196752968688,907.3083562393922
MY_0p5_1.2500_111.7500,111.75,1.25,2007-01-01,2007,1,404.9458613320002,77.32397957453651,111.77455611456007,75.98758540077814,193.44102647569446,269.4286029149616,43.12778981526692,130.3030015249101,265.58329215882316,466.755843389602,905.7699090866814
MY_0p5_1.2500_112.2500,112.25,1.25,2007-01-01,2007,1,414.5852383841113,77.31962554466905,113.4595619240388,88.55245379142954,212.52363578680198,301.0760741258031,43.191873753736466,130.4592386623324,265.7297367928597,466.42490212687386,905.8057396593432
MY_0p5_1.2500_112.7500,112.75,1.25,2007-01-01,2007,1,424.66768010457355,77.21419143676758,112.72536611557007,111.98266983032227,219.52421728769937,331.5068874359131,43.18379203478495,130.4035971959432,265.4356390635172,465.0639667510986,904.0869776407877
MY_0p5_1.2500_113.2500,113.25,1.25,2007-01-01,2007,1,416.1555029827615,77.22201232910156,117.09275499426802,105.57124521006709,205.7058338994565,311.2770722762398,43.159222146739125,130.30415039062498,265.13954467773436,464.2598102072011,902.8627372409986
MY_0p5_1.2500_113.7500,113.75,1.25,2007-01-01,2007,1,393.8729819095496,76.76349258422852,119.46159992796001,92.4430607882413,187.62785720825195,280.0709169561212,43.095410375884086,130.09852449821702,264.66072706742716,463.13838519472057,900.9930521647135
MY_0p5_1.2500_114.2500,114.25,1.25,2007-01-01,2007,1,359.5233780852462,75.28792241189332,119.68567063323165,74.43296105038804,171.9083571982595,246.34131818113073,43.044973727876105,129.93178686631464,264.2815103446488,462.3441858882398,899.6024639838565
MY_0p5_1.2500_114.7500,114.75,1.25,2007-01-01,2007,1,327.29187405493957,73.59012062318862,113.22751912763042,57.81950378417969,164.58998452463456,222.40948830881425,43.03659759029265,129.8625000984438,263.92281021610387,460.86015073714714,897.6820639333417
MY_0p5_1.7500_102.7500,102.75,1.75,2007-01-01,2007,1,467.5042493619972,86.8124428849194,125.9546263217926,97.57024264335632,163.98802709579468,261.5582642555237,41.4975163936615,124.63507533073425,254.40669202804568,447.7504177093506,868.2896900177002
MY_0p5_1.7500_103.2500,103.25,1.75,2007-01-01,2007,1,539.7584863611169,84.79784528813308,129.03928886413576,196.35806846618652,223.56465385437014,419.9227278137207,41.61716373443604,124.87590995788575,254.57438858032228,447.00288635253906,868.0703527832031
MY_0p5_1.7500_103.7500,103.75,1.75,2007-01-01,2007,1,556.1799986634074,84.56329198426839,121.42522594596765,244.6746800096729,222.78568190562572,467.46037099331244,41.66729068756103,125.1985929464992,255.31470653678795,448.5384929994993,870.7190978617607
MY_0p5_1.7500_104.2500,104.25,1.75,2007-01-01,2007,1,524.9163269042969,85.40852794647216,118.11480630090995,278.0913018514944,227.63337340835452,505.7246843678082,42.74425867361616,129.23739387453062,263.6481959616491,463.6082723454911,899.2381359957909
MY_0p5_1.7500_109.7500,109.75,1.75,2007-01-01,2007,1,580.2954140596611,74.63347776546034,99.37415313720703,328.04608154296875,466.7969055175781,794.843017578125,44.04448699951172,132.75225830078125,269.07177734375,467.99853515625,913.8670654296875
MY_0p5_1.7500_110.2500,110.25,1.75,2007-01-01,2007,1,560.5527131155636,74.4081768459744,99.414320267458,336.59241946623285,465.250771262429,801.8431938293785,44.010027105158024,132.66974195184554,268.9650678175656,467.8573233048546,913.5021675640248
MY_0p5_1.7500_110.7500,110.75,1.75,2007-01-01,2007,1,519.7942463267932,75.47640158913352,105.81342468261717,197.62349510192868,351.23992614746095,548.8634613037109,43.681182289123534,131.79641876220703,267.7818832397461,467.9442993164062,911.2037689208984
MY_0p5_1.7500_111.2500,111.25,1.75,2007-01-01,2007,1,502.20758589487224,74.89399673219711,107.91416764370231,117.53085813300555,254.93861481422599,372.4694773119549,43.37371189206146,130.97189316860468,266.6125049679779,467.6492403252181,908.6073324513991
MY_0p5_1.7500_111.7500,111.75,1.75,2007-01-01,2007,1,477.27848468249346,74.71683082097692,105.80082210106183,133.8812493432926,246.5429908655866,380.4242348007008,43.32474854626233,130.83151573470874,266.34507915641683,467.11481388912915,907.6161439147174
MY_0p5_1.7500_112.2500,112.25,1.75,2007-01-01,2007,1,462.5273604135665,75.7884764898391,107.14396081349204,131.35679352775452,242.3566462925502,373.71343170650425,43.282917216467474,130.70415915837364,266.0593898228237,466.3549984886533,906.4014782133555
MY_0p5_1.7500_112.7500,112.75,1.75,2007-01-01,2007,1,448.0954696413071,77.04248446509952,110.53836636013455,129.43080180334664,233.03402559795077,362.4648308648003,43.24914284357949,130.60640990242126,265.8774426657056,466.06247200133316,905.7954642159598
MY_0p5_1.7500_113.2500,113.25,1.75,2007-01-01,2007,1,434.11292666480654,77.48207901243178,115.61414027138363,128.6335695296999,219.5615013485863,348.19506535605774,43.215220060802636,130.50267784481957,265.6727741544209,465.7533101399739,905.1439829024057
MY_0p5_1.7500_113.7500,113.75,1.75,2007-01-01,2007,1,404.3746985057044,77.23175043984065,119.4478047446599,119.05895284016925,210.04622497558594,329.1051769438244,43.17759185064406,130.35897526816717,265.24220803881445,464.4369920518663,903.2157650902158
MY_0p5_1.7500_114.2500,114.25,1.75,2007-01-01,2007,1,362.1629634796626,76.20498732309491,120.20998779781281,96.94520258827814,192.60006016322544,289.5452686612568,43.124730755033944,130.18314291333394,264.8401593889509,463.60375995938733,901.7518107096354
MY_0p5_1.7500_114.7500,114.75,1.75,2007-01-01,2007,1,335.79278738387507,75.61905120691488,114.4822425249327,85.43382010188128,181.50288572953772,266.93671563499333,43.06196957919264,129.99540868571387,264.41209498588285,462.43490474088213,899.9043816284811
MY_0p5_2.2500_101.7500,101.75,2.25,2007-01-01,2007,1,279.341055205374,85.51736766160137,128.43425018618805,34.527102036909625,77.08471463906645,111.61181933470446,41.94359954679855,126.70824856228299,259.293616709083,457.9926800968671,885.9381701536854
