grid_id,longitude,latitude,date,year,month,precipitation_mm,PET_mm,actual_evapotranspiration_mm,surface_runoff_mm,subsurface_runoff_mm,total_runoff_mm,soil_moisture_0_10cm_mm,soil_moisture_10_40cm_mm,soil_moisture_40_100cm_mm,soil_moisture_100_200cm_mm,soil_moisture_total_mm
SL_9.7500_79.9500,79.94999999999999,9.75,2003-01-01,2003,1,49.81608,131.105,144.41159,2.2523348,0.041860376,2.2941952,32.818516,107.94073,223.91072,385.438,750.108
SL_9.7500_80.0500,80.05000000000001,9.75,2003-01-01,2003,1,53.449135,129.825,147.39975,1.6951789,0.0579447,1.7531236,30.026712,103.16822,216.77072,396.9844,746.9501
SL_9.7500_80.1500,80.15000000000003,9.75,2003-01-01,2003,1,57.29909,128.655,145.62682,1.6562244,0.07206849,1.7282928,31.347448,106.089485,222.55313,400.99875,760.98883
SL_9.7500_80.2500,80.25,9.75,2003-01-01,2003,1,61.385967,130.9,148.44806,1.0960938,0.083825834,1.1799196,30.441868,104.697334,220.16592,401.1674,756.47253
SL_9.6500_80.0500,80.05000000000001,9.649999999999991,2003-01-01,2003,1,55.92457,128.216,154.67532,5.867654,0.071428776,5.9390826,30.206806,102.54186,214.91266,397.32904,744.99036
SL_9.6500_80.1500,80.15000000000003,9.649999999999991,2003-01-01,2003,1,59.4555,126.575,169.14365,2.9488783,0.104258865,3.0531373,32.29999,105.01653,219.89857,402.09372,759.30884
SL_9.6500_80.2500,80.25,9.649999999999991,2003-01-01,2003,1,63.105793,128.14,171.1564,2.828887,0.10184805,2.930735,32.95983,106.05344,221.87209,404.57834,765.4637
SL_9.6500_80.3500,80.35000000000002,9.649999999999991,2003-01-01,2003,1,66.88159,131.819,166.50874,2.9301486,0.1073426,3.0374913,32.65925,105.12494,220.37355,403.72888,761.8866
SL_9.5500_80.4500,80.44999999999999,9.549999999999997,2003-01-01,2003,1,71.130356,131.603,183.6639,5.6848297,0.17940173,5.8642316,34.996685,109.413284,228.03152,411.4152,783.8567
SL_9.4500_80.2500,80.25,9.449999999999989,2003-01-01,2003,1,67.843155,129.86,156.10208,3.6763277,0.024592802,3.7009203,34.805862,109.43598,225.16176,384.6414,754.045
SL_9.4500_80.3500,80.35000000000002,9.449999999999989,2003-01-01,2003,1,70.99941,125.645,170.70122,4.1689677,0.11231157,4.281279,34.99144,109.72544,228.75873,410.3159,783.7915
SL_9.4500_80.4500,80.44999999999999,9.449999999999989,2003-01-01,2003,1,74.15567,123.299,188.25279,8.23173,0.14249583,8.374227,35.732967,110.86804,230.6155,414.7239,791.9404
SL_9.4500_80.5500,80.55000000000001,9.449999999999989,2003-01-01,2003,1,81.7091,127.116,198.63734,10.733249,0.2840771,11.017325,37.091835,113.743454,235.24213,419.83243,805.90985
SL_9.3500_80.1500,80.15000000000003,9.349999999999994,2003-01-01,2003,1,69.7317,122.01,162.80217,14.753552,0.15942377,14.912976,36.142845,112.77218,232.91663,400.94836,782.78
SL_9.3500_80.2500,80.25,9.349999999999994,2003-01-01,2003,1,73.1258,120.77,165.35587,6.7857165,0.14871201,6.9344287,36.542717,113.02911,232.51465,399.23,781.31647
SL_9.3500_80.3500,80.35000000000002,9.349999999999994,2003-01-01,2003,1,76.519905,119.285,168.63841,9.202302,0.31565666,9.517959,37.28103,114.4866,235.25511,404.93842,791.9612
SL_9.3500_80.4500,80.44999999999999,9.349999999999994,2003-01-01,2003,1,79.91402,117.803,189.64479,11.124119,0.64571184,11.769831,36.213448,111.80083,231.92433,415.6973,795.6359
SL_9.3500_80.5500,80.55000000000001,9.349999999999994,2003-01-01,2003,1,87.21537,118.272,180.57114,17.543299,0.6605972,18.203896,38.80946,118.00506,241.295,416.15378,814.2633
SL_9.3500_80.6500,80.65000000000003,9.349999999999994,2003-01-01,2003,1,98.42398,120.657,180.5143,24.449831,0.5403693,24.9902,39.173073,118.86678,242.29887,416.60852,816.94727
SL_9.2500_80.1500,80.15000000000003,9.25,2003-01-01,2003,1,74.7765,121.73,161.62335,18.6461,0.24713646,18.893236,36.33451,113.074165,233.5576,402.235,785.20123
SL_9.2500_80.2500,80.25,9.25,2003-01-01,2003,1,78.40845,117.8,163.38832,19.721972,0.34822994,20.070202,36.924473,113.89733,234.66045,404.30408,789.7863
SL_9.2500_80.3500,80.35000000000002,9.25,2003-01-01,2003,1,82.040405,116.67,168.0868,18.99908,0.49538785,19.494469,37.900177,115.969505,238.23149,411.26373,803.3649
SL_9.2500_80.4500,80.44999999999999,9.25,2003-01-01,2003,1,85.672356,115.5,174.71196,21.757854,0.7266161,22.48447,38.629837,117.62671,240.81503,415.64407,812.71564
SL_9.2500_80.5500,80.55000000000001,9.25,2003-01-01,2003,1,92.72164,115.185,182.08632,29.65749,1.2705028,30.927992,39.46605,119.866875,245.22504,424.8895,829.44745
SL_9.2500_80.6500,80.65000000000003,9.25,2003-01-01,2003,1,103.18826,115.92,186.0884,37.76643,2.207625,39.974052,39.98974,121.2515,247.63795,429.139,838.0182
SL_9.2500_80.7500,80.75,9.25,2003-01-01,2003,1,113.654884,119.65,187.4734,54.91727,4.546966,59.464237,40.52589,122.87887,251.20586,437.1381,851.7487
SL_9.1500_80.1500,80.15000000000003,9.149999999999991,2003-01-01,2003,1,79.8213,120.848,164.18773,27.627213,0.30286968,27.930082,36.94561,114.19881,235.60423,406.39304,793.14166
SL_9.1500_80.2500,80.25,9.149999999999991,2003-01-01,2003,1,83.69109,117.385,169.18454,28.435467,0.61642843,29.051895,38.103157,116.64005,239.8739,414.99652,809.61365
SL_9.1500_80.3500,80.35000000000002,9.149999999999991,2003-01-01,2003,1,87.5609,115.651,172.78687,23.519436,0.7311628,24.250599,38.798656,118.22495,242.36423,419.41586,818.8037
SL_9.1500_80.4500,80.44999999999999,9.149999999999991,2003-01-01,2003,1,91.4307,114.016,177.48904,37.492218,0.8876657,38.379883,39.125217,118.96322,243.4583,421.1693,822.71606
SL_9.1500_80.5500,80.55000000000001,9.149999999999991,2003-01-01,2003,1,98.22791,113.26,181.41516,49.168934,1.360879,50.529816,39.78986,120.70571,246.56625,426.97986,834.0417
SL_9.1500_80.6500,80.65000000000003,9.149999999999991,2003-01-01,2003,1,107.952545,113.878,186.19446,61.25932,3.31574,64.57506,40.318443,122.291115,250.1698,435.51578,848.29517
SL_9.1500_80.7500,80.75,9.149999999999991,2003-01-01,2003,1,117.67718,116.055,188.02106,54.7387,4.4307055,59.169407,40.421104,122.57051,250.64964,436.3075,849.9487
SL_9.1500_80.8500,80.85000000000002,9.149999999999991,2003-01-01,2003,1,127.4018,121.858,186.6337,44.662483,2.0721872,46.734673,40.037197,121.45153,248.3064,431.08334,840.8785
SL_9.0500_79.8500,79.85000000000002,9.049999999999997,2003-01-01,2003,1,72.543144,135.36774,154.08885,14.367569,0.11552429,14.483093,33.008297,108.35897,226.75774,406.28656,774.41156
SL_9.0500_80.1500,80.15000000000003,9.049999999999997,2003-01-01,2003,1,84.8661,119.27,161.02039,34.803402,0.26969847,35.0731,36.89682,113.88851,234.67352,404.0376,789.49646
SL_9.0500_80.2500,80.25,9.049999999999997,2003-01-01,2003,1,88.97374,117.085,170.66849,33.666107,0.9252015,34.59131,38.61358,117.899956,242.28534,420.1817,818.9806
SL_9.0500_80.3500,80.35000000000002,9.049999999999997,2003-01-01,2003,1,93.08139,115.159,170.99374,36.33942,1.1248522,37.46427,38.922573,118.5792,243.3136,421.99814,822.81354
SL_9.0500_80.4500,80.44999999999999,9.049999999999997,2003-01-01,2003,1,97.18904,113.353,175.01291,45.576057,1.3093964,46.885456,39.4064,119.77952,245.21559,425.05945,829.46094
SL_9.0500_80.5500,80.55000000000001,9.049999999999997,2003-01-01,2003,1,103.734184,112.942,180.6984,60.14174,2.2741375,62.415874,40.080303,121.6612,249.07709,433.5178,844.33636
SL_9.0500_80.6500,80.65000000000003,9.049999999999997,2003-01-01,2003,1,112.71683,113.128,181.37854,66.81158,3.1019168,69.9135,40.212856,122.02108,249.7809,435.0347,847.0495
SL_9.0500_80.7500,80.75,9.049999999999997,2003-01-01,2003,1,121.69946,114.42,180.7254,63.75579,1.8872017,65.64299,40.107594,121.73475,249.21997,433.8507,844.913
SL_9.0500_80.8500,80.85000000000002,9.049999999999997,2003-01-01,2003,1,130.6821,117.364,182.35106,69.29441,2.200556,71.494965,40.095005,121.613594,248.64038,431.93045,842.2794
SL_8.9500_80.0500,80.05000000000001,8.949999999999989,2003-01-01,2003,1,85.5654,122.535,152.94556,23.743784,0.057033457,23.800817,35.283463,110.57822,227.8318,388.94882,762.64233
