region_id,month,precipitation_mm__mean,precipitation_mm__std,precipitation_mm__q25,precipitation_mm__median,precipitation_mm__q75,soil_moisture_total_mm__mean,soil_moisture_total_mm__std,soil_moisture_total_mm__q25,soil_moisture_total_mm__median,soil_moisture_total_mm__q75,total_runoff_mm__mean,total_runoff_mm__std,total_runoff_mm__q25,total_runoff_mm__median,total_runoff_mm__q75,actual_evapotranspiration_mm__mean,actual_evapotranspiration_mm__std,actual_evapotranspiration_mm__q25,actual_evapotranspiration_mm__median,actual_evapotranspiration_mm__q75,PET_mm__mean,PET_mm__std,PET_mm__q25,PET_mm__median,PET_mm__q75
MYS_00_21,1,439.39613832913915,93.07206913350643,361.56378185565654,457.8010786790115,516.663304255559,899.4030282201524,9.241553137935956,896.0242995042069,902.0974280724159,905.332357788086,343.3306377459795,105.67813505315439,267.16863960853,339.2188927283654,416.2878878079929,112.81333315727039,6.940344922143778,108.60465648357686,114.44100089439979,117.1464925325834,86.19465113321941,6.3014606701649,83.17854928236741,86.44319628202,88.69074768653283
MYS_00_21,2,297.22048079661835,90.8128741165934,252.40469994178187,304.51362304687507,349.5208174485427,895.6928597944211,15.21955275021382,894.7705909142128,901.3650630070614,904.6672285813554,335.92099821433044,150.42985705717552,224.48279709449181,352.84307450514575,404.9653615511381,113.48866460946891,7.315209802883763,107.63597253652722,114.08900076059196,117.41540389427772,86.51642337114384,7.953871803430667,82.24373215895433,86.31122055053712,93.07121449984038
MYS_00_21,3,307.83412221272795,74.07638767657278,257.2841586773212,284.0996585552509,337.0652387178862,895.7607502003207,10.669737874540049,890.4400794396036,899.4298001802886,903.3145320012021,259.95985605288774,103.17705721649811,191.85881802485542,252.68255861722508,310.7086196312538,128.47756774119844,9.580238059766614,122.56331156217136,125.60972747802737,133.82701275165266,107.18749435424806,8.45620051636754,101.82365370530351,106.83885791485127,112.96951170701247
MYS_00_21,4,275.6048010332157,55.765066120643276,229.41936117318963,271.6872160691482,312.06025050236633,896.99627729367,6.071777969195715,893.4498152512772,896.3644981971154,902.202453848032,196.09022098639076,58.00307440377116,162.1315164125883,175.26579390305739,240.49761276245115,122.64885784833861,8.84891108292051,118.64426017174357,122.8936855022724,127.37514698322005,109.08271242581881,7.271645984063219,105.3369777092567,109.64310684204102,112.243571971013
MYS_00_21,5,252.0968281516051,51.844506898004006,223.70026145348186,245.94085470346303,280.8396396343525,890.3548569273338,7.485873580798812,887.32824214055,891.1388427734375,894.7903796856222,152.55658687689368,45.484903070330475,114.78729415306677,150.05293496938856,189.89377159705532,120.99482350667319,8.320606379725465,115.82730753971981,120.57034489558295,125.71593067462629,108.21159196902545,8.16609555891332,103.54842752309948,106.1399627685547,112.4191057938796
MYS_00_21,6,210.25778775728668,61.791729793597874,162.35201545128456,197.38799544114337,248.727239227295,876.9899943033855,17.217128480520216,870.6072336050181,877.1887620192308,886.8013070913463,102.7685036845085,57.28745028380357,66.23544004880466,96.79142808180592,124.49948748075047,114.47342195951023,7.697463444677196,109.30732788672815,112.68162771371695,121.07945615328276,103.83210883898614,7.606049000302006,99.99295167189379,104.82168027437652,108.02326859694263
MYS_00_21,7,191.548354104849,79.34114047424984,131.29504112830531,178.42859649658206,239.53867416381837,867.1306296011119,21.43858050704073,853.3194767878607,873.9207824707032,882.368318293645,87.04914780103245,56.0679556607742,42.781440830230714,81.13639112619254,113.80495188786435,117.99057874630661,9.07986355456637,112.1723364023062,118.90749458899866,123.64176128094014,111.42390394944412,10.516857789176846,104.11973633399379,113.621933394212,117.97011114267204
MYS_00_21,8,215.17172540517956,94.71350494861508,153.18451485267056,182.01738750751207,263.9541317866399,861.7491037535057,25.827809253865336,849.3710329495943,868.3170194185698,876.3780029296876,86.03643528938295,69.21066730125393,38.17428673230685,78.98734449239879,107.63777322035573,109.7102116785294,9.850288134887737,105.38645266019383,110.3163654620831,115.86860354496883,114.96267319116838,11.679158328646176,106.90191588768594,115.18681517380935,123.6981114607591
MYS_00_21,9,239.73534460996973,69.2823043701492,192.47992882361783,232.0557781512921,286.9369328425482,871.7912463691907,23.452579270435578,866.5101912278396,875.7760474571816,885.9688345102165,87.50737778174572,44.0261939996734,51.400628640101516,83.72648485623874,111.90503281813402,106.3176118743114,11.36046476890306,101.18010383019082,108.31120722844054,114.07127568171576,106.75802951519307,8.834436477745998,100.33892379173867,107.82899827223557,112.87056118891789
MYS_00_21,10,322.6884387989533,64.619357547301,270.64746128962594,339.6830697866587,374.5431873028096,889.4299833483575,12.038585504558293,884.1802379901594,892.5851111778848,897.8646827110878,176.4172775601118,67.8356708499015,115.49903180049016,185.0959647545448,231.6379248399001,114.92378400362456,14.43107538981401,108.8547039618859,116.61693954467775,124.18045900785008,104.52387788038988,6.952675185089136,100.58310890197754,104.49993620652418,107.95978073706995
