region_id,native_cell_count,longitude_mean,latitude_mean,region_lon_index,region_lat_index,small_region_lt_4_cells,C1_scaled_loading,C1_raw_weight,C2_scaled_loading,C2_raw_weight,C3_scaled_loading,C3_raw_weight,C4_scaled_loading,C4_raw_weight
MYS_00_21,1,110.25,0.75,21,0,True,1315.3155906479617,13.414273088252171,485.31598428261105,4.929896741246399,1001.2921550617644,8.848686572001904,699.4534101524869,8.342033170041223
MYS_00_22,1,110.75,0.75,22,0,True,1343.5093871562372,13.701808101480673,489.24091121263336,4.969766609762164,1144.4756218439213,10.114037162679205,657.4253316383032,7.840785167029867
MYS_00_24,1,111.75,0.75,24,0,True,1297.7457269682927,13.235086472356942,551.02898518779,5.5974171187151835,1283.875048518872,11.345947178879534,632.1811093907424,7.5397098755459995
MYS_01_07,1,103.25,1.25,7,1,True,645.2391172158896,6.580484400168018,394.14641428257585,4.0037855464783325,848.7117988245864,7.500293155992465,608.8019261141704,7.260877976879414
MYS_01_08,1,103.75,1.25,8,1,True,670.7581200468491,6.840740475096572,384.30705080698465,3.9038361372167385,759.6235598543319,6.712996561372926,698.6508805081943,8.332461797859091
MYS_01_09,1,104.25,1.25,9,1,True,639.8797757621936,6.525827046188315,404.1387235398045,4.105288596944628,680.5804645016605,6.014471587497039,748.7666552716256,8.930167734166867
MYS_01_20,1,109.75,1.25,20,1,True,1332.380478216834,13.588309694901382,486.0923503317417,4.937783158713734,710.1652289810986,6.275920063710152,806.3042555990628,9.61639009506924
MYS_01_21,1,110.25,1.25,21,1,True,1352.360772712328,13.792079139019522,489.9720292240082,4.977193392350155,945.9042700403255,8.359209018459541,723.5416992278714,8.629322221119823
MYS_01_22,1,110.75,1.25,22,1,True,1371.9222206819586,13.991576968234023,494.2245184178602,5.020390676795557,1097.4922862920441,9.69883286061403,677.473366371386,8.079888112715777
MYS_01_23,1,111.25,1.25,23,1,True,1326.7958880186557,13.531355136970964,505.502868109282,5.134957476965073,1191.6292148678717,10.530746075560817,652.4238512353211,7.781134996174467
MYS_01_24,1,111.75,1.25,24,1,True,1324.031362915632,13.503161070881456,540.039808073006,5.485787767526113,1267.6690891650096,11.20273078175108,641.7212996169937,7.653490982565753
MYS_01_25,1,112.25,1.25,25,1,True,1381.3235679552222,14.087456801650221,576.8183381837714,5.859388393948734,1312.2986806221418,11.597134417737118,653.9148073564221,7.798916888773417
MYS_01_26,1,112.75,1.25,26,1,True,1449.132752877192,14.779010167931688,618.0999313809615,6.2787316638332396,1384.5630399961588,12.23575388878225,670.2351167681122,7.993561107361148
MYS_01_27,1,113.25,1.25,27,1,True,1413.832361798711,14.41899840389902,706.1625265996219,7.173281844033702,1441.341013805128,12.737516028722228,649.4945731176995,7.746198952019434
MYS_01_28,1,113.75,1.25,28,1,True,1322.611235891281,13.488677876232128,702.2733900990901,7.1337755389022615,1558.3232844532918,13.77131964159768,573.3144581341686,6.837636584796683
MYS_01_29,1,114.25,1.25,29,1,True,1175.5762784095689,11.989138839971186,647.7837868176584,6.580263752048543,1730.5489380142294,15.293323804233824,448.3589333876936,5.347354148418608
MYS_01_30,1,114.75,1.25,30,1,True,1016.9073122714277,10.370950127284267,581.4830039990353,5.906772616901263,1772.3725688438335,15.662930415694246,384.1069059245135,4.581052152373729
MYS_02_06,1,102.75,1.75,6,2,True,568.8218594080513,5.801141425616391,416.03456592609075,4.2261279603981565,859.129158616605,7.592354150619615,588.0345202492273,7.0131954492564565
MYS_02_07,1,103.25,1.75,7,2,True,643.2864350512115,6.560569930973103,393.2056399704234,3.994229050574773,781.524402761714,6.906540167572578,689.0112423645928,8.217494624958201
MYS_02_08,1,103.75,1.75,8,2,True,664.0198763840119,6.772020358592856,392.2489481700844,3.984510862957606,708.3852086363839,6.260189547853674,753.2427992805057,8.983552478960403
MYS_02_09,1,104.25,1.75,9,2,True,641.1542989581743,6.538825297201043,407.60164972327624,4.140465407641085,668.334671499446,5.906252239573029,766.4458080901927,9.141018202675646
MYS_02_20,1,109.75,1.75,20,2,True,1312.3466277236791,13.383994058840225,487.8526186451138,4.955664170884887,686.6636840807448,6.06823062588745,829.4158785637851,9.892030934883245
MYS_02_21,1,110.25,1.75,21,2,True,1388.9047903609041,14.164774054190726,496.7097961485376,5.045636419739033,838.6537181578416,7.411407207085329,772.3536708636701,9.211478345560153
MYS_02_22,1,110.75,1.75,22,2,True,1415.091231647442,14.431837013928059,497.35540087330526,5.05219454832297,1014.2749113291345,8.963418661402489,714.1145793929024,8.51688964845695
MYS_02_23,1,111.25,1.75,23,2,True,1387.8482770528003,14.153999181500824,483.0004867918712,4.906375645911291,1076.608693899745,9.514278969281985,699.2781481355586,8.339942907076681
MYS_02_24,1,111.75,1.75,24,2,True,1411.6889121681825,14.397138388782297,501.15442429069407,5.090785474177161,1174.315622531832,10.377741229530061,681.7627830950217,8.131045853988207
MYS_02_25,1,112.25,1.75,25,2,True,1464.8616401757697,14.939421548362084,550.0608806934248,5.587582999612323,1268.3620016732366,11.20885423490721,684.1463510860946,8.159473484700941
MYS_02_26,1,112.75,1.75,26,2,True,1468.9345343308494,14.980959043123224,614.3972864067435,6.2411197615189735,1343.0283480747357,11.868700707730751,676.2171501753442,8.064905846529042
MYS_02_27,1,113.25,1.75,27,2,True,1421.143605837629,14.49356227651653,695.059920023576,7.060500263061259,1397.0704164561537,12.346284919683718,657.4367312099183,7.840921124054534
MYS_02_28,1,113.75,1.75,28,2,True,1306.7207651469867,13.326618583709154,708.1640082442726,7.193613129540841,1515.6275523724257,13.394006038134517,569.05141188658,6.786793351085018
MYS_02_29,1,114.25,1.75,29,2,True,1139.545226366049,11.621675415067436,667.7861771878482,6.783450381577964,1685.2540415391534,14.89304068986697,425.5543478765808,5.075375191705435
MYS_02_30,1,114.75,1.75,30,2,True,992.1121301665522,10.11807595290921,650.4932947124837,6.60778725132258,1667.2769510149058,14.734172332893015,363.98946534751894,4.3411214376846186
MYS_03_04,1,101.75,2.25,4,3,True,369.6009623035894,3.769383011402403,487.6816873781491,4.953927831008853,1006.7582974021267,8.896992333795104,562.2434828747804,6.705598565540493
MYS_03_05,1,102.25,2.25,5,3,True,459.3100348739089,4.684282832029693,439.05353232298825,4.459957323333053,891.0909172320706,7.874808759744952,598.7624052421672,7.1411416014326
MYS_03_06,1,102.75,2.25,6,3,True,543.7599710103135,5.545547241631286,411.1786847378133,4.176801349239129,792.5626546194623,7.0040881514434865,664.8230414358128,7.929013974863843
MYS_03_07,1,103.25,2.25,7,3,True,625.3963933273318,6.378117972712556,396.9448710763014,4.032212599109413,660.6181653468359,5.838059410906396,829.2702107440393,9.890293627199146
MYS_03_08,1,103.75,2.25,8,3,True,647.7785092167506,6.606382441687387,409.7109673818618,4.161892104037013,582.9204891565716,5.151424266003923,889.4809556807031,10.608397255209251
MYS_03_09,1,104.25,2.25,9,3,True,622.2375299588053,6.345902239716481,434.9162993780305,4.417930825394244,569.2697707544087,5.030789216570277,862.0092265857121,10.280755596705019
MYS_03_23,1,111.25,2.25,23,3,True,1406.7831863531712,14.347107243218037,446.1585173290259,4.532130595102879,954.4048008879412,8.434330483045015,747.3753451742151,8.91357427016491
MYS_03_24,1,111.75,2.25,24,3,True,1484.2140269515903,15.136787262694149,464.3448327193786,4.71686932179186,1021.4245225215051,9.02660168768822,730.611342587255,8.713638343606783
MYS_03_25,1,112.25,2.25,25,3,True,1541.7329698816388,15.723395384499474,533.5015071776395,5.41937093947747,1135.0594323308417,10.030823777572165,716.563868078293,8.546101097225325
MYS_03_26,1,112.75,2.25,26,3,True,1522.7740368910802,15.53004231668406,603.7333662523064,6.132794408716133,1230.1099593474094,10.870810706283622,692.513991313391,8.259270170681585
MYS_03_27,1,113.25,2.25,27,3,True,1422.6105508790017,14.508522945674825,674.6901743380381,6.853581995113436,1304.761972413755,11.530530511590932,658.0027908886187,7.8476722364909035
MYS_03_28,1,113.75,2.25,28,3,True,1276.03734589203,13.01369310172307,712.4961408156943,7.237619440765204,1402.6237382751117,12.395361109845608,556.2645754044166,6.634291107867925
MYS_03_29,1,114.25,2.25,29,3,True,1092.6879533691765,11.143800553232042,724.0686997581013,7.355174853044459,1519.3477526202605,13.42688244270012,401.1806372207724,4.784682059301643
MYS_03_30,1,114.75,2.25,30,3,True,948.3351504050391,9.671615524951738,741.188866803303,7.529083519684594,1522.5411435323408,13.455103292269378,334.82651222415683,3.9933093907915924
MYS_03_31,1,115.25,2.25,31,3,True,839.4160582786474,8.560801925009422,841.9104539291895,8.552225225761026,1355.34802837272,11.977573017448792,339.347780319527,4.047232308136444
MYS_04_03,1,101.25,2.75,3,4,True,357.9531250891002,3.6505923041427915,427.9092722194295,4.346752620938286,1143.6708564814044,10.106925235934431,602.2634653380409,7.182897005046572
MYS_04_04,1,101.75,2.75,4,4,True,377.1386460061871,3.846256233584543,439.93755701011605,4.468937349883579,1039.9291937885957,9.190132416789274,618.5527920914883,7.377171708868908
MYS_04_05,1,102.25,2.75,5,4,True,445.9009527151835,4.547530032002939,424.9809172962803,4.317006047859334,856.5111803212362,7.569218376239566,709.6125725128585,8.463196450053795
MYS_04_06,1,102.75,2.75,6,4,True,521.8712640139182,5.322314813394244,400.9144962037269,4.072536517161675,698.722036425097,6.174793510586526,847.0177120282863,10.101959253886506
MYS_04_07,1,103.25,2.75,7,4,True,599.757272201966,6.116636868889403,372.0676840568885,3.7795072129481286,578.2798215770689,5.110413445447422,1028.2093504846434,12.262941867163816
MYS_04_08,1,103.75,2.75,8,4,True,629.9672075584407,6.424733515604099,384.0917743203322,3.9016493333932796,515.3901839956743,4.55464089817302,1062.6140625539672,12.673269767667508
MYS_04_09,1,104.25,2.75,9,4,True,602.0259532810128,6.139774059508038,443.0289405489349,4.50033998677899,517.7038758267299,4.575087611685871,933.0531531539856,11.128061197564563
MYS_04_23,1,111.25,2.75,23,4,True,1486.1230587724829,15.156256562960714,417.37340735539175,4.239728068808171,828.8595384985894,7.324853421962292,802.7487541699643,9.573985396733146
MYS_04_24,1,111.75,2.75,24,4,True,1572.880473008678,16.04105383539449,445.16189938103946,4.522006832990843,877.1924353670219,7.751984158324917,795.218418487399,9.484174825887822
MYS_04_25,1,112.25,2.75,25,4,True,1607.5426217354898,16.39455647168424,514.7825835305999,5.229221915592359,974.0112417004818,8.607597844289822,785.0844180550337,9.36331163968422
MYS_04_26,1,112.75,2.75,26,4,True,1549.0992792952131,15.798520842472318,591.821265336663,6.01178988921275,1096.2749107898176,9.688074587711181,746.6159249324799,8.904517042400197
MYS_04_27,1,113.25,2.75,27,4,True,1405.5668025408213,14.334701927904355,667.7379014856732,6.78295999132802,1212.883240511668,10.718573584609505,690.8473930608814,8.239393481681617
MYS_04_28,1,113.75,2.75,28,4,True,1245.00241448666,12.697182715845472,726.495594980748,7.3798275396176365,1316.3587149155655,11.63301402665293,577.5732691217797,6.88842930666767
MYS_04_29,1,114.25,2.75,29,4,True,1071.8704271752938,10.931492584428131,771.4228445651644,7.836203815059661,1409.3776565125902,12.455047291660035,419.22306131386347,4.99986508374312
MYS_04_30,1,114.75,2.75,30,4,True,927.5379464320763,9.459514812735613,827.6261301073849,8.407123387493495,1400.8727501252145,12.379887159259454,335.1398516117049,3.997046433926226
MYS_04_31,1,115.25,2.75,31,4,True,820.2496612388162,8.365333030822965,901.0881980870341,9.153359697994242,1293.3192723075622,11.429408310377973,330.04451421079506,3.9362768773067582
MYS_05_03,1,101.25,3.25,3,5,True,376.5716965726092,3.840474188132244,354.2473345725093,3.5984860108940167,1177.8061774105859,10.40858819654995,639.8048022406787,7.630633870924776
MYS_05_04,1,101.75,3.25,4,5,True,418.4000420575528,4.267061429364883,352.1762299277734,3.57744748677873,1083.6118282648833,9.576167540669925,698.4437591092162,8.329991563880071
MYS_05_05,1,102.25,3.25,5,5,True,444.6942904948226,4.5352238625449885,401.41444881328124,4.077615094460675,814.141971148401,7.194790343043919,877.5205399266589,10.465751321256382
MYS_05_06,1,102.75,3.25,6,5,True,491.4345867708657,5.011905734888481,396.9071262228233,4.031829182456785,626.0994112315215,5.533007948674999,1066.2115940900387,12.716175738199032
MYS_05_07,1,103.25,3.25,7,5,True,562.8125099876326,5.739854952026797,325.79370866324933,3.3094507386392698,547.640956292101,4.839649598494335,1254.4736915330038,14.961484201543815
MYS_05_25,1,112.25,3.25,25,5,True,1627.4242854879224,16.59732002814186,507.5370759258438,5.155621198768322,909.2844864823459,8.035590197118509,819.5165069330478,9.773966049777927
MYS_05_26,1,112.75,3.25,26,5,True,1528.2032886902298,15.585412652758917,595.8131385388846,6.0523398058205675,1028.0444163102306,9.085103459603893,788.1170008193411,9.399479747014245
MYS_05_27,1,113.25,3.25,27,5,True,1353.4949665048575,13.803646237726605,683.0925710390138,6.9389345271880405,1146.6288670540764,10.133065966491367,739.8282934829792,8.823564335792613
MYS_05_28,1,113.75,3.25,28,5,True,1214.3856056321315,12.384936561397367,748.7052800142918,7.605436127459279,1253.4802177485408,11.077339930199843,629.5009700724331,7.507745186019655
MYS_05_29,1,114.25,3.25,29,5,True,1072.6363799532062,10.939304169578248,810.9049018997221,8.237267188397874,1350.3282634188886,11.93321201200495,473.51926480595324,5.6474289156780815
MYS_05_30,1,114.75,3.25,30,5,True,930.876806360374,9.493566244346441,887.1501098965414,9.011774961915362,1331.2530202623643,11.764638986516303,366.3067157903192,4.368758131961251
MYS_05_31,1,115.25,3.25,31,5,True,792.0535013259816,8.077773914364485,982.2214188992466,9.977520479511039,1208.6181831805711,10.680882132275928,316.33732716004295,3.77279807030458
MYS_05_32,1,115.75,3.25,32,5,True,721.6244735886885,7.359502027278645,1081.3360225717638,10.98433825901886,1149.02803084012,10.154268018530102,309.6418935267643,3.69294496122553
MYS_06_02,1,100.75,3.75,2,6,True,346.40478708234167,3.5328163415984823,383.3977499113362,3.8945993519727984,1232.3109927596945,10.890261827219064,663.3473330660845,7.91141393461685
MYS_06_03,1,101.25,3.75,3,6,True,388.29117126313855,3.9599954916637983,368.7098385748061,3.7453978243521675,1266.3706011823142,11.191255696164623,617.1949477269646,7.360977374029451
MYS_06_04,1,101.75,3.75,4,6,True,417.0495412141108,4.253288318752759,413.103006069187,4.196348831225888,1119.8801268600519,9.896680195389193,762.8886274443961,9.098593477156623
MYS_06_05,1,102.25,3.75,5,6,True,410.232444525753,4.183764018047404,482.6506637453646,4.902822102337954,780.0879019039255,6.893845425297084,1117.4363605137012,13.32710806683068
MYS_06_06,1,102.75,3.75,6,6,True,426.94994279009995,4.354257767733635,463.0728918561903,4.703948797186104,561.995940123048,4.966508429879436,1393.4368551467783,16.61882878440495
MYS_06_07,1,103.25,3.75,7,6,True,471.3919466371568,4.807500457497459,356.3772138688572,3.620121574820135,508.14457876844835,4.4906095469274625,1529.609202832425,18.242888692824586
MYS_06_27,1,113.25,3.75,27,6,True,1321.8915069031814,13.481337705352571,694.0483607579924,7.05022472529106,1122.647570374795,9.921136833887644,760.5372167668978,9.07054937073958
MYS_06_28,1,113.75,3.75,28,6,True,1169.0381285629935,11.922459384365656,784.7503229184279,7.971585904730388,1206.765451034269,10.664509042781894,661.4233876607257,7.8884679940354
MYS_06_29,1,114.25,3.75,29,6,True,1013.034989547116,10.331458164382669,883.3841191946747,8.973519586263269,1268.2170930076843,11.207573638273592,538.3303052080696,6.420397981196639
MYS_06_30,1,114.75,3.75,30,6,True,879.9001469089307,8.973679735077875,948.9037717387799,9.639075908382441,1244.5922956703387,10.998794985701066,434.92418942035056,5.187124634658494
MYS_06_31,1,115.25,3.75,31,6,True,744.3290807258085,7.5910554298721395,1003.9421792447173,10.198162512974694,1157.110604646899,10.225695884962201,337.1435495847485,4.020943543742632
MYS_06_32,1,115.75,3.75,32,6,True,686.5705068221944,7.0020034266571605,1068.168004278541,10.850575983357588,1128.163993254136,9.969886938251438,301.5172819205477,3.596046756814767
MYS_07_02,1,100.75,4.25,2,7,True,408.1100711664728,4.162118949716243,494.7935910747036,5.026171383649158,1439.8865864781424,12.724662865443968,459.90084672181115,5.485008812019375
MYS_07_03,1,101.25,4.25,3,7,True,392.4308657304773,4.002214250782629,558.0729772839989,5.668970817346802,1397.8902269487041,12.35352980426645,456.7166644700424,5.447032652952654
MYS_07_04,1,101.75,4.25,4,7,True,368.34041254361216,3.7565272687639877,623.1918579346293,6.330456051524074,1144.740203804011,10.116375344223526,801.194204532957,9.555445055878188
MYS_07_05,1,102.25,4.25,5,7,True,347.1469163013236,3.5403849616931398,650.917015784478,6.612091459713964,752.1427171648527,6.646886353758675,1416.6154142210655,16.895267937928143
MYS_07_06,1,102.75,4.25,6,7,True,334.53309163228323,3.4117426115218903,586.1268602989296,5.953945454353766,503.7371883670092,4.4516602591839876,1809.818376279702,21.584804230755015
MYS_07_07,1,103.25,4.25,7,7,True,334.0779542888948,3.4071008839697465,423.64375061272875,4.303422951713246,438.7734825584984,3.8775586162725917,1915.9213670089516,22.850241864279475
MYS_07_28,1,113.75,4.25,28,7,True,984.9280318680125,10.044808778738496,927.0267223438291,9.416846272406861,1153.7618055606777,10.19610165179381,653.503811156809,7.7940151413801395
MYS_07_29,1,114.25,4.25,29,7,True,880.4289175213834,8.979072413038143,1003.1801398197981,10.19042162703795,1147.190262942073,10.138027172100122,620.3741087950328,7.39889364793388
MYS_07_30,1,114.75,4.25,30,7,True,789.2690768684124,8.049376904298603,1013.232636672406,10.292536070163735,1146.1001866486415,10.128393876351838,528.7182444587529,6.305759710170452
